Date,EUROPE HIGH DIVIDEND YIELD
1998-12-31,532.2236300298063
1999-01-29,537.9024381138555
1999-02-26,562.1476481956274
1999-03-31,598.1846252613468
1999-04-30,659.0064051145613
1999-05-31,634.7275513586807
1999-06-30,652.0162219168
1999-07-30,640.5911783998599
1999-08-31,652.6443270668876
1999-09-30,632.2026029126721
1999-10-29,650.8798258627087
1999-11-30,673.0973138460128
1999-12-31,713.8389558481571
2000-01-31,644.1007446899371
2000-02-29,656.940354290574
2000-03-31,689.3081073928312
2000-04-28,701.2901016539919
2000-05-31,700.0659648766986
2000-06-30,699.091246950133
2000-07-31,725.4155564616341
2000-08-31,758.2519697622745
2000-09-29,751.6884548120009
2000-10-31,791.2576558915173
2000-11-30,771.1549746778863
2000-12-29,780.0528768095544
2001-01-01,780.0528768095544
2001-01-02,773.8641720766268
2001-01-03,773.5888521914783
2001-01-04,786.5950546608619
2001-01-05,785.135510587506
2001-01-08,786.848339096068
2001-01-09,785.1516398142677
2001-01-10,780.066016285942
2001-01-11,782.7781722261204
2001-01-12,779.1961283312255
2001-01-15,781.65479857795
2001-01-16,774.1447287050696
2001-01-17,785.8823167570937
2001-01-18,779.1136955151934
2001-01-19,773.4734305976903
2001-01-22,779.1768875632117
2001-01-23,782.5361012382754
2001-01-24,789.9725172385546
2001-01-25,792.2345607657448
2001-01-26,791.2932668470091
2001-01-29,796.1153845379716
2001-01-30,797.1602300456464
2001-01-31,794.6105237049304
2001-02-01,788.5539277277852
2001-02-02,787.8697192326032
2001-02-05,789.7871675988831
2001-02-06,795.9319936332602
2001-02-07,789.4927952692475
2001-02-08,791.1117610011975
2001-02-09,784.8629279222654
2001-02-12,789.5724577642789
2001-02-13,794.7290109906106
2001-02-14,796.3502626634731
2001-02-15,800.6124186479085
2001-02-16,789.192927564783
2001-02-19,787.7448963806008
2001-02-20,783.8987284099687
2001-02-21,777.639069174304
2001-02-22,774.5506618950761
2001-02-23,767.3978880186613
2001-02-26,764.093103434343
2001-02-27,762.056830504817
2001-02-28,763.3633008601568
2001-03-01,761.6176296618265
2001-03-02,759.3802982350616
2001-03-05,764.6575199675458
2001-03-06,766.3489274171325
2001-03-07,769.6716209642511
2001-03-08,770.3245299504778
2001-03-09,766.086584526587
2001-03-12,753.2984731157446
2001-03-13,744.6111470160262
2001-03-14,730.046295368707
2001-03-15,741.3561773944075
2001-03-16,724.6001455883011
2001-03-19,718.4517851854677
2001-03-20,725.3574306720013
2001-03-21,713.7272173348748
2001-03-22,686.8204077384146
2001-03-23,697.9636538177697
2001-03-26,718.3182278229941
2001-03-27,736.9731110263319
2001-03-28,731.4894200332321
2001-03-29,740.7082756187076
2001-03-30,743.7137549462105
