Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,984.8540704355365
1999-01-05,992.3988581057502
1999-01-06,1022.9395366462925
1999-01-07,1053.341219558185
1999-01-08,1062.3810979696989
1999-01-11,1081.678382913029
1999-01-12,1089.5829517692537
1999-01-13,1047.5624569378488
1999-01-14,1038.857588653623
1999-01-15,1052.8268713584127
1999-01-18,1067.5175082907965
1999-01-19,1056.4907779368536
1999-01-20,1065.6830757572461
1999-01-21,1044.704188178622
1999-01-22,1014.6452668989468
1999-01-25,992.6064297716625
1999-01-26,990.9160746466816
1999-01-27,1007.3390748389689
1999-01-28,990.8712930974267
1999-01-29,1008.8689247823554
1999-02-01,1019.851448497316
1999-02-02,1020.0029209496156
1999-02-03,1027.8259595323455
1999-02-04,1033.734636429368
1999-02-05,1017.1325659767094
1999-02-08,1018.8964901941637
1999-02-09,1015.2692477805247
1999-02-10,988.0232681517324
1999-02-11,1000.7392729918329
1999-02-12,1025.0169453796761
1999-02-15,1022.1171715358234
1999-02-16,1019.7705873611948
1999-02-17,1016.3373694817909
1999-02-18,1018.4164339623833
1999-02-19,1021.1242400426944
1999-02-22,1032.9752349220782
1999-02-23,1043.5503922855803
1999-02-24,1050.8384087568625
1999-02-25,1032.4202687647514
1999-02-26,1048.1344854082736
1999-03-01,1056.770461391733
1999-03-02,1053.6194720999179
1999-03-03,1060.0763817525788
1999-03-04,1063.922760425054
1999-03-05,1100.174396965307
1999-03-08,1121.7992104946952
1999-03-09,1126.577281065489
1999-03-10,1131.3410158734905
1999-03-11,1138.4618272822258
1999-03-12,1145.4432219458156
1999-03-15,1139.0659411736976
1999-03-16,1149.0788961916119
1999-03-17,1145.4353933234765
1999-03-18,1127.5210984369744
1999-03-19,1158.4144199369864
1999-03-22,1169.024591635083
1999-03-23,1172.1281304914137
1999-03-24,1149.0640099368609
1999-03-25,1168.5423640083504
1999-03-26,1191.327683288352
1999-03-29,1177.4789463393015
1999-03-30,1185.5784837863503
1999-03-31,1181.3395883238572
1999-04-01,1178.2558011162582
1999-04-02,1178.5652264719515
1999-04-05,1184.844089785544
1999-04-06,1176.072369482029
1999-04-07,1201.2201821950207
1999-04-08,1204.7297361452413
1999-04-09,1233.5566328627049
1999-04-12,1211.988047428692
1999-04-13,1231.2499834977016
1999-04-14,1232.6686354992917
1999-04-15,1271.392285858834
1999-04-16,1355.1989607865517
1999-04-19,1392.1776622510367
1999-04-20,1350.7394243964272
1999-04-21,1367.4590483768864
1999-04-22,1437.7661308852746
1999-04-23,1457.970531891201
1999-04-26,1483.0573748293605
1999-04-27,1501.9159183808836
1999-04-28,1465.124395894573
1999-04-29,1483.8965490726218
1999-04-30,1493.8955485020915
1999-05-03,1499.9425657888864
1999-05-04,1503.8406369119289
1999-05-05,1492.7582470564962
1999-05-06,1463.9661500922566
1999-05-07,1406.6526038505867
1999-05-10,1411.1253953584066
1999-05-11,1394.6583904744018
1999-05-12,1410.9017000787096
1999-05-13,1433.739105013734
1999-05-14,1414.4587618375576
1999-05-17,1391.172889351733
1999-05-18,1406.105883107441
1999-05-19,1372.9149803188136
1999-05-20,1376.1611244078729
1999-05-21,1377.3503732727427
1999-05-24,1384.8450749179983
1999-05-25,1362.9810450105617
1999-05-26,1375.5424921528638
1999-05-27,1363.5763796518124
1999-05-28,1345.0326450542875
1999-05-31,1336.0598506833405
1999-06-01,1339.0194334882165
1999-06-02,1354.8160906612864
1999-06-03,1359.817077255298
1999-06-04,1375.367582359561
1999-06-07,1400.8155581252508
1999-06-08,1384.9890071562052
1999-06-09,1395.3395641287614
1999-06-10,1378.5644658497
1999-06-11,1376.7482906529463
1999-06-14,1382.0312304068038
1999-06-15,1369.6263847477856
1999-06-16,1404.2444833106608
1999-06-17,1418.4483825030927
1999-06-18,1407.7965510484341
1999-06-21,1431.1278393893417
1999-06-22,1437.3034316061276
1999-06-23,1443.3166251227276
1999-06-24,1418.0240263118997
1999-06-25,1402.9614115216211
1999-06-28,1421.5419548365462
1999-06-29,1420.5646653047068
1999-06-30,1412.4462736566038
1999-07-01,1432.844069642443
1999-07-02,1466.6489861330842
1999-07-05,1479.2773736533502
1999-07-06,1474.9025738047615
1999-07-07,1448.1776931819377
1999-07-08,1448.1109156378407
1999-07-09,1440.1059068711374
1999-07-12,1436.063341678518
1999-07-13,1424.478403707395
1999-07-14,1403.9565526135007
1999-07-15,1416.9294309767688
1999-07-16,1401.0871705103007
1999-07-19,1407.4735471528243
1999-07-20,1383.5486390956894
1999-07-21,1366.7527092147031
1999-07-22,1361.3919879934983
1999-07-23,1348.2113264035647
1999-07-26,1312.6837229514608
1999-07-27,1321.3754941318284
1999-07-28,1328.6055693583069
1999-07-29,1321.1551316871871
1999-07-30,1321.4644119845182
1999-08-02,1322.754811001107
