Date,NORTH AMERICA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.0951464146593
1999-01-05,1001.9135872368616
1999-01-06,1033.7290170799358
1999-01-07,1041.6238376815804
1999-01-08,1063.9159847990968
1999-01-11,1053.5177548444851
1999-01-12,1032.5559076618424
1999-01-13,1009.3756580370858
1999-01-14,990.1438044452589
1999-01-15,1017.6673134292945
1999-01-18,1017.8588663440449
1999-01-19,1011.1891013732222
1999-01-20,1008.4525051593821
1999-01-21,998.5716918036247
1999-01-22,993.2622619987565
1999-01-25,999.0995699518189
1999-01-26,1002.8060094253744
1999-01-27,990.4544132124611
1999-01-28,1010.9620112885439
1999-01-29,1021.3547014310399
1999-02-01,1016.402908134053
1999-02-02,1003.7521641104836
1999-02-03,1009.7667382957331
1999-02-04,1008.1754309265397
1999-02-05,1014.8881289244481
1999-02-08,1018.302622803528
1999-02-09,1001.5764534666857
1999-02-10,999.164870856275
1999-02-11,1008.6479286330333
1999-02-12,999.5770108701067
1999-02-15,1003.4660459395362
1999-02-16,1011.4684807224014
1999-02-17,1004.6733553939508
1999-02-18,1015.644917796581
1999-02-19,1026.07818198193
1999-02-22,1052.2243795763375
1999-02-23,1049.0109849666917
1999-02-24,1037.3024797993833
1999-02-25,1025.9971365987371
1999-02-26,1030.9589339317226
1999-03-01,1032.4384471537858
1999-03-02,1028.582703857023
1999-03-03,1032.1904693320512
1999-03-04,1056.4091932142662
1999-03-05,1075.3720203849082
1999-03-08,1069.7527699126267
1999-03-09,1065.8436443004982
1999-03-10,1077.0977592183042
1999-03-11,1098.8586934227649
1999-03-12,1084.1067506118422
1999-03-15,1085.1689028907892
1999-03-16,1080.9372211163923
1999-03-17,1069.0714747724724
1999-03-18,1090.5652506297895
1999-03-19,1081.9696622830063
1999-03-22,1086.4700989750108
1999-03-23,1062.4773604342242
1999-03-24,1060.1651148979909
1999-03-25,1073.4670495268695
1999-03-26,1079.3201033428832
1999-03-29,1097.0266986796119
1999-03-30,1072.827164139598
1999-03-31,1058.8622599556454
1999-04-01,1056.4426708809017
1999-04-02,1059.2298701027246
1999-04-05,1084.543969029734
1999-04-06,1074.2252502785927
1999-04-07,1080.7228868845302
1999-04-08,1094.395107891126
1999-04-09,1100.3091772779242
1999-04-12,1109.3393767524178
1999-04-13,1113.0878267220608
1999-04-14,1111.8621728124317
1999-04-15,1140.8181043779364
1999-04-16,1156.1759645163984
1999-04-19,1178.5889883839939
1999-04-20,1170.4014653613738
1999-04-21,1175.6007428819448
1999-04-22,1181.1611709404544
1999-04-23,1173.1145575756461
1999-04-26,1165.9897920044475
1999-04-27,1178.5029024024177
1999-04-28,1194.6439692456868
1999-04-29,1212.7559461666401
1999-04-30,1199.6166107896415
1999-05-03,1233.420512817703
1999-05-04,1215.2106424951776
1999-05-05,1208.5150968858832
1999-05-06,1184.2691904985415
1999-05-07,1192.2474619954976
1999-05-10,1186.7781456727746
1999-05-11,1201.0945313387986
1999-05-12,1199.0193092261773
1999-05-13,1217.0959398862194
1999-05-14,1187.7886715309958
1999-05-17,1186.5253118958206
1999-05-18,1178.6565595443203
1999-05-19,1190.6026208776354
1999-05-20,1192.2220525401997
1999-05-21,1206.7835978770954
1999-05-24,1190.3365050572622
1999-05-25,1169.497272743476
1999-05-26,1202.946767359723
1999-05-27,1173.0262845764314
1999-05-28,1185.176941630355
1999-05-31,1188.9340236516523
1999-06-01,1183.8826950855857
1999-06-02,1198.9653135590738
1999-06-03,1201.6608742342858
1999-06-04,1221.673460226442
1999-06-07,1231.8835258401662
1999-06-08,1206.9196648440097
1999-06-09,1205.1769338458855
1999-06-10,1194.8995315223785
1999-06-11,1187.626859609486
1999-06-14,1208.8335523354424
1999-06-15,1215.6949474267274
1999-06-16,1235.1559932622952
1999-06-17,1241.4097540509267
1999-06-18,1233.6708854589156
1999-06-21,1231.8572041966922
1999-06-22,1225.7868577722234
1999-06-23,1220.614731276427
1999-06-24,1197.5125491978845
1999-06-25,1188.5123273775928
1999-06-28,1204.3469187466999
1999-06-29,1221.3373305364325
1999-06-30,1236.3827544546764
1999-07-01,1250.0204663601196
1999-07-02,1264.0475559603065
1999-07-05,1265.0247720134653
1999-07-06,1262.598970203617
1999-07-07,1266.006750376508
1999-07-08,1260.9201160181092
1999-07-09,1262.899846376983
1999-07-12,1264.2152889154288
1999-07-13,1252.6566240143916
1999-07-14,1250.4775142165415
1999-07-15,1253.1788283774065
1999-07-16,1261.5765493849992
1999-07-19,1258.7478752161614
1999-07-20,1218.1443630505296
1999-07-21,1205.14849570023
1999-07-22,1206.4855461867585
1999-07-23,1205.0210826648024
1999-07-26,1178.9785958360067
1999-07-27,1188.7518649627627
1999-07-28,1189.4195583075216
1999-07-29,1161.2454392532638
1999-07-30,1155.5714598314066
1999-08-02,1163.9691776273035
