Date,WORLD HIGH DIVIDEND YIELD
1998-12-31,677.4356658611881
1999-01-29,701.1971368710871
1999-02-26,713.3539095474835
1999-03-31,739.731040246017
1999-04-30,808.9464121027933
1999-05-31,788.2512710249316
1999-06-30,812.8241780322909
1999-07-30,777.4360949547302
1999-08-31,775.0863154666511
1999-09-30,750.6059393768722
1999-10-29,787.8284372354788
1999-11-30,828.8552341967924
1999-12-31,855.8120226208911
2000-01-31,810.6241238875658
2000-02-29,791.614118291405
2000-03-31,859.0651550292091
2000-04-28,875.7790264176133
2000-05-31,864.6970043890988
2000-06-30,827.9306054609568
2000-07-31,855.4979515860674
2000-08-31,909.2227712679265
2000-09-29,918.1909987314297
2000-10-31,975.8830092568429
2000-11-30,934.7555438150488
2000-12-29,922.2034118379935
2001-01-01,922.2034118379935
2001-01-02,915.1485136701148
2001-01-03,915.8260679655849
2001-01-04,920.7221848812197
2001-01-05,910.219631391268
2001-01-08,912.5248135106071
2001-01-09,915.3761410966937
2001-01-10,913.0358533985118
2001-01-11,908.7295594774008
2001-01-12,906.1630814241898
2001-01-15,911.8462742223048
2001-01-16,909.7860219391541
2001-01-17,919.659744617154
2001-01-18,908.7284833640551
2001-01-19,908.4186747752649
2001-01-22,914.4894208871012
2001-01-23,915.6763270163431
2001-01-24,926.6458903045458
2001-01-25,933.2894704872575
2001-01-26,931.3890997863225
2001-01-29,936.2896639196472
2001-01-30,938.2940052449433
2001-01-31,937.3954179774719
2001-02-01,932.0244572965702
2001-02-02,932.0793485655437
2001-02-05,934.3753961881915
2001-02-06,940.1732809455153
2001-02-07,934.8656260004291
2001-02-08,942.3075162642323
2001-02-09,936.1548651650438
2001-02-12,938.3924613978703
2001-02-13,943.4361585020354
2001-02-14,939.3461695215025
2001-02-15,948.4271421344623
2001-02-16,937.1810331362818
2001-02-19,934.879856968392
2001-02-20,935.5999955146065
2001-02-21,925.0918677461084
2001-02-22,927.3440076569731
2001-02-23,921.1041094622373
2001-02-26,925.6709010250647
2001-02-27,922.5737759013773
2001-02-28,918.0178481070576
2001-03-01,908.4792649717651
2001-03-02,908.1068461156067
2001-03-05,916.115022047309
2001-03-06,916.9315556985168
2001-03-07,922.450163997412
2001-03-08,925.4200852916088
2001-03-09,919.0040214686377
2001-03-12,902.5937086130004
2001-03-13,903.8224290812756
2001-03-14,887.2602548762753
2001-03-15,898.9253440255366
2001-03-16,888.7139202724031
2001-03-19,889.9233799668709
2001-03-20,883.6871380233691
2001-03-21,872.6332718074095
2001-03-22,855.3120731281616
2001-03-23,860.508280165771
2001-03-26,879.417676310961
2001-03-27,897.0933716601347
2001-03-28,892.9250878220311
2001-03-29,901.8246987294218
2001-03-30,910.0303185789028
2001-04-02,907.1624699226147
2001-04-03,886.0578175618588
2001-04-04,879.5938768277026
2001-04-05,898.6647691880436
2001-04-06,890.7407365571644
2001-04-09,901.0776509920179
2001-04-10,921.9569104814358
2001-04-11,921.0321381272822
2001-04-12,918.7859351968774
2001-04-13,918.5593734269966
2001-04-16,927.806482852143
2001-04-17,931.1458222579073
2001-04-18,948.6054714744199
2001-04-19,937.7523974764609
2001-04-20,925.3735879734786
2001-04-23,925.9167323841183
2001-04-24,929.4145310117472
2001-04-25,931.82997800836
2001-04-26,935.0464475735197
2001-04-27,951.3954392725899
2001-04-30,953.2737462342791
2001-05-01,954.7257271696495
2001-05-02,949.4620140316304
2001-05-03,938.1359772009403
2001-05-04,945.1350030361991
2001-05-07,950.5453736865045
2001-05-08,951.8829094178956
2001-05-09,952.0857572198476
2001-05-10,962.9368734784014
2001-05-11,962.3447803947038
2001-05-14,958.6927130470852
2001-05-15,962.7548354113931
2001-05-16,970.27813589274
2001-05-17,974.159831469477
2001-05-18,981.7354131000684
2001-05-21,985.0908547850534
2001-05-22,989.7429740664168
2001-05-23,987.9352039436571
2001-05-24,992.2479509265349
2001-05-25,987.7886323002452
2001-05-28,986.1016891426661
2001-05-29,992.016142902242
2001-05-30,985.5167317600609
2001-05-31,996.3531022100046
2001-06-01,996.0537821717172
2001-06-04,1000.8383861529613
2001-06-05,1006.0253884247052
2001-06-06,998.9787235004429
2001-06-07,993.7124237527933
2001-06-08,992.5805770108449
2001-06-11,993.85881681883
2001-06-12,983.9278862768389
2001-06-13,984.6099771276573
2001-06-14,971.3351051913719
2001-06-15,963.6288580116563
2001-06-18,958.0951603109436
2001-06-19,963.6283039145623
2001-06-20,967.499054670893
2001-06-21,969.6968645439051
2001-06-22,970.0218310180829
2001-06-25,963.7005133378617
2001-06-26,956.6075335539953
2001-06-27,955.4637557763112
2001-06-28,967.7177628938067
2001-06-29,975.4762056873191
2001-07-02,985.1022605025113
2001-07-03,979.5537881990081
2001-07-04,978.8755542968372
2001-07-05,981.1218406089738
2001-07-06,959.4228903284194
2001-07-09,956.6938245538743
2001-07-10,947.7585036456363
2001-07-11,939.1962764172765
2001-07-12,952.4331802206583
2001-07-13,957.0629364878179
2001-07-16,953.0869114714035
2001-07-17,955.7890777277161
2001-07-18,937.1094732783358
2001-07-19,944.0047153577095
2001-07-20,936.8253777621584
2001-07-23,936.4506023968896
2001-07-24,919.7162309727241
2001-07-25,917.8287666253201
2001-07-26,924.8284495991447
2001-07-27,933.5065690071565
2001-07-30,937.3052187574705
2001-07-31,944.8432212688156
2001-08-01,945.6741285185165
2001-08-02,943.2087236940131
2001-08-03,934.7073850396863
2001-08-06,936.084645651522
2001-08-07,942.3492588371258
2001-08-08,933.9011832638788
2001-08-09,919.1679918063464
2001-08-10,916.054121742168
2001-08-13,916.4313959462438
2001-08-14,923.3090599332519
2001-08-15,914.1519719861707
2001-08-16,911.4685341847612
