Date,WORLD ex EMU HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.5437156427141
1999-01-05,1003.6722317398129
1999-01-06,1037.8009203204128
1999-01-07,1041.8086659399346
1999-01-08,1057.8351785531488
1999-01-11,1050.601177231761
1999-01-12,1036.7963094332324
1999-01-13,1007.9654471397363
1999-01-14,993.4913035957111
1999-01-15,1016.6283482620973
1999-01-18,1025.1172188915903
1999-01-19,1018.7485043442135
1999-01-20,1022.0743061028047
1999-01-21,1011.7858614880328
1999-01-22,998.5093110904118
1999-01-25,1001.7123906104308
1999-01-26,1003.8672278018727
1999-01-27,997.9212882061374
1999-01-28,1011.2695976182503
1999-01-29,1022.5158216419965
1999-02-01,1030.0554212224047
1999-02-02,1026.5644965519348
1999-02-03,1025.7716903215244
1999-02-04,1026.0624702638074
1999-02-05,1025.8553381147922
1999-02-08,1027.6241004644096
1999-02-09,1011.975554865516
1999-02-10,1005.1290170055975
1999-02-11,1017.5562362161312
1999-02-12,1020.6033034403232
1999-02-15,1027.4493973303497
1999-02-16,1037.9499473719993
1999-02-17,1030.8636548702573
1999-02-18,1036.1378335993493
1999-02-19,1042.223889238307
1999-02-22,1057.8217128719957
1999-02-23,1060.9711314488327
1999-02-24,1062.4503119886033
1999-02-25,1047.7762310164671
1999-02-26,1051.7172409473792
1999-03-01,1050.9121338247573
1999-03-02,1051.878665158056
1999-03-03,1056.569305339589
1999-03-04,1074.6427934050334
1999-03-05,1094.568831679873
1999-03-08,1091.46915605057
1999-03-09,1094.5373920352836
1999-03-10,1103.2820877632325
1999-03-11,1128.2104048602062
1999-03-12,1117.4567488071955
1999-03-15,1112.0487876132604
1999-03-16,1112.5950425832123
1999-03-17,1102.1089921813377
1999-03-18,1109.8252327826945
1999-03-19,1112.427438690296
1999-03-22,1116.0208934511159
1999-03-23,1100.0464997390332
1999-03-24,1095.4957530437505
1999-03-25,1108.9588592696034
1999-03-26,1117.5469419968956
1999-03-29,1134.3646704367143
1999-03-30,1119.3948371636664
1999-03-31,1112.6029084331024
1999-04-01,1108.4870708019012
1999-04-02,1110.0829065244031
1999-04-05,1125.6387138638636
1999-04-06,1122.4635063638957
1999-04-07,1133.124935836877
1999-04-08,1144.4315068497497
1999-04-09,1155.2512519629406
1999-04-12,1155.7827498854365
1999-04-13,1167.434265771415
1999-04-14,1166.8094886312879
1999-04-15,1189.3253079767296
1999-04-16,1202.9262363186358
1999-04-19,1230.1428239653148
1999-04-20,1208.205174090434
1999-04-21,1207.3008054300199
1999-04-22,1220.486707647721
1999-04-23,1217.162123071172
1999-04-26,1219.375472213737
1999-04-27,1233.8337665094136
1999-04-28,1243.345695285132
1999-04-29,1250.7955696651534
1999-04-30,1250.6335888415579
1999-05-03,1270.6406169473262
1999-05-04,1261.0936332520123
1999-05-05,1245.3974710078742
1999-05-06,1228.6828536363512
1999-05-07,1223.0389818002805
1999-05-10,1217.6270170678647
1999-05-11,1225.7687035149147
1999-05-12,1224.3873691430654
1999-05-13,1242.9855300029465
1999-05-14,1212.8263278079746
1999-05-17,1203.2561962224745
1999-05-18,1204.1419698543093
1999-05-19,1213.2301198862428
1999-05-20,1217.9408290938516
1999-05-21,1225.2937499245604
1999-05-24,1213.6857571081327
1999-05-25,1195.2309674221428
1999-05-26,1217.731749284658
1999-05-27,1198.2131640205102
1999-05-28,1204.122683236624
1999-05-31,1208.400435079619
1999-06-01,1209.9437614064957
1999-06-02,1228.0658164844801
1999-06-03,1233.0775699793928
1999-06-04,1247.7216897799387
1999-06-07,1257.9521497586027
1999-06-08,1240.106726857195
1999-06-09,1239.2984486773114
1999-06-10,1228.1007187570524
1999-06-11,1231.9822764855473
1999-06-14,1241.1570368865644
1999-06-15,1243.8954200139174
1999-06-16,1263.304631771584
1999-06-17,1267.958131548944
1999-06-18,1263.0072633342052
1999-06-21,1270.4026415652404
1999-06-22,1263.5869229774555
1999-06-23,1254.3644118440127
1999-06-24,1235.2061910764742
1999-06-25,1226.8714832500953
1999-06-28,1235.896312332487
1999-06-29,1240.4211240183095
1999-06-30,1247.495537811971
1999-07-01,1272.1430544228338
1999-07-02,1283.8749449847555
1999-07-05,1290.4906311996647
1999-07-06,1287.7199165683287
1999-07-07,1284.4754792874367
1999-07-08,1282.8938739805023
1999-07-09,1282.8714040243415
1999-07-12,1286.9440819106158
1999-07-13,1269.4531165608416
1999-07-14,1272.4059108788517
1999-07-15,1282.8367715473134
1999-07-16,1284.7342993159793
1999-07-19,1279.6928939575134
1999-07-20,1243.758415131992
1999-07-21,1226.4285548041817
1999-07-22,1225.5301738582223
1999-07-23,1216.930788677074
1999-07-26,1194.8044324001364
1999-07-27,1207.8473182391597
1999-07-28,1211.8845159959326
1999-07-29,1186.6438075554847
1999-07-30,1194.8406839829227
1999-08-02,1203.5792368741697
