Date,WORLD ex EUROPE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,992.4502315147373
1999-01-05,999.7603340772027
1999-01-06,1030.9748216444766
1999-01-07,1043.111330214152
1999-01-08,1062.907754370492
1999-01-11,1056.8633816451359
1999-01-12,1039.4822213161428
1999-01-13,1012.6825816768494
1999-01-14,993.8898193865044
1999-01-15,1018.3354519946074
1999-01-18,1020.159622646047
1999-01-19,1015.0871125830663
1999-01-20,1014.3187303873157
1999-01-21,1004.2735398459755
1999-01-22,996.1099245879794
1999-01-25,998.6464344317809
1999-01-26,1002.2020116057315
1999-01-27,993.5552180172091
1999-01-28,1009.8531860938235
1999-01-29,1020.8062953837408
1999-02-01,1020.4176740764054
1999-02-02,1009.6595248099466
1999-02-03,1013.3368216841942
1999-02-04,1014.3218769051545
1999-02-05,1018.5549187883429
1999-02-08,1021.478935634187
1999-02-09,1005.1850570576718
1999-02-10,999.6328773669201
1999-02-11,1008.7073498448625
1999-02-12,1003.3069180699908
1999-02-15,1006.0248864915529
1999-02-16,1010.6449001114037
1999-02-17,1004.0653777788856
1999-02-18,1013.0608367914983
1999-02-19,1023.985974699629
1999-02-22,1047.4649194826566
1999-02-23,1045.5742354630577
1999-02-24,1036.6609188661967
1999-02-25,1025.409949560179
1999-02-26,1029.8010161769619
1999-03-01,1032.5131476627232
1999-03-02,1027.8905983910959
1999-03-03,1032.0808278045351
1999-03-04,1052.9345416629576
1999-03-05,1073.0169649609206
1999-03-08,1070.4433447819406
1999-03-09,1069.1451298961647
1999-03-10,1079.788158294945
1999-03-11,1099.4255362358044
1999-03-12,1087.6992713547015
1999-03-15,1090.6987187916216
1999-03-16,1088.6849688205796
1999-03-17,1077.6964334893414
1999-03-18,1092.9152712451482
1999-03-19,1090.7382699546367
1999-03-22,1095.6641922106348
1999-03-23,1076.1261726942805
1999-03-24,1071.6556419041483
1999-03-25,1084.7360745573685
1999-03-26,1091.2436593414598
1999-03-29,1106.605734299242
1999-03-30,1087.591863772375
1999-03-31,1076.0464631159257
1999-04-01,1076.7432114877095
1999-04-02,1077.7872114041274
1999-04-05,1099.0491193592661
1999-04-06,1091.4159462204912
1999-04-07,1097.7486981866577
1999-04-08,1109.3633848289069
1999-04-09,1117.1168402770923
1999-04-12,1122.5276249711126
1999-04-13,1129.5288866281742
1999-04-14,1130.384820827968
1999-04-15,1158.7846905279773
1999-04-16,1179.867178664264
1999-04-19,1203.647980548316
1999-04-20,1191.776287344896
1999-04-21,1195.2267618215237
1999-04-22,1204.8044526677031
1999-04-23,1198.3542121746773
1999-04-26,1195.1354188690407
1999-04-27,1207.5552251763877
1999-04-28,1219.0500724125143
1999-04-29,1235.8402472325474
1999-04-30,1225.6117358387999
1999-05-03,1252.6478932188413
1999-05-04,1238.2776794945732
1999-05-05,1230.34232674404
1999-05-06,1210.703994195181
1999-05-07,1211.1102902824277
1999-05-10,1207.8471633971405
1999-05-11,1218.242753340113
1999-05-12,1218.569616468438
1999-05-13,1235.112159327081
1999-05-14,1207.5029683400726
1999-05-17,1202.8094510575925
1999-05-18,1197.8559415139737
1999-05-19,1203.9464635439044
1999-05-20,1205.587882290463
1999-05-21,1218.8755059334026
1999-05-24,1205.4417302040733
1999-05-25,1185.1934810140813
1999-05-26,1215.8268734702983
1999-05-27,1190.5577961459915
1999-05-28,1198.0365375397969
1999-05-31,1201.0540672574887
1999-06-01,1197.540423494688
1999-06-02,1213.0021778383455
1999-06-03,1215.8081623199876
1999-06-04,1233.5338401209253
1999-06-07,1245.1118713683056
1999-06-08,1223.258572458471
1999-06-09,1222.9428660955218
1999-06-10,1213.5875755574555
1999-06-11,1207.80969197012
1999-06-14,1225.2675856504727
1999-06-15,1230.815094851496
1999-06-16,1251.1359556985246
1999-06-17,1258.8379820180908
1999-06-18,1249.9250259542127
1999-06-21,1250.9738593832112
1999-06-22,1246.9928914438233
1999-06-23,1241.9599427468063
1999-06-24,1220.3294331872924
1999-06-25,1210.985655723999
1999-06-28,1226.4225638777625
1999-06-29,1242.0825232766758
1999-06-30,1253.4974694294522
1999-07-01,1269.0968362420786
1999-07-02,1284.1547661625818
1999-07-05,1286.0378567944904
1999-07-06,1283.4854558124905
1999-07-07,1285.2602990163762
1999-07-08,1282.5641620939202
1999-07-09,1283.753306556432
1999-07-12,1284.972063601948
1999-07-13,1273.8709573257647
1999-07-14,1270.4253874923188
1999-07-15,1273.8324198925811
1999-07-16,1279.4073730880996
1999-07-19,1279.0535689950086
1999-07-20,1240.8248457827478
1999-07-21,1227.2664859556983
1999-07-22,1226.9015217006
1999-07-23,1224.2323315878316
1999-07-26,1196.1037725891777
1999-07-27,1205.8669283841828
1999-07-28,1207.8951616811507
1999-07-29,1182.8469029843495
1999-07-30,1179.3736049335605
1999-08-02,1187.1025702188174
