Date,PACIFIC HIGH DIVIDEND YIELD
1998-12-31,466.92696448486276
1999-01-29,474.687789980848
1999-02-26,480.14227931505354
1999-03-31,532.1095964344202
1999-04-30,611.1167476785765
1999-05-31,571.1867958127727
1999-06-30,604.7811096776728
1999-07-30,586.5704337761739
1999-08-31,585.2925128675504
1999-09-30,572.1883926598902
1999-10-29,579.6775203206794
1999-11-30,647.5432914395673
1999-12-31,670.9931521994813
2000-01-31,654.0190697398681
2000-02-29,623.5340638318879
2000-03-31,667.0507419472779
2000-04-28,669.0431869525927
2000-05-31,641.1525853550789
2000-06-30,678.1481995856242
2000-07-31,681.3126904105333
2000-08-31,715.0913926831449
2000-09-29,693.202939201768
2000-10-31,721.1057658440302
2000-11-30,718.034977175876
2000-12-29,694.7515364879375
2001-01-01,694.7515364879375
2001-01-02,689.7030481014831
2001-01-03,688.4229698697401
2001-01-04,694.3471528928119
2001-01-05,691.4832829559189
2001-01-08,685.8215629545718
2001-01-09,690.2758784862855
2001-01-10,686.7409690657454
2001-01-11,672.3683056974996
2001-01-12,670.899263521265
2001-01-15,667.6774045690854
2001-01-16,666.1781140823149
2001-01-17,673.6656080623388
2001-01-18,667.7248329492326
2001-01-19,681.8389709335901
2001-01-22,687.5330684486022
2001-01-23,681.461443211339
2001-01-24,687.2919112593055
2001-01-25,692.685722766723
2001-01-26,692.3010515543143
2001-01-29,696.6084172103544
2001-01-30,691.1602734199568
2001-01-31,693.7467017715469
2001-02-01,694.5016081869716
2001-02-02,694.6352334796165
2001-02-05,685.1090018382447
2001-02-06,690.1377788114769
2001-02-07,687.0087375468048
2001-02-08,691.4243381959836
2001-02-09,682.8105655576112
2001-02-12,678.8766640069377
2001-02-13,682.0597729836635
2001-02-14,681.9573302550899
2001-02-15,688.2070434606575
2001-02-16,684.209247335299
2001-02-19,676.9180872778473
2001-02-20,687.5093507085328
2001-02-21,684.4951314849815
2001-02-22,687.4652773230339
2001-02-23,687.8232111589234
2001-02-26,689.918661112296
2001-02-27,683.1082108760683
2001-02-28,683.4368212842542
2001-03-01,674.3511171253631
2001-03-02,667.4909498134153
2001-03-05,672.4420429648547
2001-03-06,672.9435025314918
2001-03-07,670.7542537408607
2001-03-08,662.5624263911366
2001-03-09,661.9073309476847
2001-03-12,655.2675654522708
2001-03-13,651.1750910101391
2001-03-14,651.2998963654164
2001-03-15,654.8817794496168
2001-03-16,657.7913235385604
2001-03-19,662.7148853918152
2001-03-20,657.6819879366486
2001-03-21,666.8149315557661
2001-03-22,661.2739654810729
2001-03-23,657.7231426350353
2001-03-26,666.5738027614049
2001-03-27,659.2841248911095
2001-03-28,668.2961267640014
2001-03-29,663.6518861659864
2001-03-30,656.4967942075792
2001-04-02,654.0949637038382
2001-04-03,658.864891131217
2001-04-04,650.1896243322441
2001-04-05,663.1143902698527
2001-04-06,663.0119582431354
2001-04-09,653.7676501169069
2001-04-10,666.5955495558616
2001-04-11,682.5320152451253
2001-04-12,684.2985732991216
2001-04-13,682.251683727517
2001-04-16,688.1784857188171
2001-04-17,687.6517023802292
2001-04-18,699.2269586220567
2001-04-19,700.4572208155126
2001-04-20,697.1762767571993
2001-04-23,695.1980642954028
2001-04-24,697.6140376665549
2001-04-25,693.319013638522
2001-04-26,692.7683724231538
2001-04-27,699.0354183352754
2001-04-30,708.655741275901
2001-05-01,713.6581436085274
2001-05-02,715.5459528276597
2001-05-03,717.375850144536
2001-05-04,711.021795188537
2001-05-07,716.9261004492373
2001-05-08,717.3185179964414
2001-05-09,718.6169537981342
2001-05-10,723.2221973861746
2001-05-11,727.7520817516265
2001-05-14,721.2465097714975
2001-05-15,720.8106494144662
2001-05-16,716.222636564062
2001-05-17,730.4841081990243
2001-05-18,726.8780358169689
2001-05-21,738.8052481522113
2001-05-22,742.4638278328911
2001-05-23,750.4235390452486
2001-05-24,752.6174555406682
2001-05-25,750.0146543114497
2001-05-28,748.1481082627755
2001-05-29,753.2315901005093
2001-05-30,746.1440557660097
2001-05-31,751.9342494494455
2001-06-01,754.9034153244728
2001-06-04,757.7414045914346
2001-06-05,758.5419337958137
2001-06-06,761.9982263877769
2001-06-07,768.475691723039
2001-06-08,772.1085734016033
2001-06-11,772.0471684447878
2001-06-12,758.2906719522408
2001-06-13,757.4360966950676
2001-06-14,752.4957533953192
2001-06-15,748.0564294570287
2001-06-18,741.6630728892889
2001-06-19,745.77602563498
2001-06-20,747.4608215793274
2001-06-21,745.4189319145336
2001-06-22,746.9045736185043
2001-06-25,740.8068223368167
2001-06-26,745.2983835477863
2001-06-27,740.981027918886
2001-06-28,743.9924950310568
2001-06-29,753.1591419304235
2001-07-02,747.9309228907534
2001-07-03,753.3060063474077
2001-07-04,755.9775716945907
2001-07-05,753.6031219437808
2001-07-06,736.0191071701599
2001-07-09,728.2909653004593
2001-07-10,728.8746257937261
2001-07-11,722.8302906551726
2001-07-12,733.807733010382
2001-07-13,729.9389872590267
2001-07-16,729.0152264087719
2001-07-17,727.1311197806813
2001-07-18,710.5016355188523
2001-07-19,711.1043216954122
2001-07-20,705.9171590785359
2001-07-23,704.7902901798388
2001-07-24,697.7442980127516
2001-07-25,691.4503062148099
2001-07-26,687.1332909093244
2001-07-27,691.8248732198431
2001-07-30,692.0245685066561
2001-07-31,699.6165454822562
2001-08-01,707.8246358652369
