Date,EUROPE HIGH DIVIDEND YIELD CAPPED
2006-05-31,1000.0
2006-06-01,1006.265276769732
2006-06-02,1007.8806709058737
2006-06-05,1001.0126391953393
2006-06-06,985.6853831197697
2006-06-07,995.4285411224163
2006-06-08,973.0968215557069
2006-06-09,988.9658150935013
2006-06-12,982.1368328946813
2006-06-13,962.268586122234
2006-06-14,962.8378174370575
2006-06-15,982.2036319491546
2006-06-16,976.840174272974
2006-06-19,982.9940375351554
2006-06-20,987.5914872404223
2006-06-21,986.0578698728646
2006-06-22,989.9362395871767
2006-06-23,991.0254651682628
2006-06-26,988.850903830601
2006-06-27,981.2818752883794
2006-06-28,984.0528452295017
2006-06-29,1000.6499294187747
2006-06-30,1014.0305524273224
2006-07-03,1018.4118910627577
2006-07-04,1022.0996435239351
2006-07-05,1012.0273081842631
2006-07-06,1020.6397704948198
2006-07-07,1020.000742479016
2006-07-10,1023.9938915274087
2006-07-11,1015.5271839294529
2006-07-12,1015.8820703660106
2006-07-13,1001.8170643364988
2006-07-14,990.1140808260287
2006-07-17,987.8791499426552
2006-07-18,987.82228175286
2006-07-19,1009.746191280875
2006-07-20,1009.874013259394
2006-07-21,1003.3606635463359
2006-07-24,1021.9178749613944
2006-07-25,1019.9922258880055
2006-07-26,1024.6824612844428
2006-07-27,1038.537989283483
2006-07-28,1046.6977723198656
2006-07-31,1041.6503721688562
2006-08-01,1034.3920311916122
2006-08-02,1047.0191072030714
2006-08-03,1040.1350524071954
2006-08-04,1053.2651126480105
2006-08-07,1043.982914512829
2006-08-08,1046.7286186558724
2006-08-09,1055.7003203407628
2006-08-10,1047.495375459777
2006-08-11,1048.218361882904
2006-08-14,1059.0372692209398
2006-08-15,1067.2760886976093
2006-08-16,1071.4075128843826
2006-08-17,1070.345280509707
2006-08-18,1068.6883745991445
2006-08-21,1068.1259199580256
2006-08-22,1071.7185069606721
2006-08-23,1066.7311044927087
2006-08-24,1071.9619450801513
2006-08-25,1073.5683353171542
2006-08-28,1077.460626482172
2006-08-29,1079.5161174108116
2006-08-30,1083.808007342829
2006-08-31,1079.176572482151
2006-09-01,1084.9547466166032
2006-09-04,1089.6638978163105
2006-09-05,1086.3839853239108
2006-09-06,1075.3508177894676
2006-09-07,1066.6582771192327
2006-09-08,1071.2761655374134
2006-09-11,1066.8456883814872
2006-09-12,1080.0082478072538
2006-09-13,1083.1846233376025
2006-09-14,1085.6379055603293
2006-09-15,1091.6132559765058
2006-09-18,1090.2252860741326
2006-09-19,1084.7403252647325
2006-09-20,1098.4946508107644
2006-09-21,1102.8411861905588
2006-09-22,1088.5208201902078
2006-09-25,1089.1790954061692
2006-09-26,1101.9363963911126
2006-09-27,1108.6595934202044
2006-09-28,1108.11800804756
2006-09-29,1108.7441492818225
2006-10-02,1108.1089889495975
2006-10-03,1106.7428312752184
2006-10-04,1117.3399175565398
2006-10-05,1121.857277689343
2006-10-06,1126.4706956264324
2006-10-09,1125.7802107926323
2006-10-10,1131.693150246967
2006-10-11,1132.419831277386
2006-10-12,1143.6286651642738
2006-10-13,1146.018080726537
2006-10-16,1147.9234647542798
2006-10-17,1135.1682444803903
2006-10-18,1145.257464606818
2006-10-19,1141.7613707881942
2006-10-20,1143.5768592288105
2006-10-23,1147.6621121097287
2006-10-24,1149.250948482839
2006-10-25,1150.7351190915158
2006-10-26,1150.8688997378197
2006-10-27,1149.6603934514312
2006-10-30,1147.8617494420753
2006-10-31,1148.8115627284633
2006-11-01,1150.275000149939
2006-11-02,1143.3726116783275
2006-11-03,1147.599404280965
2006-11-06,1159.200419717244
2006-11-07,1164.8868006486466
2006-11-08,1167.2261391328752
2006-11-09,1162.2250772967873
2006-11-10,1161.9406153242787
2006-11-13,1164.2921898479215
2006-11-14,1160.8193241160507
2006-11-15,1166.5355111308556
2006-11-16,1168.1913286300585
2006-11-17,1162.0073534246578
2006-11-20,1164.8103129039043
2006-11-21,1165.8429346086539
2006-11-22,1162.446085393802
2006-11-23,1159.0024037568771
2006-11-24,1150.4018311518057
2006-11-27,1135.0173972826267
2006-11-28,1133.5313785622895
2006-11-29,1146.1801289413893
2006-11-30,1137.7548058776179
2006-12-01,1128.6371848066224
2006-12-04,1135.2798280124582
2006-12-05,1142.4997616165542
2006-12-06,1143.8887896736746
2006-12-07,1152.2632224228391
2006-12-08,1154.659736966159
2006-12-11,1161.073104953161
2006-12-12,1165.0246551383377
2006-12-13,1174.199924742182
2006-12-14,1182.4488534679572
2006-12-15,1189.702111188491
2006-12-18,1187.121710669482
2006-12-19,1181.0699637518064
2006-12-20,1184.7597873079017
2006-12-21,1184.0368883426784
2006-12-22,1178.891220340775
2006-12-25,1178.891220340775
2006-12-26,1178.684419817246
2006-12-27,1191.8041945318637
2006-12-28,1192.979613279084
2006-12-29,1186.7997577169785
2007-01-01,1186.7997577169785
2007-01-02,1206.1014603085155
2007-01-03,1206.8337552608314
2007-01-04,1205.2645848784282
2007-01-05,1192.6330772053702
2007-01-08,1192.3640577977872
2007-01-09,1197.9451125751777
2007-01-10,1188.6249928164318
2007-01-11,1208.0277305538086
2007-01-12,1214.5487588677147
2007-01-15,1222.396427057609
2007-01-16,1214.4990123284915
2007-01-17,1212.4349804313356
2007-01-18,1211.4794456325562
2007-01-19,1219.0445650434378
2007-01-22,1214.8953690991589
2007-01-23,1215.291552198739
2007-01-24,1227.7186033930452
2007-01-25,1223.5315356320991
2007-01-26,1214.9811782744796
2007-01-29,1217.2521144192458
2007-01-30,1220.2616063796227
2007-01-31,1212.7972216799878
2007-02-01,1226.0712844017373
2007-02-02,1233.4517217458638
2007-02-05,1233.9445845750524
2007-02-06,1240.1131730983755
2007-02-07,1243.3508539833517
2007-02-08,1232.6610424207777
2007-02-09,1238.0855660880827
2007-02-12,1230.7775834609065
2007-02-13,1232.6880137382848
2007-02-14,1239.5317109801492
2007-02-15,1233.6797702170852
2007-02-16,1231.9927121066949
2007-02-19,1235.5769164108685
2007-02-20,1233.0740504073708
2007-02-21,1226.80380492348
2007-02-22,1229.1755962964785
2007-02-23,1231.3022397990715
2007-02-26,1236.2792810176531
2007-02-27,1204.4703265506519
2007-02-28,1181.5000681571205
2007-03-01,1170.9033614393086
2007-03-02,1164.2737138838363
2007-03-05,1152.1322854197083
2007-03-06,1161.827470675625
2007-03-07,1169.27748037572
2007-03-08,1185.5332300148139
2007-03-09,1189.5939881462466
2007-03-12,1181.430481700553
2007-03-13,1167.543187238139
2007-03-14,1135.418021550832
2007-03-15,1157.459234111539
2007-03-16,1156.4256397901838
2007-03-19,1173.7216131221735
2007-03-20,1184.913968150647
2007-03-21,1190.3568329119928
2007-03-22,1208.7499425154251
2007-03-23,1213.9310891058142
2007-03-26,1203.5308132612463
2007-03-27,1202.2282708490177
2007-03-28,1193.214681704926
2007-03-29,1205.7702910265828
2007-03-30,1205.3120822418155
2007-04-02,1210.9369044180135
2007-04-03,1223.8821763422734
2007-04-04,1224.0612052080194
2007-04-05,1224.5481365463006
2007-04-06,1224.5481365463006
2007-04-09,1224.5156757999116
2007-04-10,1232.1570138403863
2007-04-11,1233.4409133061488
2007-04-12,1229.1584228856525
2007-04-13,1235.856012588236
2007-04-16,1250.9858434600876
2007-04-17,1253.2856392534743
2007-04-18,1246.943964056336
2007-04-19,1239.9640394207438
2007-04-20,1259.4373280990073
2007-04-23,1255.9045566594807
2007-04-24,1244.2815238772473
2007-04-25,1253.8822156071906
2007-04-26,1256.4066485395851
2007-04-27,1250.206737548276
2007-04-30,1253.7988765114685
2007-05-01,1252.7410894731406
2007-05-02,1259.872899450121
2007-05-03,1264.9189104696745
2007-05-04,1270.6900398628093
2007-05-07,1270.3395796367354
2007-05-08,1261.579593200199
2007-05-09,1263.0551904598788
2007-05-10,1254.3670388489193
2007-05-11,1261.746171331617
2007-05-14,1259.1292280021953
2007-05-15,1262.463597065267
2007-05-16,1257.0796163342875
2007-05-17,1259.9451075558702
2007-05-18,1271.6729965612956
2007-05-21,1270.2597475179828
2007-05-22,1270.7179077450594
2007-05-23,1283.621585735452
2007-05-24,1274.6571866239553
2007-05-25,1274.2289424182486
2007-05-28,1276.887723616556
2007-05-29,1279.392852361371
2007-05-30,1277.8963124366155
2007-05-31,1283.6555482914457
2007-06-01,1295.7540675942998
2007-06-04,1291.3930111667821
2007-06-05,1286.2303283590236
2007-06-06,1270.9708665641742
2007-06-07,1260.2306128678715
2007-06-08,1262.0072048231214
2007-06-11,1269.181272717957
2007-06-12,1260.2720750848619
2007-06-13,1263.9348813489257
2007-06-14,1283.1697256026662
2007-06-15,1296.4567989436393
2007-06-18,1291.5569415758737
2007-06-19,1287.702434291795
2007-06-20,1291.4303217505517
2007-06-21,1279.3496377519766
2007-06-22,1273.7831839128205
2007-06-25,1273.7406236854242
2007-06-26,1267.7714993166148
2007-06-27,1261.9271042298267
2007-06-28,1270.4208467731887
2007-06-29,1277.0109948116396
2007-07-02,1270.1462802366113
2007-07-03,1280.2959084324655
2007-07-04,1285.8367248596144
2007-07-05,1275.9554979945146
2007-07-06,1285.6580767868975
2007-07-09,1289.4609972362484
2007-07-10,1273.6177966479427
2007-07-11,1265.7395330760062
2007-07-12,1280.113573779528
2007-07-13,1288.0903869514652
2007-07-16,1291.5273160683537
2007-07-17,1287.86010062033
2007-07-18,1274.9428760314038
2007-07-19,1284.2717407187606
2007-07-20,1269.1118815580703
2007-07-23,1278.1724885883325
2007-07-24,1257.4327961652234
2007-07-25,1247.8301839830542
2007-07-26,1214.6072070870257
2007-07-27,1210.4209578767754
2007-07-30,1202.484431385882
2007-07-31,1230.0233889241229
2007-08-01,1210.3350188589707
2007-08-02,1223.4870518290659
2007-08-03,1205.8754180101255
2007-08-06,1195.4102685954279
2007-08-07,1217.6379513791258
2007-08-08,1239.9943377310362
2007-08-09,1215.9022490330951
2007-08-10,1173.8299991654776
2007-08-13,1204.8039674332526
2007-08-14,1188.892676985761
2007-08-15,1188.1811810368924
2007-08-16,1149.7248543455366
2007-08-17,1184.1923466410137
2007-08-20,1187.7219870958727
2007-08-21,1185.3780826319344
2007-08-22,1201.7671327117714
2007-08-23,1204.3410723519332
2007-08-24,1205.0196541923685
2007-08-27,1206.0690508579962
2007-08-28,1181.1059243099357
2007-08-29,1188.309078112936
2007-08-30,1200.3862780293057
2007-08-31,1215.1377444854647
2007-09-03,1219.5960484974387
2007-09-04,1227.475406091759
2007-09-05,1204.355810697598
2007-09-06,1206.351446670086
2007-09-07,1179.4673666711649
2007-09-10,1171.2272432972695
2007-09-11,1191.5782256044429
2007-09-12,1195.618034124249
2007-09-13,1206.7239823254772
2007-09-14,1191.4164472418536
2007-09-17,1172.105424622831
2007-09-18,1189.0402664612234
2007-09-19,1218.0919560369337
2007-09-20,1210.2164550832397
2007-09-21,1212.8109217374588
2007-09-24,1205.9325217562593
2007-09-25,1192.4253645203503
2007-09-26,1202.329209368446
2007-09-27,1214.033582927376
2007-09-28,1210.2020861320511
2007-10-01,1218.1526997590067
2007-10-02,1226.0119504695206
2007-10-03,1228.729498117195
2007-10-04,1235.1294112980806
2007-10-05,1243.6387440317478
2007-10-08,1238.5985570949265
2007-10-09,1244.8240947792376
2007-10-10,1241.14159184997
2007-10-11,1245.535557551538
2007-10-12,1248.2185564533247
2007-10-15,1234.2713767715798
2007-10-16,1228.9547085533086
2007-10-17,1235.0006719282678
2007-10-18,1222.3853927521138
2007-10-19,1214.1322417213105
2007-10-22,1200.9372167316894
2007-10-23,1210.0878295498183
2007-10-24,1203.8635004422965
2007-10-25,1215.5954043966046
2007-10-26,1224.9259373058362
2007-10-29,1233.1142445409391
2007-10-30,1231.7519274750803
2007-10-31,1244.2575235151744
2007-11-01,1219.0516429987697
2007-11-02,1205.0514334262011
2007-11-05,1197.4021803855826
2007-11-06,1195.6221170581387
2007-11-07,1186.916630610382
2007-11-08,1169.514312616922
2007-11-09,1147.148154898438
2007-11-12,1156.0022406838368
2007-11-13,1166.1228874868375
2007-11-14,1167.610221083922
2007-11-15,1156.2808910544984
2007-11-16,1147.3979114816605
2007-11-19,1127.2759892117183
2007-11-20,1139.6736295689147
2007-11-21,1112.3381598171436
2007-11-22,1119.6623395900488
2007-11-23,1137.0326914070667
2007-11-26,1127.7149543094824
2007-11-27,1127.1607332381993
2007-11-28,1156.9719622419873
