Date,WORLD EX USA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0005829843748
1999-01-04,1014.7701503274124
1999-01-05,1021.9235553642791
1999-01-06,1051.780860509826
1999-01-07,1049.271348347842
1999-01-08,1055.5061556473802
1999-01-11,1045.145866125063
1999-01-12,1038.0975016906827
1999-01-13,996.9370300465911
1999-01-14,993.9484896604837
1999-01-15,1008.6771335205063
1999-01-18,1027.390228249484
1999-01-19,1023.8338749824089
1999-01-20,1030.4146416845408
1999-01-21,1022.2916041573078
1999-01-22,996.3957528120908
1999-01-25,994.6031931514112
1999-01-26,992.8041335771115
1999-01-27,999.1497635320089
1999-01-28,1010.0884274694874
1999-01-29,1021.4371719981305
1999-02-01,1037.48336622172
1999-02-02,1036.0411110844673
1999-02-03,1028.6976851570507
1999-02-04,1038.193175824734
1999-02-05,1042.0403242176237
1999-02-08,1043.1190481089354
1999-02-09,1024.6953416046133
1999-02-10,1010.7829248552125
1999-02-11,1020.5434165686169
1999-02-12,1030.6500556319336
1999-02-15,1035.5517379869661
1999-02-16,1042.6648180649775
1999-02-17,1029.007783415424
1999-02-18,1029.1294982407971
1999-02-19,1034.1853875604581
1999-02-22,1044.0566277086652
1999-02-23,1056.6902484442853
1999-02-24,1063.7387777196045
1999-02-25,1052.6265724887344
1999-02-26,1058.741547402841
1999-03-01,1052.6606030573846
1999-03-02,1058.2834629305175
1999-03-03,1054.6933143494207
1999-03-04,1068.8579835442995
1999-03-05,1093.0152905220673
1999-03-08,1088.1569478284164
1999-03-09,1090.690836819728
1999-03-10,1095.5454800337675
1999-03-11,1123.197222196248
1999-03-12,1123.0449335142753
1999-03-15,1119.3978843177235
1999-03-16,1127.1904473915795
1999-03-17,1121.95777607728
1999-03-18,1122.4685983043187
1999-03-19,1138.2027785742696
1999-03-22,1136.0870374667904
1999-03-23,1124.4123592360847
1999-03-24,1116.1233722736963
1999-03-25,1131.5680933710196
1999-03-26,1138.0202506856724
1999-03-29,1150.2287267592308
1999-03-30,1145.3724676283944
1999-03-31,1144.8229506988316
1999-04-01,1141.761491998326
1999-04-02,1142.8282339531038
1999-04-05,1147.6446465292875
1999-04-06,1154.2424024159689
1999-04-07,1164.4904222091513
1999-04-08,1167.523809388048
1999-04-09,1179.7800761936314
1999-04-12,1175.2327324630432
1999-04-13,1189.8212248525624
1999-04-14,1190.9583068763275
1999-04-15,1202.6365118559481
1999-04-16,1220.0123874191954
1999-04-19,1247.2144232920352
1999-04-20,1219.9419618510165
1999-04-21,1221.5904465629653
1999-04-22,1232.899286231796
1999-04-23,1231.3544159056955
1999-04-26,1240.336745563308
1999-04-27,1257.9633010263926
1999-04-28,1256.8648661838981
1999-04-29,1262.330374423908
1999-04-30,1272.8432681777908
1999-05-03,1277.631600766576
1999-05-04,1282.8231783179565
1999-05-05,1259.8098733821498
1999-05-06,1257.364402153487
1999-05-07,1244.668016358122
1999-05-10,1243.7174037477382
1999-05-11,1248.3190783184712
1999-05-12,1241.9041930700203
1999-05-13,1252.664084788268
1999-05-14,1228.6460944198407
1999-05-17,1211.4564553481796
1999-05-18,1217.079829134096
1999-05-19,1223.2656416610203
1999-05-20,1232.0949104774802
1999-05-21,1235.3670384042643
1999-05-24,1235.567770244134
1999-05-25,1219.9579604022613
1999-05-26,1226.273138740657
1999-05-27,1216.5471532467914
1999-05-28,1220.8111996942337
1999-05-31,1226.5991376304369
1999-06-01,1225.4099224088293
1999-06-02,1238.7872966705308
1999-06-03,1246.3031864801571
1999-06-04,1256.2604214319022
1999-06-07,1267.3308101353134
1999-06-08,1260.2347379236398
1999-06-09,1263.352760987528
1999-06-10,1254.122672342985
1999-06-11,1269.021894482944
1999-06-14,1266.4643002251867
1999-06-15,1267.7528663055768
1999-06-16,1286.248774704405
1999-06-17,1291.426549600216
1999-06-18,1292.1210356111264
1999-06-21,1301.4091978893648
1999-06-22,1296.3377687430957
1999-06-23,1284.6845936177936
1999-06-24,1272.530788660185
1999-06-25,1264.4794212255076
1999-06-28,1266.984930890295
1999-06-29,1264.872896631253
1999-06-30,1266.1609364641213
1999-07-01,1290.2997104865328
1999-07-02,1298.2175656244988
1999-07-05,1320.1894954308127
1999-07-06,1318.597207854516
1999-07-07,1309.7485368050686
1999-07-08,1310.1438806708877
1999-07-09,1314.1375871347934
1999-07-12,1316.9540108271115
1999-07-13,1296.4574375588318
1999-07-14,1300.727841294183
1999-07-15,1314.9675328100639
1999-07-16,1309.8247438870667
1999-07-19,1303.6762713245362
1999-07-20,1277.525564003737
1999-07-21,1259.3773125039672
1999-07-22,1254.4770877236074
1999-07-23,1241.4954852204733
1999-07-26,1219.7450259236134
1999-07-27,1228.9143899707485
1999-07-28,1232.4898275563087
1999-07-29,1210.1296167896232
1999-07-30,1230.4856162811745
1999-08-02,1234.5033748820165
1999-08-03,1234.1417522442362
1999-08-04,1233.226660934018
1999-08-05,1211.7633076485852
1999-08-06,1212.1638813433735
1999-08-09,1222.8769677696453
1999-08-10,1205.5404847364414
1999-08-11,1214.486562051929
1999-08-12,1236.4904743625711
1999-08-13,1255.2543031026125
1999-08-16,1259.3274619022893
1999-08-17,1257.7948910771477
1999-08-18,1262.092264948589
1999-08-19,1246.5677010569584
1999-08-20,1257.0209892457358
1999-08-23,1274.4142232204372
1999-08-24,1276.9572297884445
1999-08-25,1288.2029401044638
1999-08-26,1287.7534187571036
1999-08-27,1284.9163386706066
1999-08-30,1283.8541631577602
1999-08-31,1260.2640675157636
1999-09-01,1265.6824451792183
1999-09-02,1243.4801421199222
1999-09-03,1268.7883265256971
1999-09-06,1277.1686039015437
1999-09-07,1272.6682884648542
1999-09-08,1271.7877725382832
1999-09-09,1286.7854589723613
1999-09-10,1291.5861130669437
1999-09-13,1286.9561320715272
1999-09-14,1276.420647202064
1999-09-15,1266.6340770162012
1999-09-16,1255.3813763901228
1999-09-17,1257.212242299257
1999-09-20,1254.5450776128118
1999-09-21,1235.1411014987118
1999-09-22,1228.4568360867772
1999-09-23,1234.766955915114
1999-09-24,1222.80535389659
1999-09-27,1242.5509135884042
1999-09-28,1226.1460478962033
1999-09-29,1215.9119075131744
1999-09-30,1218.0716974958377
1999-10-01,1215.0744384273864
1999-10-04,1228.6196415490347
1999-10-05,1231.9662888877106
1999-10-06,1233.2020552337094
1999-10-07,1241.2768006106512
1999-10-08,1242.1600327506994
1999-10-11,1237.739045540348
1999-10-12,1223.7946203395027
1999-10-13,1214.9884871146878
1999-10-14,1207.6345418319554
1999-10-15,1181.7527660805451
1999-10-18,1175.526016203416
1999-10-19,1197.7078795009622
1999-10-20,1205.512533573796
1999-10-21,1200.5621171806533
1999-10-22,1225.1233077572656
1999-10-25,1218.3777915104904
1999-10-26,1230.30293353657
1999-10-27,1225.4114321451616
1999-10-28,1247.9746881996332
1999-10-29,1265.039469087354
1999-11-01,1265.4442356593856
1999-11-02,1265.0686291400707
1999-11-03,1268.4196712829582
1999-11-04,1282.6627341411759
1999-11-05,1276.77714595425
1999-11-08,1277.4052961725174
1999-11-09,1284.175140695451
1999-11-10,1287.1654710395078
1999-11-11,1299.289216019958
1999-11-12,1305.5292850475628
1999-11-15,1316.050482281934
1999-11-16,1327.5482082609615
1999-11-17,1325.0193113037678
1999-11-18,1330.8373328281086
1999-11-19,1330.6000879021287
1999-11-22,1316.8547767136001
1999-11-23,1327.7003949423195
1999-11-24,1329.604301792451
1999-11-25,1346.1522864906524
1999-11-26,1346.5857926983688
1999-11-29,1344.4696557286286
1999-11-30,1329.5231827028135
1999-12-01,1336.6824753652115
1999-12-02,1336.482709758579
1999-12-03,1351.5159606330642
1999-12-06,1333.9793680585428
1999-12-07,1330.4272422767824
1999-12-08,1323.9863603852218
1999-12-09,1334.5871562790576
1999-12-10,1340.9836419715903
1999-12-13,1344.492415018803
1999-12-14,1351.5324503447198
1999-12-15,1354.243538364116
1999-12-16,1357.4531357731305
1999-12-17,1367.9095533482287
1999-12-20,1369.5838225899904
1999-12-21,1368.7718284218167
1999-12-22,1380.5826501271206
1999-12-23,1397.833621470255
1999-12-24,1403.7375438172119
1999-12-27,1406.721232236992
1999-12-28,1408.6188356258695
1999-12-29,1412.0094229867545
1999-12-30,1428.786314782904
1999-12-31,1428.0420376940053
2000-01-03,1416.7189526271488
2000-01-04,1368.6331994418438
2000-01-05,1351.0200127462947
2000-01-06,1347.5394517336754
2000-01-07,1368.84171097272
2000-01-10,1378.2442380105072
2000-01-11,1360.8815255428503
2000-01-12,1356.8843259118319
2000-01-13,1358.807147306115
2000-01-14,1374.6286500372998
2000-01-17,1375.6721743574708
2000-01-18,1352.9444259938537
2000-01-19,1348.1115738418457
2000-01-20,1339.368496331537
2000-01-21,1337.0342290432147
2000-01-24,1334.3516778315147
2000-01-25,1311.3492937723756
2000-01-26,1324.71676210862
2000-01-27,1346.3311297472992
2000-01-28,1331.182373955319
2000-01-31,1306.5971408777204
2000-02-01,1319.135156016395
2000-02-02,1323.8377850702752
2000-02-03,1337.6265412815262
2000-02-04,1328.9964802096954
2000-02-07,1318.7174967938467
2000-02-08,1344.026013668626
2000-02-09,1338.803778498986
2000-02-10,1337.100389024696
2000-02-11,1318.9453723927563
2000-02-14,1312.9099692797186
2000-02-15,1301.9649996782407
2000-02-16,1334.3351721342324
2000-02-17,1346.641839147877
