Date,EUROPE ex UK HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0011821115003
1999-01-04,1037.3435442809337
1999-01-05,1048.9029562362532
1999-01-06,1062.767890827939
1999-01-07,1052.3550613593839
1999-01-08,1056.0613048905425
1999-01-11,1040.3890166067897
1999-01-12,1028.3884999960026
1999-01-13,981.8363825798945
1999-01-14,978.278411341174
1999-01-15,984.2575775200522
1999-01-18,1000.904652260586
1999-01-19,998.260553976355
1999-01-20,1002.1468234595222
1999-01-21,993.6716344432588
1999-01-22,970.6479236976357
1999-01-25,969.1756938315664
1999-01-26,965.0886764114687
1999-01-27,974.0275970896668
1999-01-28,991.3264629127614
1999-01-29,994.1334862964387
1999-02-01,1005.334123001233
1999-02-02,1004.267957589733
1999-02-03,999.162218349008
1999-02-04,1001.9525059686293
1999-02-05,1017.867389866876
1999-02-08,1024.2062699363257
1999-02-09,1004.6370997953345
1999-02-10,994.1276903926614
1999-02-11,997.1994232561599
1999-02-12,1001.7788904509922
1999-02-15,1006.3473297889691
1999-02-16,1008.3497027476704
1999-02-17,997.2293344861858
1999-02-18,989.4520195926939
1999-02-19,995.4183615622052
1999-02-22,1005.8872740018606
1999-02-23,1019.183420000529
1999-02-24,1021.0328873331846
1999-02-25,1012.0859321575876
1999-02-26,1012.0212337518496
1999-03-01,998.9251197472406
1999-03-02,1002.4953345526881
1999-03-03,997.7466112000764
1999-03-04,1014.6752485073689
1999-03-05,1036.97190362883
1999-03-08,1028.842052541392
1999-03-09,1033.144317022569
1999-03-10,1035.1147152551175
1999-03-11,1064.7808769737617
1999-03-12,1072.1509671605852
1999-03-15,1073.823455506088
1999-03-16,1080.034835378671
1999-03-17,1080.4113172448297
1999-03-18,1084.4892724796814
1999-03-19,1102.0204613156016
1999-03-22,1096.8336619607433
1999-03-23,1073.3220834498813
1999-03-24,1062.2228312379561
1999-03-25,1077.167089405756
1999-03-26,1075.5890122813917
1999-03-29,1095.0176145173211
1999-03-30,1089.5713538785494
1999-03-31,1092.0132420535697
1999-04-01,1091.5588649529063
1999-04-02,1091.5409837198852
1999-04-05,1091.5222788254912
1999-04-06,1106.249779384975
1999-04-07,1109.2982431316998
1999-04-08,1106.5745260513909
1999-04-09,1113.1282318663282
1999-04-12,1115.1517262255134
1999-04-13,1120.4383093368242
1999-04-14,1122.0963846003592
1999-04-15,1132.7356798423898
1999-04-16,1142.6119682350782
1999-04-19,1165.9934292454134
1999-04-20,1146.3538967956513
1999-04-21,1153.2934062642794
1999-04-22,1157.5949599656976
1999-04-23,1155.2610730704373
1999-04-26,1161.3758121801416
1999-04-27,1181.1018401034632
1999-04-28,1178.2065812058493
1999-04-29,1188.130531863951
1999-04-30,1197.4866722002291
1999-05-03,1207.1517075993374
1999-05-04,1213.0195218065119
1999-05-05,1193.509164957369
1999-05-06,1195.005055341901
1999-05-07,1196.1277139304952
1999-05-10,1197.446993783491
1999-05-11,1198.2010142057306
1999-05-12,1189.7851918603856
1999-05-13,1192.405368241317
1999-05-14,1180.7644085658974
1999-05-17,1159.9818746140288
1999-05-18,1161.377899544314
1999-05-19,1169.2162278003582
1999-05-20,1178.37388729255
1999-05-21,1179.8102795136801
1999-05-24,1179.2726061997425
1999-05-25,1174.414442606797
1999-05-26,1173.6437487121818
1999-05-27,1158.895041326524
1999-05-28,1157.2513744595944
1999-05-31,1159.8915163673284
1999-06-01,1155.2917899780568
1999-06-02,1161.8880665013924
1999-06-03,1171.6235873848898
1999-06-04,1181.6000205408072
1999-06-07,1191.3485176631473
1999-06-08,1190.2811062648782
1999-06-09,1193.0499971892098
1999-06-10,1181.6489027946443
1999-06-11,1191.5199029882272
1999-06-14,1186.9901510867223
1999-06-15,1195.25116350022
1999-06-16,1204.6726394002192
1999-06-17,1208.587636372615
1999-06-18,1211.5514288020365
1999-06-21,1219.6619768403357
1999-06-22,1211.5829143569
1999-06-23,1203.8692580047673
1999-06-24,1196.160024107822
1999-06-25,1189.9977319755767
1999-06-28,1194.2638117013048
1999-06-29,1202.9866784795013
1999-06-30,1202.3344410885707
1999-07-01,1218.8482890979787
1999-07-02,1221.494199026189
1999-07-05,1247.8441748259688
1999-07-06,1251.7351170914249
1999-07-07,1245.4229385138813
1999-07-08,1246.229295458677
1999-07-09,1256.753159895044
1999-07-12,1259.2470655491004
1999-07-13,1240.1439272536536
1999-07-14,1245.5592815838304
1999-07-15,1253.350805545719
1999-07-16,1249.6514089711295
1999-07-19,1251.275746034074
1999-07-20,1231.4620860125365
1999-07-21,1216.608764020122
1999-07-22,1204.6731455369215
1999-07-23,1192.2003915590328
1999-07-26,1169.2709316964178
1999-07-27,1178.8707636373938
1999-07-28,1185.7957525606466
1999-07-29,1158.7012564472377
1999-07-30,1175.4144448616953
1999-08-02,1172.1139678680645
1999-08-03,1170.7963883732605
1999-08-04,1173.2586837944602
1999-08-05,1154.3239660783333
1999-08-06,1154.6964910162565
1999-08-09,1172.1848423525112
1999-08-10,1158.5864467170468
1999-08-11,1164.7262612011211
1999-08-12,1187.0693252220644
1999-08-13,1203.0282079072508
1999-08-16,1206.2827584478944
1999-08-17,1210.4335188492466
1999-08-18,1209.6926104838622
1999-08-19,1197.951325937095
1999-08-20,1210.6447249016435
1999-08-23,1219.6284333985027
1999-08-24,1224.2253517530467
1999-08-25,1235.801460026356
1999-08-26,1232.0506356892463
1999-08-27,1232.0224689623071
1999-08-30,1229.5688168647782
1999-08-31,1203.861418858765
1999-09-01,1215.8667462961268
1999-09-02,1197.273267864444
1999-09-03,1218.0276126799372
1999-09-06,1222.3099531055527
1999-09-07,1221.0419992734323
1999-09-08,1220.9529678386498
1999-09-09,1229.6893554935534
1999-09-10,1240.7382912775947
1999-09-13,1236.0428205905464
1999-09-14,1232.8073673260226
1999-09-15,1225.025629775743
1999-09-16,1212.3618920508593
1999-09-17,1212.403639154255
1999-09-20,1213.8479776313961
1999-09-21,1197.8260291731292
1999-09-22,1190.868600496913
1999-09-23,1188.8265565427942
1999-09-24,1177.445877415978
1999-09-27,1190.7145726777442
1999-09-28,1181.0930613573667
1999-09-29,1173.56342634829
1999-09-30,1175.1453590295016
1999-10-01,1171.1037641827052
1999-10-04,1184.0954007089674
1999-10-05,1184.3663647270923
1999-10-06,1188.5243833447173
1999-10-07,1196.612731384806
1999-10-08,1188.771319831874
1999-10-11,1189.4609423832724
1999-10-12,1183.0045479873236
1999-10-13,1176.3038749144919
1999-10-14,1174.4573637432336
1999-10-15,1154.287673473882
1999-10-18,1143.6735596258904
1999-10-19,1163.2049721582744
1999-10-20,1167.2879905849904
1999-10-21,1163.4896275172514
1999-10-22,1181.65309181825
1999-10-25,1174.2020853995284
1999-10-26,1184.0175896000696
1999-10-27,1179.7016870869506
1999-10-28,1199.6990417752386
1999-10-29,1215.5372977631794
1999-11-01,1215.3348461027126
1999-11-02,1214.3088974100995
1999-11-03,1216.1220684602952
1999-11-04,1225.9024717166728
1999-11-05,1228.2584757655113
1999-11-08,1229.6347424758371
1999-11-09,1228.4415708719555
1999-11-10,1233.5502690128337
1999-11-11,1240.2801100675192
1999-11-12,1238.5182950984922
1999-11-15,1247.5635502422622
1999-11-16,1257.9553589775587
1999-11-17,1262.8304572011752
1999-11-18,1268.4483680116944
1999-11-19,1262.384392682473
1999-11-22,1243.72072267871
1999-11-23,1242.2275944198789
1999-11-24,1241.5932931679258
1999-11-25,1254.2448069369098
1999-11-26,1249.1339029364422
1999-11-29,1245.7512131830665
1999-11-30,1242.241294747377
1999-12-01,1253.5636560108715
1999-12-02,1254.1017146393988
1999-12-03,1266.816888815887
1999-12-06,1257.5369917890564
1999-12-07,1255.7426154866566
1999-12-08,1251.6866409274216
1999-12-09,1255.7873201326781
1999-12-10,1262.6299269257918
1999-12-13,1270.7672901892288
1999-12-14,1273.3702373187166
1999-12-15,1283.914253065277
1999-12-16,1297.5227888292445
1999-12-17,1296.8615536452899
1999-12-20,1293.3917031552014
