Date,EAFE ex UK HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0010868532634
1999-01-04,1038.17109735586
1999-01-05,1049.2348386407937
1999-01-06,1072.8496393952296
1999-01-07,1064.5795559221299
1999-01-08,1069.3194317849775
1999-01-11,1055.9961018414729
1999-01-12,1046.3827275359415
1999-01-13,999.1925756149619
1999-01-14,998.1317104321688
1999-01-15,1006.6952725718526
1999-01-18,1027.6383711608237
1999-01-19,1030.2014219940813
1999-01-20,1042.5853946401012
1999-01-21,1034.178703263159
1999-01-22,1004.2574735807524
1999-01-25,1000.7792049008954
1999-01-26,999.8011142480334
1999-01-27,1008.16438849571
1999-01-28,1023.6597017185148
1999-01-29,1034.7122460705266
1999-02-01,1049.7559741979142
1999-02-02,1040.3216493010987
1999-02-03,1030.5665232557847
1999-02-04,1036.7121965494582
1999-02-05,1044.1811662327864
1999-02-08,1044.509333625483
1999-02-09,1020.9720937658707
1999-02-10,1008.9121272351878
1999-02-11,1021.5335483935539
1999-02-12,1030.8701620089369
1999-02-15,1032.230092019118
1999-02-16,1031.0636288958642
1999-02-17,1018.487601609119
1999-02-18,1019.9454685475911
1999-02-19,1028.6028976169805
1999-02-22,1040.1889601140715
1999-02-23,1055.06072263628
1999-02-24,1056.1233989059842
1999-02-25,1045.3388864727256
1999-02-26,1047.6052570519462
1999-03-01,1038.2718848207242
1999-03-02,1041.9542359975792
1999-03-03,1032.7012777895902
1999-03-04,1046.714013608399
1999-03-05,1069.7177264381028
1999-03-08,1065.6241024439898
1999-03-09,1069.1537971751452
1999-03-10,1070.400141479372
1999-03-11,1087.40377287581
1999-03-12,1093.436597802426
1999-03-15,1096.828521912897
1999-03-16,1104.0942650781778
1999-03-17,1100.11603383762
1999-03-18,1096.500046219012
1999-03-19,1116.9490564679877
1999-03-22,1113.9230757974979
1999-03-23,1095.9283164316168
1999-03-24,1082.2017594336169
1999-03-25,1100.229665174572
1999-03-26,1095.2378935026331
1999-03-29,1107.248366658665
1999-03-30,1104.2757751562099
1999-03-31,1111.4993193874138
1999-04-01,1115.8085997584335
1999-04-02,1115.3906686814323
1999-04-05,1116.2577514753566
1999-04-06,1131.3909649088016
1999-04-07,1137.496598410506
1999-04-08,1137.6015088703175
1999-04-09,1147.8310580402244
1999-04-12,1144.1756579409846
1999-04-13,1153.2378712235466
1999-04-14,1154.1491755521374
1999-04-15,1156.795783859893
1999-04-16,1174.0160532046461
1999-04-19,1192.3268967966903
1999-04-20,1166.9441001296598
1999-04-21,1174.4969250401678
1999-04-22,1183.6383029143235
1999-04-23,1184.4192326744883
1999-04-26,1192.5440307191184
1999-04-27,1214.4986693615301
1999-04-28,1208.9974586515887
1999-04-29,1215.1897121392506
1999-04-30,1222.248829703622
1999-05-03,1229.1766352614768
1999-05-04,1233.3346053622176
1999-05-05,1212.2555837940056
1999-05-06,1212.344128705042
1999-05-07,1202.3734367399402
1999-05-10,1206.3934615882392
1999-05-11,1204.5804663111355
1999-05-12,1200.6320970493612
1999-05-13,1204.977940586052
1999-05-14,1190.2680131131606
1999-05-17,1170.3200503083767
1999-05-18,1176.8664519454148
1999-05-19,1184.8502560164222
1999-05-20,1193.1145928409687
1999-05-21,1192.8982286676244
1999-05-24,1193.6864424211208
