Date,KOKUSAI HIGH DIVIDEND YIELD
1998-12-31,674.2030970819247
1999-01-29,690.8621353706249
1999-02-26,704.6909328659987
1999-03-31,732.1731358548072
1999-04-30,804.7547877870411
1999-05-31,783.2136220369181
1999-06-30,809.0994835264
1999-07-30,775.5148961942538
1999-08-31,778.3060780508875
1999-09-30,752.9760200977042
1999-10-29,787.7709831350079
1999-11-30,824.5471386362601
1999-12-31,857.5203725161374
2000-01-31,802.1233912997905
2000-02-29,783.9334968623216
2000-03-31,847.7905538736024
2000-04-28,868.6519689259261
2000-05-31,865.04858552782
2000-06-30,824.4917420020867
2000-07-31,856.2379284154437
2000-08-31,910.7049879932513
2000-09-29,916.5330240632333
2000-10-31,970.4988164077985
2000-11-30,928.8576769829982
2000-12-29,916.734615427864
2001-01-01,916.734615427864
2001-01-02,910.0126170611115
2001-01-03,911.3222807968917
2001-01-04,915.6040010951727
2001-01-05,905.465218762045
2001-01-08,908.1163082232986
2001-01-09,909.8752811853606
2001-01-10,907.2680100226415
2001-01-11,904.22566723047
2001-01-12,901.5565637900397
2001-01-15,907.706442577897
2001-01-16,905.4916150982571
2001-01-17,915.4658607472056
2001-01-18,904.5805870162521
2001-01-19,904.1150117972412
2001-01-22,910.4096377391352
2001-01-23,912.2656770507855
2001-01-24,923.1565761352875
2001-01-25,929.2884356085966
2001-01-26,926.882270610825
2001-01-29,932.1819104481465
2001-01-30,935.1593720558682
2001-01-31,933.2251867937524
2001-02-01,927.4194380038821
2001-02-02,927.5504344262068
2001-02-05,930.3779308981916
2001-02-06,936.5765920349995
2001-02-07,930.7991476499036
2001-02-08,937.992836619898
2001-02-09,931.6537246319377
2001-02-12,934.4175065742176
2001-02-13,939.6770331049662
2001-02-14,935.9619017802396
2001-02-15,944.1846404586655
2001-02-16,932.7184604011467
2001-02-19,930.7059741555425
2001-02-20,930.6064422810695
2001-02-21,919.6313429952314
2001-02-22,922.350941033708
2001-02-23,915.6358510082024
2001-02-26,920.0245624678173
2001-02-27,917.1056877598107
2001-02-28,912.2262161263051
2001-03-01,903.6494400779285
2001-03-02,903.6122555631215
2001-03-05,911.6123860288483
2001-03-06,912.5315744816209
2001-03-07,918.7860477094791
2001-03-08,922.1393320475376
2001-03-09,915.5724868610829
2001-03-12,899.3258671004089
2001-03-13,899.8098632943583
2001-03-14,883.1030085427774
2001-03-15,894.7628121539906
2001-03-16,884.451971492779
2001-03-19,885.189161880735
2001-03-20,879.5738664994462
2001-03-21,868.052160308691
2001-03-22,849.8397724917671
2001-03-23,855.0006776481358
2001-03-26,873.9717044169971
2001-03-27,892.3499849751155
2001-03-28,887.6584889193657
2001-03-29,896.6239475727891
2001-03-30,905.476981106844
2001-04-02,903.5925523584104
2001-04-03,881.8514574764296
2001-04-04,875.4090283230505
2001-04-05,894.306432355677
2001-04-06,886.3811520863705
2001-04-09,897.7038251946785
2001-04-10,919.0150315397968
2001-04-11,917.7421950995309
2001-04-12,915.4905881152837
2001-04-13,915.4905881152837
2001-04-16,924.7385603009725
2001-04-17,927.7128212979255
2001-04-18,945.3902712615297
2001-04-19,934.9741376893527
2001-04-20,923.3461553077182
2001-04-23,923.834327216105
2001-04-24,927.4945178791745
2001-04-25,929.8953055300118
2001-04-26,932.8507545054891
2001-04-27,948.8324265449555
2001-04-30,950.3409508497548
2001-05-01,951.4938088517252
2001-05-02,945.9833004441142
2001-05-03,934.0702570386103
2001-05-04,941.7675742262444
2001-05-07,946.9057014685889
2001-05-08,948.3110994231488
2001-05-09,948.4111829046652
2001-05-10,959.8958401134577
2001-05-11,959.0911986117452
2001-05-14,954.8462324552895
2001-05-15,959.4516951969042
2001-05-16,966.8500182947529
2001-05-17,970.261574544026
2001-05-18,978.5899519261034
2001-05-21,981.3822288788141
2001-05-22,986.0073354225044
2001-05-23,983.7286794348863
2001-05-24,988.4888793019066
2001-05-25,983.8539487914917
2001-05-28,982.1588301300505
2001-05-29,987.6273419908682
2001-05-30,981.1122473830633
2001-05-31,991.281435624882
2001-06-01,991.2476690586567
2001-06-04,996.070912666883
2001-06-05,1001.0889153594342
2001-06-06,993.9010981057575
2001-06-07,988.2007722161591
2001-06-08,987.2610568978017
2001-06-11,988.7063389161866
2001-06-12,979.1120572956246
2001-06-13,979.8383306054023
2001-06-14,966.8468273869354
2001-06-15,959.2991442099861
2001-06-18,954.0875048023804
2001-06-19,959.3081742824402
2001-06-20,962.8955623486531
2001-06-21,965.22231506719
2001-06-22,965.90955550158
2001-06-25,959.6822025562525
2001-06-26,952.4075497562236
2001-06-27,951.267970420456
2001-06-28,963.4861885799401
2001-06-29,970.9583585928768
2001-07-02,980.3562689787298
2001-07-03,974.5524960922996
2001-07-04,973.9944848321608
2001-07-05,976.0509305412836
2001-07-06,954.3965066698047
2001-07-09,952.0089368702897
2001-07-10,943.0589563648792
2001-07-11,934.552056863985
2001-07-12,948.0064331771953
2001-07-13,953.1730671755417
2001-07-16,949.0346700224561
2001-07-17,951.3962436431593
2001-07-18,933.0264953149499
2001-07-19,939.6033466497067
2001-07-20,932.72766661282
2001-07-23,932.5645862289749
2001-07-24,915.6497539352127
2001-07-25,913.7664566335097
2001-07-26,921.2334282417452
2001-07-27,929.9896821075743
2001-07-30,933.602467089242
2001-07-31,941.0396476516373
2001-08-01,941.6803154096365
2001-08-02,939.284368470745
2001-08-03,931.2700158536189
2001-08-06,932.5112587736825
2001-08-07,938.902054344397
2001-08-08,930.3921482351802
2001-08-09,916.2600342954316
2001-08-10,912.9215614422852
2001-08-13,913.8727672575961
2001-08-14,920.367046817083
2001-08-15,911.266744277412
2001-08-16,908.5165956597831
2001-08-17,896.047882508592
2001-08-20,900.9478418806028
2001-08-21,903.0717534680841
2001-08-22,901.3986864095774
2001-08-23,906.1696838910794
2001-08-24,916.0115725633079
2001-08-27,916.00969589939
2001-08-28,907.2382863952275
2001-08-29,904.0245496014281
2001-08-30,893.6022801849529
2001-08-31,894.2039891719603
2001-09-03,890.4157081026038
2001-09-04,908.2782526011227
2001-09-05,904.3591182542632
2001-09-06,888.8186467014759
2001-09-07,864.4002847310717
2001-09-10,863.3385322567966
2001-09-11,833.6904648643379
2001-09-12,834.4386061604926
2001-09-13,838.1784633385447
2001-09-14,810.62997199647
2001-09-17,809.7336134486923
2001-09-18,804.1046968356388
2001-09-19,783.9000671669805
2001-09-20,757.1140288610184
2001-09-21,741.1390059431192
2001-09-24,771.6824121643537
2001-09-25,776.8863221358421
2001-09-26,782.8651318852042
2001-09-27,795.7408772772166
2001-09-28,820.8329867436038
2001-10-01,808.6908014796877
2001-10-02,817.1474986673398
2001-10-03,818.0902206631719
2001-10-04,834.3444590929049
2001-10-05,828.6546706558199
2001-10-08,822.8726434555495
2001-10-09,821.7252242337728
2001-10-10,841.1469279784935
2001-10-11,851.6773918173857
2001-10-12,844.1586405505024
2001-10-15,832.0502096978014
2001-10-16,836.9506767337991
2001-10-17,843.9107032057461
2001-10-18,833.2720628619375
2001-10-19,827.6631241499416
2001-10-22,838.8746017988228
2001-10-23,849.2428242272882
2001-10-24,848.0625793380063
2001-10-25,841.336050486387
2001-10-26,856.7447236876998
