Date,EAFE ex JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0007799531259
1999-01-04,1008.237580234641
1999-01-05,1015.5938952436779
1999-01-06,1043.7198727698838
1999-01-07,1044.0553050454737
1999-01-08,1049.6853809129636
1999-01-11,1041.8477490524035
1999-01-12,1034.677836404825
1999-01-13,993.3034867027897
1999-01-14,989.7247686378539
1999-01-15,1003.3557144084156
1999-01-18,1020.7955021558115
1999-01-19,1014.7695223476117
1999-01-20,1019.4109773865557
1999-01-21,1010.0065023159793
1999-01-22,986.4191542880483
1999-01-25,983.9099199328064
1999-01-26,983.2115801837425
1999-01-27,992.7984020557604
1999-01-28,1002.8348063348691
1999-01-29,1009.394113594936
1999-02-01,1021.7649892326937
1999-02-02,1024.3737517969666
1999-02-03,1017.9023520706628
1999-02-04,1022.3913732142212
1999-02-05,1024.9356473204873
1999-02-08,1028.0565216237283
1999-02-09,1015.4270616698426
1999-02-10,1002.9845770432597
1999-02-11,1010.6742588955834
1999-02-12,1022.5164444380982
1999-02-15,1026.443001726413
1999-02-16,1036.9844395601888
1999-02-17,1024.9567857667696
1999-02-18,1020.8285354567098
1999-02-19,1025.9087972904883
1999-02-22,1032.5951884525869
1999-02-23,1045.2750432696043
1999-02-24,1055.2873351445244
1999-02-25,1044.8059274046805
1999-02-26,1049.3220864209652
1999-03-01,1044.2444719254386
1999-03-02,1049.2933507815121
1999-03-03,1047.4094761536144
1999-03-04,1059.2410705048028
1999-03-05,1081.203913023611
1999-03-08,1077.3936081382162
1999-03-09,1081.127956814439
1999-03-10,1087.0671139590322
1999-03-11,1110.3188115247801
1999-03-12,1116.8609326023059
1999-03-15,1114.0061084116915
1999-03-16,1121.7984077434708
1999-03-17,1113.8273118968366
1999-03-18,1114.6045939108064
1999-03-19,1135.352513817727
1999-03-22,1133.7929834050726
1999-03-23,1121.0821368700872
1999-03-24,1112.003330798252
1999-03-25,1124.5590205360352
1999-03-26,1129.6715428066568
1999-03-29,1139.5241934052933
1999-03-30,1138.3911213102276
1999-03-31,1138.4205197147558
1999-04-01,1137.250770210855
1999-04-02,1137.7723622662775
1999-04-05,1140.4416097038625
1999-04-06,1147.5347221749678
1999-04-07,1159.4385947941412
1999-04-08,1156.2056402698533
1999-04-09,1170.3987464020472
1999-04-12,1165.4131717361472
1999-04-13,1180.0695513282885
1999-04-14,1183.7500844742276
1999-04-15,1201.0267488767272
1999-04-16,1221.759121227581
1999-04-19,1250.1340062734537
1999-04-20,1223.164604690551
1999-04-21,1226.9635169695553
1999-04-22,1238.0006050281047
1999-04-23,1238.0769041635206
1999-04-26,1247.6329235792161
1999-04-27,1262.125173916061
1999-04-28,1259.564929903668
1999-04-29,1266.3022661063976
1999-04-30,1279.1104037311472
1999-05-03,1283.104239015612
1999-05-04,1289.7233495320045
1999-05-05,1271.9337570890823
1999-05-06,1268.990102087642
