Date,FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,974.6297074165082
1999-01-05,974.5139355819213
1999-01-06,998.7528964330961
1999-01-07,1034.3355421820927
1999-01-08,1044.005937876531
1999-01-11,1053.260797890433
1999-01-12,1046.0037899359143
1999-01-13,1000.8818443887238
1999-01-14,996.1578551651659
1999-01-15,1008.2582970203227
1999-01-18,1015.9378518896413
1999-01-19,1010.1408516839707
1999-01-20,1017.081111607712
1999-01-21,1001.3169157698542
1999-01-22,973.9612337707533
1999-01-25,959.5500865695523
1999-01-26,969.4496340986568
1999-01-27,984.511809410221
1999-01-28,972.3033418741367
1999-01-29,986.8304876275719
1999-02-01,994.0828186401673
1999-02-02,993.9194979312132
1999-02-03,978.8266533548118
1999-02-04,985.9094306964917
1999-02-05,966.297598547313
1999-02-08,965.8627915341024
1999-02-09,952.573775840734
1999-02-10,938.0412733523412
1999-02-11,951.9533255933924
1999-02-12,965.5537499882663
1999-02-15,962.7454539595356
1999-02-16,961.3789820057667
1999-02-17,952.3947967645662
1999-02-18,949.1602177548978
1999-02-19,945.1881429000056
1999-02-22,958.9554639005786
1999-02-23,966.157020047115
1999-02-24,975.1284543101791
1999-02-25,976.002104534257
1999-02-26,994.4445641513619
1999-03-01,1001.4111493026754
1999-03-02,989.2365095620254
1999-03-03,996.2730663699356
1999-03-04,1000.3684779554291
1999-03-05,1033.087146217909
1999-03-08,1037.3635381653755
1999-03-09,1049.6661187767975
1999-03-10,1062.6808245659768
1999-03-11,1068.3263863497702
1999-03-12,1071.5255853525252
1999-03-15,1089.968419481133
1999-03-16,1108.743878460118
1999-03-17,1102.2739921280604
1999-03-18,1076.2304303357544
1999-03-19,1116.0786957412395
1999-03-22,1119.924219655522
1999-03-23,1117.5447312093463
1999-03-24,1094.8215831066927
1999-03-25,1111.1928655473325
1999-03-26,1116.227532947747
1999-03-29,1120.5602958730774
1999-03-30,1129.7468066221938
1999-03-31,1139.862241202101
1999-04-01,1153.361004228484
1999-04-02,1143.8391935110112
1999-04-05,1144.943684194235
1999-04-06,1157.7535518949965
1999-04-07,1170.3129585287015
1999-04-08,1182.1901032445758
1999-04-09,1193.3950138539349
1999-04-12,1178.2018755990498
1999-04-13,1200.8936019549737
1999-04-14,1218.4485454821001
1999-04-15,1235.0272164946834
1999-04-16,1286.3578938092735
1999-04-19,1322.3753371492537
1999-04-20,1286.977756133825
1999-04-21,1287.9930763530883
1999-04-22,1304.5137938795156
1999-04-23,1308.3889886789725
1999-04-26,1327.1172758458151
1999-04-27,1330.8001444972645
1999-04-28,1311.7861887620275
1999-04-29,1315.1864238680862
1999-04-30,1324.5394737402821
1999-05-03,1322.2770317484262
1999-05-04,1325.1968334290361
1999-05-05,1326.1407502268366
1999-05-06,1332.9354305124004
1999-05-07,1297.3298301975692
1999-05-10,1305.8255983209106
1999-05-11,1293.353296371979
1999-05-12,1309.2222011696467
1999-05-13,1311.6480176472944
1999-05-14,1285.8854870004234
1999-05-17,1268.403020014898
1999-05-18,1280.2149097497604
1999-05-19,1256.156810216398
1999-05-20,1264.4216280001822
1999-05-21,1269.631257301199
1999-05-24,1276.389358063029
1999-05-25,1267.7110262089186
1999-05-26,1290.8999382540476
1999-05-27,1287.6514698508047
1999-05-28,1271.7237262643293
1999-05-31,1273.4066124969204
1999-06-01,1287.827635209942
1999-06-02,1304.9621424025459
1999-06-03,1300.2024702823703
1999-06-04,1296.149070628735
1999-06-07,1316.57366281839
1999-06-08,1323.3396514786868
1999-06-09,1331.2205476573008
1999-06-10,1327.813016576622
1999-06-11,1337.582784736157
1999-06-14,1324.1485283744541
1999-06-15,1327.243134208116
1999-06-16,1363.6288004143487
1999-06-17,1378.8148568667355
1999-06-18,1355.464207428091
1999-06-21,1381.2689848014052
1999-06-22,1386.8163944386667
1999-06-23,1375.8522916458985
1999-06-24,1363.6440113936228
1999-06-25,1354.8776763902174
1999-06-28,1367.1173073966856
1999-06-29,1375.3253804825254
1999-06-30,1357.6968749849366
1999-07-01,1376.7368208323167
1999-07-02,1398.4903303345732
1999-07-05,1403.853872364304
1999-07-06,1395.1644051370815
1999-07-07,1388.931119842582
1999-07-08,1393.413454343339
1999-07-09,1396.5723087789245
1999-07-12,1398.2861444207474
1999-07-13,1390.9805691563076
1999-07-14,1377.453475693376
1999-07-15,1377.3322241392082
1999-07-16,1364.124782359343
1999-07-19,1387.2922660075296
1999-07-20,1360.690069238454
1999-07-21,1349.6063649031883
1999-07-22,1338.7367216379482
1999-07-23,1324.4285761095875
1999-07-26,1286.3498271791627
1999-07-27,1301.7837207950893
1999-07-28,1312.6198457679272
1999-07-29,1310.1849548431412
1999-07-30,1328.7482872028588
1999-08-02,1339.2750261368644
1999-08-03,1339.3317029376794
1999-08-04,1329.2818719423374
