Date,KUKJE (ACWI ex KOREA) IMI VALUE WEIGHTED
2002-05-31,1000.0
2002-06-03,983.715875415377
2002-06-04,971.2852868708311
2002-06-05,975.7128911842958
2002-06-06,959.3726902356647
2002-06-07,954.6216355797949
2002-06-10,955.8167261625016
2002-06-11,951.5288465165031
2002-06-12,943.7639483017413
2002-06-13,935.133123791907
2002-06-14,921.8923253026329
2002-06-17,942.9814947807804
2002-06-18,940.7666475348485
2002-06-19,920.4061757790333
2002-06-20,902.9770227798308
2002-06-21,892.4769402476547
2002-06-24,880.4374151112904
2002-06-25,883.8973534000243
2002-06-26,859.0767456326363
2002-06-27,874.2389565313304
2002-06-28,885.5920668652822
2002-07-01,875.5971862186715
2002-07-02,858.4689216620036
2002-07-03,857.6942011346412
2002-07-04,862.5599944991986
2002-07-05,891.7637502865614
2002-07-08,878.1635607366442
2002-07-09,864.5536784520548
2002-07-10,846.7616773158712
2002-07-11,836.5752171606205
2002-07-12,834.4348712976348
2002-07-15,808.6585615858603
2002-07-16,797.9356275313199
2002-07-17,807.7831438988923
2002-07-18,803.6913980789333
2002-07-19,775.2154732654633
2002-07-22,753.5280564335952
2002-07-23,743.0373970636422
2002-07-24,755.1210028326254
2002-07-25,754.5197177386356
2002-07-26,763.1515270592529
2002-07-29,802.7266506559523
2002-07-30,801.4456414808756
2002-07-31,807.716732729684
2002-08-01,787.0738835640394
2002-08-02,774.4763648767594
2002-08-05,752.8642343974581
2002-08-06,780.7273686155434
2002-08-07,784.7721505817428
2002-08-08,805.580998331697
2002-08-09,810.5082423574495
2002-08-12,799.3638933056478
2002-08-13,792.7832733752473
2002-08-14,797.8995120474211
2002-08-15,813.9685185206541
2002-08-16,812.723800809307
2002-08-19,831.4492567299449
2002-08-20,823.9104890566019
2002-08-21,830.0882247489532
2002-08-22,846.8338280711156
2002-08-23,834.5037054883124
2002-08-26,839.3399282053036
2002-08-27,833.5080193256392
2002-08-28,814.535282069877
2002-08-29,808.0360796652164
2002-08-30,811.4213435115468
2002-09-02,804.2554492043405
2002-09-03,769.6101638156904
2002-09-04,776.2549214871567
2002-09-05,770.5820444948597
2002-09-06,786.1119217637644
2002-09-09,790.1169673446973
2002-09-10,802.424329048839
2002-09-11,808.7410935413166
2002-09-12,788.7611540642193
2002-09-13,781.8463258279695
2002-09-16,783.2490591823668
2002-09-17,777.2533446318678
2002-09-18,761.0997870113708
2002-09-19,744.0020068801973
2002-09-20,741.0010035784146
2002-09-23,726.7011587842374
2002-09-24,716.5255697748509
2002-09-25,727.4319050128132
2002-09-26,746.8736893467373
2002-09-27,736.9838950296544
2002-09-30,715.3361955513358
2002-10-01,730.5109974865132
2002-10-02,724.2527988375416
2002-10-03,713.7524250537008
2002-10-04,703.5403610370278
2002-10-07,687.8544994849082
2002-10-08,690.2675340084995
2002-10-09,671.1335417124178
2002-10-10,688.02448449665
2002-10-11,712.682233711192
2002-10-14,710.9408452602879
2002-10-15,746.9620721946253
2002-10-16,735.370119700445
2002-10-17,758.0251956030052
2002-10-18,760.1880666005416
2002-10-21,767.7192495603309
2002-10-22,757.0118229109778
2002-10-23,756.3745337103312
2002-10-24,757.6179764433853
2002-10-25,761.5379114987147
2002-10-28,759.6500551450698
2002-10-29,744.8882662861507
2002-10-30,755.5443522080042
2002-10-31,753.397384085424
2002-11-01,755.2726971859647
2002-11-04,768.1540230107832
2002-11-05,769.9590041577868
2002-11-06,774.1028623311722
2002-11-07,755.2558226264522
2002-11-08,745.4536361169963
2002-11-11,734.2099123006708
2002-11-12,740.3044955550395
2002-11-13,737.4033575331275
2002-11-14,751.8472699083263
2002-11-15,756.0773252621815
2002-11-18,752.069210514329
2002-11-19,746.2381179172145
2002-11-20,758.7238160882715
2002-11-21,779.8544191152677
2002-11-22,782.5208466333833
2002-11-25,788.6848005041668
2002-11-26,774.9742250844859
2002-11-27,793.6085879261915
2002-11-28,795.112241966803
2002-11-29,794.7739544655242
2002-12-02,794.8380478611942
2002-12-03,781.408218622267
2002-12-04,774.2570203397956
2002-12-05,765.9590311977305
2002-12-06,763.1100149347474
2002-12-09,749.4850315990832
2002-12-10,754.8886470560229
2002-12-11,757.481476674736
2002-12-12,750.3261919177081
2002-12-13,740.1033493336475
2002-12-16,754.4953953666263
2002-12-17,744.3227797783803
2002-12-18,734.0839831456241
2002-12-19,732.6950071333345
2002-12-20,739.1410125215443
2002-12-23,740.3373581043685
2002-12-24,736.6491097298757
2002-12-25,736.4603379488825
2002-12-26,736.6277026270226
2002-12-27,721.7468151593565
2002-12-30,723.1952170260059
2002-12-31,723.4773905805823
2003-01-01,723.4708460338323
2003-01-02,748.29641537557
2003-01-03,747.3606406522763
2003-01-06,756.6079284314171
2003-01-07,752.8211264363608
2003-01-08,745.6477993601329
2003-01-09,749.7231509334238
2003-01-10,748.2778337530997
2003-01-13,747.6807714335373
2003-01-14,750.3164519729792
2003-01-15,744.7669718399889
2003-01-16,745.0825503634919
2003-01-17,731.6337169805697
2003-01-20,727.3265010821401
2003-01-21,718.6991404087188
2003-01-22,708.8697418450573
2003-01-23,710.1174149264828
2003-01-24,695.2731211539465
2003-01-27,679.1302093589176
2003-01-28,681.8031555991049
2003-01-29,681.4451683662818
2003-01-30,683.4075830755504
2003-01-31,688.4363069974887
2003-02-03,694.8768576237051
2003-02-04,679.393466594462
2003-02-05,682.7896140404216
2003-02-06,674.830026590042
2003-02-07,669.0103694006727
2003-02-10,671.8779989057477
2003-02-11,675.7851114946271
2003-02-12,667.8997378415711
2003-02-13,661.3012424927254
2003-02-14,671.6924913775337
2003-02-17,679.472252623298
2003-02-18,690.0131586830367
2003-02-19,680.6920814945672
2003-02-20,672.777953660642
2003-02-21,677.991979334098
2003-02-24,672.4944252051572
2003-02-25,667.3501438371475
2003-02-26,660.3017741986865
2003-02-27,667.3539054229997
2003-02-28,670.2721876730387
2003-03-03,667.5281682016918
2003-03-04,655.7141623100902
2003-03-05,653.0160966006111
2003-03-06,647.4694813156874
2003-03-07,641.4316596556185
2003-03-10,626.4951280957853
2003-03-11,621.3457154160393
2003-03-12,617.9922698020827
2003-03-13,642.0812093523108
2003-03-14,655.2569771594824
2003-03-17,673.6753216634396
2003-03-18,681.1465683984817
2003-03-19,688.1921355605274
2003-03-20,688.906963154309
2003-03-21,705.8179641675646
2003-03-24,682.8233968070737
2003-03-25,686.3747649632786
2003-03-26,686.430963045473
2003-03-27,681.5138022687327
2003-03-28,677.094491300929
2003-03-31,656.1114014104801
2003-04-01,663.3612235353331
2003-04-02,683.0442624523455
2003-04-03,684.9468767751729
2003-04-04,690.4611164444528
2003-04-07,704.0679646562708
2003-04-08,697.081768592759
2003-04-09,691.5474812974857
2003-04-10,684.6504812131433
2003-04-11,687.6159533985351
2003-04-14,693.992100459652
2003-04-15,701.761250619815
2003-04-16,693.950081624526
2003-04-17,699.0121346701545
2003-04-18,699.4639300870447
2003-04-21,701.8163935343587
2003-04-22,705.8905097038091
2003-04-23,713.0984978384005
2003-04-24,703.7059376236635
2003-04-25,694.9800974515465
2003-04-28,706.2609777322972
2003-04-29,707.1346288013727
2003-04-30,704.3348581512867
2003-05-01,699.258182883477
2003-05-02,708.772337094933
2003-05-05,708.2976387126486
2003-05-06,713.3971803711811
2003-05-07,710.6046318079325
2003-05-08,697.2982767375956
2003-05-09,702.9591625442904
2003-05-12,706.7500960802872
2003-05-13,708.6458447663458
2003-05-14,711.3503273219463
2003-05-15,716.7995661604409
2003-05-16,714.6101842767938
2003-05-19,691.8841166240594
2003-05-20,693.9036302361778
2003-05-21,691.7438972592464
2003-05-22,699.5334582845633
2003-05-23,697.9498743991306
2003-05-26,694.3952852594425
2003-05-27,700.5204332506921
2003-05-28,710.9732418388996
2003-05-29,708.1489546356937
2003-05-30,717.1373215913449
2003-06-02,728.3481194223874
2003-06-03,727.6189779480743
2003-06-04,738.3964524703318
2003-06-05,734.3567344084073
2003-06-06,746.0046900941746
2003-06-09,735.9387244517535
2003-06-10,743.8292681218961
2003-06-11,750.2553362694214
2003-06-12,754.7904194110375
2003-06-13,745.1159921142744
2003-06-16,752.8940060749201
2003-06-17,759.139038574961
2003-06-18,765.3537592640668
2003-06-19,756.7441838789628
2003-06-20,761.7163719272331
2003-06-23,757.4675154784993
2003-06-24,755.4113653690101
2003-06-25,752.8441034848141
2003-06-26,760.4225203599756
2003-06-27,760.7268461538617
2003-06-30,754.9642310076177
2003-07-01,750.8282931985561
2003-07-02,767.1726620324538
2003-07-03,766.8311825019412
2003-07-04,767.8775734062258
2003-07-07,789.2308810910426
2003-07-08,794.1474022400981
2003-07-09,790.2355044160978
2003-07-10,780.4921254670799
2003-07-11,785.984671512879
2003-07-14,795.6002125674735
2003-07-15,793.9892025935858
2003-07-16,790.1754439840422
2003-07-17,781.0279975917396
2003-07-18,785.0197971868182
2003-07-21,772.3302984436626
2003-07-22,774.4516109777918
2003-07-23,771.683082291392
2003-07-24,772.4431185058448
2003-07-25,774.8805890748449
2003-07-28,781.7483571577964
2003-07-29,777.2553754743818
2003-07-30,780.6547109973047
2003-07-31,790.6648996764573
2003-08-01,786.1583905282876
2003-08-04,779.3014893673899
2003-08-05,773.3201076785713
2003-08-06,768.4221966045864
2003-08-07,770.0861083568951
2003-08-08,777.904276944372
2003-08-11,782.1673571772309
2003-08-12,790.1151604221922
2003-08-13,791.4574149663692
2003-08-14,800.7872322391572
2003-08-15,802.2113901964722
2003-08-18,814.650532978299
2003-08-19,822.5001570720717
2003-08-20,822.6501239653669
2003-08-21,837.5782191205897
2003-08-22,839.3334037705226
2003-08-25,834.038515101432
2003-08-26,834.0702591094279
2003-08-27,835.6011054937219
2003-08-28,838.6795326073316
2003-08-29,838.0732223170223
2003-09-01,845.0655682898689
2003-09-02,858.551496774499
2003-09-03,868.6384980771783
2003-09-04,863.2562977843779
2003-09-05,851.9879734168882
2003-09-08,853.9768731215951
2003-09-09,844.8824491131544
2003-09-10,834.1847454872477
2003-09-11,836.6404169094654
2003-09-12,832.5005044399146
2003-09-15,832.4319133006572
2003-09-16,849.4526424467152
2003-09-17,848.337075838621
2003-09-18,856.0522039059151
2003-09-19,850.1770051858887
2003-09-22,833.3315566362521
