Date,EM EASTERN EUROPE ESG LEADERS
2007-09-28,1000.0
2007-10-01,1010.1995611948245
2007-10-02,1013.6575289885153
2007-10-03,1006.9772959317717
2007-10-04,1009.4780515146825
2007-10-05,1022.1785631738439
2007-10-08,1025.5823856078978
2007-10-09,1033.6962409965474
2007-10-10,1032.568561139918
2007-10-11,1064.1672383095274
2007-10-12,1055.3093150355419
2007-10-15,1065.2691118757728
2007-10-16,1039.737879732524
2007-10-17,1047.2555785997326
2007-10-18,1043.4247569937472
2007-10-19,1044.010052256384
2007-10-22,1031.4937008853499
2007-10-23,1056.8661286160957
2007-10-24,1049.867277454858
2007-10-25,1071.743360962138
2007-10-26,1090.6893782394443
2007-10-29,1108.4651007278956
2007-10-30,1101.2175584974423
2007-10-31,1100.3984375210966
2007-11-01,1096.7553023527435
2007-11-02,1094.5370747753998
2007-11-05,1089.1716555648002
2007-11-06,1106.0781968664837
2007-11-07,1100.3427078401376
2007-11-08,1098.2118497210545
2007-11-09,1082.665139241153
2007-11-12,1048.2318140958891
2007-11-13,1057.8670352813153
2007-11-14,1062.65951694332
2007-11-15,1047.616892779767
2007-11-16,1043.2030956502265
2007-11-19,1037.3799826250834
2007-11-20,1053.8240079459508
2007-11-21,1039.62716119074
2007-11-22,1043.4775173613666
2007-11-23,1044.0279541778398
2007-11-26,1042.7305082824266
2007-11-27,1018.8680111119595
2007-11-28,1038.134402355737
2007-11-29,1051.4953603996105
2007-11-30,1057.5460364448043
2007-12-03,1039.3274175758943
2007-12-04,1048.3625619719317
2007-12-05,1080.1141934437005
2007-12-06,1093.04141682249
2007-12-07,1110.4251648506279
2007-12-10,1133.0580956045158
2007-12-11,1118.7584598865237
2007-12-12,1125.541532574225
2007-12-13,1096.8937076620025
2007-12-14,1069.189923668691
2007-12-17,1039.4344976304214
2007-12-18,1042.7090741865109
2007-12-19,1035.8336648096756
2007-12-20,1033.9004755027654
2007-12-21,1032.0344594785097
2007-12-24,1034.3104088051143
2007-12-25,1034.3104088051143
2007-12-26,1039.2240639490142
2007-12-27,1063.1668067434498
2007-12-28,1060.906985633839
2007-12-31,1058.3221959456494
2008-01-01,1058.3221959456494
2008-01-02,1064.667347928976
2008-01-03,1072.044088714631
2008-01-04,1058.6593997792013
2008-01-07,1043.5910896775024
2008-01-08,1069.4871473106502
2008-01-09,1045.081718611987
2008-01-10,1030.1493277269783
2008-01-11,1027.6274992942613
2008-01-14,1031.9280272353838
2008-01-15,1000.6982805741706
2008-01-16,942.1677742434865
2008-01-17,937.3801809175027
2008-01-18,941.6732191135474
2008-01-21,871.9782752339981
2008-01-22,883.7684835047559
2008-01-23,859.8721340810376
2008-01-24,926.9091186078597
2008-01-25,932.1476873364263
2008-01-28,909.5473721072301
2008-01-29,918.0399697115516
2008-01-30,923.9348782334669
2008-01-31,898.3367076886794
2008-02-01,925.4184779690465
2008-02-04,943.0317978080868
2008-02-05,906.9512460966866
2008-02-06,906.5115829256865
2008-02-07,869.9482827568738
2008-02-08,871.1902104648309
2008-02-11,885.0016332610578
2008-02-12,924.5183588468659
2008-02-13,940.4707445207068
2008-02-14,949.0055967064357
2008-02-15,932.3316752003208
2008-02-18,950.5478676741466
2008-02-19,953.8523401510586
2008-02-20,946.081289865187
2008-02-21,959.6153727373745
2008-02-22,949.8354236153522
2008-02-25,968.8455933197325
2008-02-26,970.6671580263184
2008-02-27,982.9310735096229
2008-02-28,980.6292639831632
2008-02-29,959.0594093815441
2008-03-03,944.5191810721253
2008-03-04,925.2730911835644
2008-03-05,950.8961368395643
2008-03-06,935.9908238042289
2008-03-07,916.5583880138106
2008-03-10,920.817337769202
2008-03-11,959.9584580903859
2008-03-12,982.6989463091762
2008-03-13,960.3215248353252
2008-03-14,960.0773056303415
2008-03-17,934.6708457951665
2008-03-18,967.6457543965838
2008-03-19,969.9900969865171
2008-03-20,933.6556051743298
2008-03-21,940.4276823736737
2008-03-24,941.5091929345476
2008-03-25,981.0491802417175
2008-03-26,992.2250658123259
2008-03-27,1012.0357318956327
2008-03-28,1011.3550347557394
2008-03-31,1001.3684067164296
2008-04-01,1009.7896620855222
2008-04-02,1011.1255285069233
