Date,MSCI EMU Banks Semiconductors Autos Luxury Select
2024-12-13,9201.856639418658
2024-12-16,9136.27978360909
2024-12-17,9114.163952587582
2024-12-18,9168.054944918884
2024-12-19,8880.724593479828
2024-12-20,8895.411584508081
2024-12-23,8865.376353331028
2024-12-24,8879.877664933158
2024-12-25,8879.877664933158
2024-12-26,8894.83055010384
2024-12-27,8992.973764087474
2024-12-30,8914.818570445843
2024-12-31,8935.910857504006
2025-01-01,8935.910857504006
2025-01-02,8839.616977610765
2025-01-03,8728.01431588829
2025-01-06,9205.275180346363
2025-01-07,9249.707919301496
2025-01-08,9104.257728973094
2025-01-09,9126.646433402595
2025-01-10,9063.42412384932
2025-01-13,8973.734834416528
2025-01-14,9128.381726827658
2025-01-15,9215.967935366487
2025-01-16,9405.874224173842
2025-01-17,9446.067716118454
2025-01-20,9610.952977512758
2025-01-21,9602.08333526375
2025-01-22,9675.870078464712
2025-01-23,9649.315882614843
2025-01-24,9803.864623784484
2025-01-27,9712.775949561343
2025-01-28,9609.146049487266
2025-01-29,9640.929779206279
2025-01-30,9699.090414550366
2025-01-31,9676.952108615966
2025-02-03,9426.94692839244
2025-02-04,9685.225827215267
2025-02-05,9732.55563610209
2025-02-06,9909.782011006413
2025-02-07,9763.813731985232
2025-02-10,9808.556891404627
2025-02-11,9907.258758983431
2025-02-12,10004.531910092219
2025-02-13,10270.75172846043
2025-02-14,10396.740751798505
2025-02-17,10389.973539802008
2025-02-18,10402.060483689282
2025-02-19,10242.367622448954
2025-02-20,10302.812042587526
2025-02-21,10334.595720134292
2025-02-24,10328.950535511085
2025-02-25,10358.909127108323
2025-02-26,10509.806362582029
2025-02-27,10197.551756642506
2025-02-28,10150.400776456034
2025-03-03,10315.071592568938
2025-03-04,9877.918520780064
2025-03-05,10345.338145300922
2025-03-06,10478.884343985075
2025-03-07,10363.210323621955
2025-03-10,10136.430458992822
2025-03-11,10071.040432190415
2025-03-12,10199.498867500382
2025-03-13,10011.982333342447
2025-03-14,10173.77559914906
2025-03-17,10283.343594370665
2025-03-18,10413.527278706315
2025-03-19,10382.1258799971
2025-03-20,10162.943857147155
2025-03-21,10052.807252476285
2025-03-24,10096.365550335247
2025-03-25,10201.688491675834
2025-03-26,10004.791460600936
2025-03-27,9901.830355186146
2025-03-28,9751.830467765254
2025-03-31,9498.143955402658
2025-04-01,9642.800031284667
2025-04-02,9649.021001020898
2025-04-03,9335.382446235106
2025-04-04,8775.379816202018
