Date,MSCI World Select Blockchain & Digital Assets Economy Tilted Index
2025-03-06,3449.7980514988117
2025-03-07,3456.3869791398215
2025-03-10,3341.187759679039
2025-03-11,3324.72896905785
2025-03-12,3348.315450345193
2025-03-13,3304.4685621556823
2025-03-14,3379.482908738145
2025-03-17,3412.8121346963762
2025-03-18,3385.2205698725734
2025-03-19,3424.1425606543207
2025-03-20,3420.463064648088
2025-03-21,3417.0265163415174
2025-03-24,3476.3619225764296
2025-03-25,3485.430310151974
2025-03-26,3439.9513994234844
2025-03-27,3426.079652756779
2025-03-28,3356.5899383698043
2025-03-31,3353.7029818133637
2025-04-01,3376.9736907820256
2025-04-02,3398.6233738112746
2025-04-03,3260.9447263608217
2025-04-04,3069.394249555925
