Date,MSCI World Information Technology 20-35 Custom
2013-05-31,1000.0
2013-06-03,1002.9940573215381
2013-06-04,999.4567076899833
2013-06-05,987.1885842035471
2013-06-06,988.1964809077962
2013-06-07,996.8580023173271
2013-06-10,1000.5992460872969
2013-06-11,991.3458196669062
2013-06-12,985.9282609676151
2013-06-13,992.348284254454
2013-06-14,987.5126968469968
2013-06-17,999.3404356790576
2013-06-18,1005.5446078154182
2013-06-19,999.3587497940988
2013-06-20,973.6307686589776
2013-06-21,967.7668868411782
2013-06-24,953.6050392724165
2013-06-25,959.8135650801369
2013-06-26,965.2370707510003
2013-06-27,970.4319816036865
2013-06-28,967.0629056765155
2013-07-01,973.5339274889728
2013-07-02,975.4080876771677
2013-07-03,980.1737190008456
2013-07-04,980.4548237724072
2013-07-05,986.0506962890586
2013-07-08,984.2462837237434
2013-07-09,989.4467282076046
2013-07-10,994.5454662179828
2013-07-11,1010.9837849928435
2013-07-12,1013.8740801354419
2013-07-15,1016.5051016079093
2013-07-16,1018.4788014657663
2013-07-17,1019.6091955403524
2013-07-18,1016.3428577502876
2013-07-19,998.5621489863574
2013-07-22,1002.5296831208851
2013-07-23,998.2456926563822
2013-07-24,1006.1036188299172
2013-07-25,1009.8487376011201
2013-07-26,1009.035617564749
2013-07-29,1006.2036449456509
2013-07-30,1013.9587276756397
2013-07-31,1010.6640443312259
2013-08-01,1023.1400619761196
2013-08-02,1030.1208183315402
2013-08-05,1032.046763196547
2013-08-06,1029.0830078973088
2013-08-07,1024.8690153022885
2013-08-08,1028.28814358885
2013-08-09,1024.368232104224
2013-08-12,1029.6321646514336
2013-08-13,1036.3749714358094
2013-08-14,1037.4959629707093
2013-08-15,1019.8877431004014
2013-08-16,1020.3212537812374
2013-08-19,1019.5269944229515
2013-08-20,1018.7656749460201
2013-08-21,1016.6328302964984
2013-08-22,1020.5037618072745
2013-08-23,1028.9583409475265
2013-08-26,1026.3284008263117
2013-08-27,1007.351891671085
2013-08-28,1007.5062777648819
2013-08-29,1011.7672991686325
2013-08-30,1006.0625904304364
2013-09-02,1006.1674496921039
2013-09-03,1012.3668963595995
2013-09-04,1020.6887059519247
2013-09-05,1022.4864259639913
2013-09-06,1025.0168208605064
2013-09-09,1037.3365133554398
2013-09-10,1043.4201602257904
2013-09-11,1040.9633004998545
2013-09-12,1041.59305160372
2013-09-13,1041.088041712581
2013-09-16,1039.5125256863232
2013-09-17,1045.900903658812
2013-09-18,1059.5664584307538
2013-09-19,1063.4027170652419
2013-09-20,1058.2053716178161
2013-09-23,1060.2625191289364
2013-09-24,1058.9693502911389
2013-09-25,1057.2658203689457
2013-09-26,1061.4442073765913
2013-09-27,1057.2047953616234
2013-09-30,1049.841867688271
2013-10-01,1059.8233514481183
2013-10-02,1059.0872486857825
2013-10-03,1049.170582596489
2013-10-04,1053.4942856613557
2013-10-07,1045.4090809292572
2013-10-08,1029.5446829619063
2013-10-09,1030.6796514681055
2013-10-10,1048.6910207978826
2013-10-11,1057.0023648838958
2013-10-14,1061.5323209035887
