Date,EUROPE EQUAL WEIGHTED
1994-06-30,521.34096618
1994-07-29,549.32068001
1994-08-31,561.60707885
1994-09-30,538.71021556
1994-10-31,552.48914543
1994-11-30,531.0168981
1994-12-30,532.36870653
1995-01-31,526.82272052
1995-02-28,534.55816372
1995-03-31,546.87629785
1995-04-28,567.58127658
1995-05-31,584.69831272
1995-06-30,586.77008389
1995-07-31,618.43465882
1995-08-31,590.62993966
1995-09-29,601.48530149
1995-10-31,586.6274037
1995-11-30,582.01939922
1995-12-29,598.99211575
1996-01-31,609.67230045
1996-02-29,629.2451811
1996-03-29,634.88235761
1996-04-30,647.57591794
1996-05-31,657.08918326
1996-06-28,659.02434136
1996-07-31,646.60670998
1996-08-30,662.69093714
1996-09-30,670.65390844
1996-10-31,682.58406305
1996-11-29,709.23775301
1996-12-31,728.34555157
1997-01-01,728.34555157
1997-01-02,719.089086
1997-01-03,721.06758171
1997-01-06,721.99428247
1997-01-07,724.16030514
1997-01-08,725.92648552
1997-01-09,727.97498638
1997-01-10,725.18654534
1997-01-13,732.24551586
1997-01-14,736.9249307
1997-01-15,739.5817759
1997-01-16,743.10993296
1997-01-17,740.26652226
1997-01-20,736.43885994
1997-01-21,733.08142026
1997-01-22,732.99068597
1997-01-23,733.85339787
1997-01-24,732.76356208
1997-01-27,727.94509789
1997-01-28,725.5293938
1997-01-29,725.485337
1997-01-30,729.26120676
1997-01-31,735.19928014
1997-02-03,734.2441669
1997-02-04,736.20696224
1997-02-05,740.95096579
1997-02-06,741.61173053
1997-02-07,740.80794704
1997-02-10,748.21052434
1997-02-11,743.19097669
1997-02-12,740.35747478
1997-02-13,740.04266722
1997-02-14,742.68010499
1997-02-17,737.83039154
1997-02-18,737.49891216
1997-02-19,737.06337713
1997-02-20,737.79759039
1997-02-21,739.55921758
1997-02-24,745.64358591
1997-02-25,750.41037599
1997-02-26,744.19692155
1997-02-27,743.97778311
1997-02-28,741.50867148
1997-03-03,739.47067242
1997-03-04,742.78923278
1997-03-05,744.07017159
1997-03-06,749.94066634
1997-03-07,751.83082135
1997-03-10,759.67273418
1997-03-11,761.97034796
1997-03-12,755.60611873
1997-03-13,752.13208599
1997-03-14,755.31829269
1997-03-17,749.39900513
1997-03-18,746.12568444
1997-03-19,747.55189704
1997-03-20,734.76629555
1997-03-21,741.9007275
1997-03-24,739.12930251
1997-03-25,745.77151252
1997-03-26,752.29039268
1997-03-27,760.70189636
1997-03-28,761.35894508
1997-03-31,764.21680232
1997-04-01,748.56382589
1997-04-02,747.01653594
1997-04-03,742.96320247
1997-04-04,744.61742039
1997-04-07,742.60823204
1997-04-08,742.65394564
1997-04-09,745.20593718
1997-04-10,745.08460496
1997-04-11,740.77089984
1997-04-14,738.22452333
1997-04-15,743.25236738
