Date,FAR EAST EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,979.2086898260231
1999-01-05,975.5723457332932
1999-01-06,986.228946290958
1999-01-07,1007.4131619618156
1999-01-08,1002.2412930574711
1999-01-11,1019.5748269323113
1999-01-12,1000.0126142999713
1999-01-13,980.0383524923691
1999-01-14,990.576367493876
1999-01-15,989.5146555961153
1999-01-18,987.7894630841085
1999-01-19,990.0511616686607
1999-01-20,1001.7433532584245
1999-01-21,1008.6114458304216
1999-01-22,988.4301358540442
1999-01-25,990.4529703743418
1999-01-26,1003.1913649561483
1999-01-27,999.8478570803043
1999-01-28,984.6269603021086
1999-01-29,992.6581593642481
1999-02-01,997.6274656710845
1999-02-02,1012.2952170530135
1999-02-03,1000.451835431125
1999-02-04,997.9081486630674
1999-02-05,983.4259559718698
1999-02-08,977.703992801779
1999-02-09,967.2286151588955
1999-02-10,966.9847569201422
1999-02-11,973.4618772176203
1999-02-12,977.2326430530628
1999-02-15,975.983329159649
1999-02-16,964.7956249338473
1999-02-17,952.8450787618704
1999-02-18,943.4129278601952
1999-02-19,934.9343776642432
1999-02-22,945.2511668069344
1999-02-23,945.0026898538149
1999-02-24,941.5257226407589
1999-02-25,960.0669487495661
1999-02-26,967.46765360759
1999-03-01,959.5537739810331
1999-03-02,938.5536303613977
1999-03-03,939.6166091979283
1999-03-04,927.8290676940366
1999-03-05,965.2125641062665
1999-03-08,963.1405471376844
1999-03-09,978.4697378392912
1999-03-10,1009.645131460505
1999-03-11,1016.0307210313316
1999-03-12,1028.3429882393978
1999-03-15,1055.6598602121267
1999-03-16,1084.798759614025
1999-03-17,1084.5354646352914
1999-03-18,1059.2633411500794
1999-03-19,1094.6677231162616
1999-03-22,1089.8308737878199
1999-03-23,1085.8962980196989
1999-03-24,1068.7603517671348
1999-03-25,1089.0706312921998
1999-03-26,1079.4011858030344
1999-03-29,1082.1421062347085
1999-03-30,1072.3300694772124
1999-03-31,1097.0253120914822
1999-04-01,1108.016394485228
1999-04-02,1100.2940076343796
1999-04-05,1096.09854605889
1999-04-06,1119.5223867152401
1999-04-07,1128.4713949656673
1999-04-08,1148.302608523309
1999-04-09,1149.9706862061262
1999-04-12,1145.0490782253355
1999-04-13,1161.4861809129895
1999-04-14,1184.6195451349508
1999-04-15,1180.704152538888
1999-04-16,1205.9380897929148
1999-04-19,1212.3620730921284
1999-04-20,1199.0412590486706
1999-04-21,1178.4087376786813
1999-04-22,1182.0436576985458
1999-04-23,1193.6224903749344
1999-04-26,1201.5650565600824
1999-04-27,1201.1782819171851
1999-04-28,1206.0799651996908
1999-04-29,1205.6390516545553
1999-04-30,1204.880820290449
1999-05-03,1202.4237760828958
1999-05-04,1199.0526447977088
1999-05-05,1202.4254703665529
1999-05-06,1239.9678443171829
1999-05-07,1228.4202037163113
1999-05-10,1232.7253705798273
1999-05-11,1218.593332205806
1999-05-12,1226.5024386149573
1999-05-13,1215.9470953505054
1999-05-14,1207.9976839569817
1999-05-17,1175.243492505808
1999-05-18,1176.7950042264765
1999-05-19,1147.7009258528915
1999-05-20,1148.193025044071
1999-05-21,1157.0054855303108
1999-05-24,1165.098980785607
1999-05-25,1160.561972005272
1999-05-26,1165.0585807610548
1999-05-27,1165.9778638927874
1999-05-28,1162.5508339550493
1999-05-31,1164.7849119964947
1999-06-01,1185.0347759931722
1999-06-02,1187.8228609236526
1999-06-03,1172.6923985966866
1999-06-04,1169.379212875409
1999-06-07,1188.3848500380896
1999-06-08,1207.2278374974867
1999-06-09,1219.4899605426992
1999-06-10,1243.4134181847483
1999-06-11,1260.6528951852965
1999-06-14,1240.377583852479
1999-06-15,1241.61519334246
1999-06-16,1242.4339813509118
1999-06-17,1262.3949460201338
1999-06-18,1253.1334246592028
1999-06-21,1259.5630249504993
1999-06-22,1266.380356837326
1999-06-23,1256.523224888146
1999-06-24,1253.4592804174745
1999-06-25,1252.557394476879
1999-06-28,1259.1301764596383
1999-06-29,1266.351288493739
1999-06-30,1253.7872001477604
1999-07-01,1271.3333958371252
1999-07-02,1280.4006062947126
1999-07-05,1278.5408473826847
1999-07-06,1278.3925324275026
1999-07-07,1270.8797341815982
1999-07-08,1265.4631159517853
1999-07-09,1268.5357261419026
1999-07-12,1274.8215179046426
1999-07-13,1277.7615875426206
1999-07-14,1284.6216816778094
1999-07-15,1289.8356750736334
1999-07-16,1273.151584936047
1999-07-19,1297.6533985761876
1999-07-20,1298.9902042386066
1999-07-21,1303.584483684369
1999-07-22,1284.0325660038095
1999-07-23,1274.7293969229074
1999-07-26,1269.1991640029896
1999-07-27,1266.1596914439103
1999-07-28,1277.3309868947972
1999-07-29,1298.3358206638366
1999-07-30,1312.1564901033198
1999-08-02,1309.8405754339838
1999-08-03,1312.9085689125247
1999-08-04,1308.2702631050038
