Date,EAFE ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001977073405
1999-01-04,1021.8430740522871
1999-01-05,1024.840796843031
1999-01-06,1040.5310381055376
1999-01-07,1034.218602525117
1999-01-08,1032.3846760845015
1999-01-11,1028.8823391688607
1999-01-12,1018.9376915929695
1999-01-13,996.4848693529367
1999-01-14,995.1080195557112
1999-01-15,994.6940907081778
1999-01-18,1006.8689202074071
1999-01-19,1004.502766519379
1999-01-20,1004.8525247576227
1999-01-21,997.9153679655443
1999-01-22,980.5812528219848
1999-01-25,975.7374500146301
1999-01-26,980.3019818287496
1999-01-27,984.3471256446886
1999-01-28,983.3757000110307
1999-01-29,985.8460795530477
1999-02-01,992.0129414237695
1999-02-02,996.8971202246715
1999-02-03,993.0608186479099
1999-02-04,991.957161293741
1999-02-05,992.634493755225
1999-02-08,988.6001252686541
1999-02-09,981.6950767096228
1999-02-10,972.4868648367409
1999-02-11,981.2371131569332
1999-02-12,985.0019230978953
1999-02-15,982.603797283998
1999-02-16,981.3566216517621
1999-02-17,978.7703631634886
1999-02-18,976.1183936193843
1999-02-19,974.1915676756826
1999-02-22,974.9050197980656
1999-02-23,974.6807576046651
1999-02-24,975.3615658966356
1999-02-25,976.7941619338321
1999-02-26,971.470561314219
1999-03-01,966.5360642388903
1999-03-02,967.6863594847904
1999-03-03,966.0747336727452
1999-03-04,962.9882658208386
1999-03-05,978.0951520999813
1999-03-08,979.1892437872206
1999-03-09,981.3066982755523
1999-03-10,986.9633326775809
1999-03-11,987.7813688638519
1999-03-12,1000.3012172634791
1999-03-15,998.6072423592612
1999-03-16,997.0343138158091
1999-03-17,999.5004617579945
1999-03-18,996.2542499265597
1999-03-19,1002.3453960536791
1999-03-22,998.6157530173082
1999-03-23,991.92902890419
1999-03-24,986.2005667832645
1999-03-25,993.8545674073597
1999-03-26,983.2495799345023
1999-03-29,987.5203233922514
1999-03-30,989.9357004419563
1999-03-31,997.5583113227818
1999-04-01,998.7548988410933
1999-04-02,996.7042160152359
1999-04-05,993.296067038205
1999-04-06,1000.9845767610273
1999-04-07,1009.6378593281604
1999-04-08,1016.1015841186774
1999-04-09,1020.398648702534
1999-04-12,1022.1694155989261
1999-04-13,1030.0347702840993
1999-04-14,1036.7396041854809
1999-04-15,1038.5692075593604
1999-04-16,1049.3018428218793
1999-04-19,1062.0485472024538
1999-04-20,1047.8503915500294
1999-04-21,1048.2285420646128
1999-04-22,1056.4218976433042
1999-04-23,1059.7984244212219
1999-04-26,1061.172808324945
1999-04-27,1076.8820325458305
1999-04-28,1072.1814190291734
1999-04-29,1071.3867553158807
1999-04-30,1079.520508746892
1999-05-03,1084.6808152581111
1999-05-04,1093.3030244012937
1999-05-05,1092.6122213339997
1999-05-06,1102.8283751507327
1999-05-07,1096.467678010928
1999-05-10,1094.7944724750696
1999-05-11,1091.005962053591
1999-05-12,1084.20189353626
1999-05-13,1084.1483908311732
1999-05-14,1080.863306125801
1999-05-17,1065.1362430399206
1999-05-18,1070.714355703469
1999-05-19,1073.1374478495416
1999-05-20,1075.8577482790347
1999-05-21,1069.9823620554405
1999-05-24,1071.325351198613
1999-05-25,1062.580530340881
1999-05-26,1051.567825174012
1999-05-27,1046.1675323039585
1999-05-28,1044.2079539591496
