Date,PACIFIC EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,984.3140578665491
1999-01-05,982.056358757829
1999-01-06,994.6204774113297
1999-01-07,1015.4838996410969
1999-01-08,1010.4862976383982
1999-01-11,1027.8334208459412
1999-01-12,1010.811157774206
1999-01-13,990.2514633294467
1999-01-14,998.9206204702341
1999-01-15,998.7966212401509
1999-01-18,998.281306853066
1999-01-19,1001.8925600295104
1999-01-20,1013.5321286164027
1999-01-21,1018.1774896773991
1999-01-22,998.2170482999508
1999-01-25,998.2575189721907
1999-01-26,1009.285825760091
1999-01-27,1006.5768626199368
1999-01-28,992.8332807808237
1999-01-29,1000.9417968330868
1999-02-01,1007.675420399763
1999-02-02,1020.6478560848952
1999-02-03,1011.9876348669729
1999-02-04,1011.0193071122937
1999-02-05,999.4357422708047
1999-02-08,994.8932903647949
1999-02-09,984.587526241074
1999-02-10,980.8875777672164
1999-02-11,988.1008133489069
1999-02-12,991.4281096509445
1999-02-15,989.0807827364833
1999-02-16,977.082762310136
1999-02-17,966.2765266117566
1999-02-18,958.2139480185928
1999-02-19,954.5802118498221
1999-02-22,964.3812458431776
1999-02-23,963.5491240525288
1999-02-24,958.2835816168365
1999-02-25,972.0057586602201
1999-02-26,976.0385549292009
1999-03-01,969.8028329075755
1999-03-02,951.4821668045333
1999-03-03,952.9002491067666
1999-03-04,942.3178494256389
1999-03-05,976.3737844703572
1999-03-08,975.8556659258101
1999-03-09,990.3129897797993
1999-03-10,1016.8626384072319
1999-03-11,1022.6828348697197
1999-03-12,1034.389850960762
1999-03-15,1058.3195639262249
1999-03-16,1082.2059453244335
1999-03-17,1080.9055359464865
1999-03-18,1059.5920701009743
1999-03-19,1090.6655173699326
1999-03-22,1087.2218739145394
1999-03-23,1085.0599819187896
1999-03-24,1069.1923508486138
1999-03-25,1086.5756828266653
1999-03-26,1078.1092659600833
1999-03-29,1080.03249522635
1999-03-30,1070.3908672519785
1999-03-31,1091.174465648839
1999-04-01,1102.1870103162976
1999-04-02,1094.7838235433449
1999-04-05,1090.8179789792334
1999-04-06,1111.1459656191464
1999-04-07,1118.0135256961225
1999-04-08,1134.6224418710012
1999-04-09,1137.516951966742
1999-04-12,1133.6738591525025
1999-04-13,1149.9330453493594
1999-04-14,1170.6707144391469
1999-04-15,1167.281385716724
1999-04-16,1194.604959893971
1999-04-19,1202.868411064179
1999-04-20,1189.6182854943481
1999-04-21,1170.141238526714
1999-04-22,1175.8967297526299
1999-04-23,1186.9103032777136
1999-04-26,1192.611689483077
1999-04-27,1193.4711541762279
1999-04-28,1197.9131052945909
1999-04-29,1200.1081278785703
1999-04-30,1201.1879770565404
1999-05-03,1198.5897157051681
1999-05-04,1196.215693533455
1999-05-05,1197.3367440821523
1999-05-06,1233.6740823031128
1999-05-07,1223.697028475829
1999-05-10,1225.1885220424927
1999-05-11,1211.6920915276844
1999-05-12,1218.175096023391
1999-05-13,1209.1573694871483
1999-05-14,1203.76405476511
1999-05-17,1173.2446032771452
1999-05-18,1176.1517486733687
1999-05-19,1147.8217113721666
1999-05-20,1146.2793791400882
1999-05-21,1153.364299116978
1999-05-24,1160.1483397466254
1999-05-25,1153.5537873289966
1999-05-26,1155.5686221958317
1999-05-27,1156.1262245450876
1999-05-28,1153.161010414711
1999-05-31,1153.5032322779741
1999-06-01,1169.5999662012307
1999-06-02,1172.4287346919975
1999-06-03,1161.3609669848706
1999-06-04,1160.4993286697118
1999-06-07,1177.7969216963368
1999-06-08,1194.5469978714414
1999-06-09,1205.8437868081223
1999-06-10,1226.5468687051284
1999-06-11,1241.3322300576444
1999-06-14,1223.8825044388452
1999-06-15,1223.6118795926782
1999-06-16,1224.173046237225
1999-06-17,1241.3306947166525
1999-06-18,1232.421588084074
1999-06-21,1237.1045636730685
1999-06-22,1243.7010046849803
1999-06-23,1235.8962040331564
1999-06-24,1233.1694888159634
1999-06-25,1233.801479049402
1999-06-28,1239.3107511550877
1999-06-29,1244.2999913834171
1999-06-30,1233.550613463256
1999-07-01,1252.2041810153296
1999-07-02,1262.9126703524623
1999-07-05,1262.6748096344643
1999-07-06,1263.55948752099
1999-07-07,1255.236472686488
1999-07-08,1252.314645905232
1999-07-09,1253.7526958028375
1999-07-12,1258.4004533402585
1999-07-13,1259.814215304864
1999-07-14,1265.7765201202683
1999-07-15,1272.1773358903572
1999-07-16,1255.8196267972446
1999-07-19,1275.6612550186105
1999-07-20,1277.926710937855
1999-07-21,1280.1062186540978
1999-07-22,1263.2893584133215
1999-07-23,1255.8306149790271
1999-07-26,1249.8132437463348
1999-07-27,1245.9223743268876
1999-07-28,1256.2956816942171
1999-07-29,1274.773953885797
1999-07-30,1286.0484780999375
1999-08-02,1281.510357912302
1999-08-03,1287.1420095929977
1999-08-04,1284.0561935696524
