Date,WORLD ex AUSTRALIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0000959504787
1999-01-04,1006.6780536173771
1999-01-05,1011.0502345759031
1999-01-06,1026.591110975627
1999-01-07,1026.2401453908415
1999-01-08,1026.2202872837424
1999-01-11,1027.2839849677102
1999-01-12,1011.0478906202505
1999-01-13,993.4077351364468
1999-01-14,991.384979335923
1999-01-15,997.1448460687901
1999-01-18,1001.9850754569961
1999-01-19,1000.9158985690907
1999-01-20,1002.4828700177396
1999-01-21,999.4692480000209
1999-01-22,984.0537348772062
1999-01-25,985.6663066386434
1999-01-26,991.1357162004851
1999-01-27,988.1560377370951
1999-01-28,986.9978520556803
1999-01-29,993.0423128110714
1999-02-01,996.2608085702325
1999-02-02,999.8365729066325
1999-02-03,997.4214354275698
1999-02-04,994.387868860963
1999-02-05,991.105793714464
1999-02-08,988.9390956278598
1999-02-09,976.616580708256
1999-02-10,973.5466532114867
1999-02-11,982.4939638187763
1999-02-12,980.8745854964853
1999-02-15,979.3011392511061
1999-02-16,976.6941891543645
1999-02-17,968.5461065221051
1999-02-18,967.9056463375747
1999-02-19,964.9594908723461
1999-02-22,974.0945651560595
1999-02-23,973.1637516751581
1999-02-24,969.299043405473
1999-02-25,972.9169903794788
1999-02-26,971.9221892057865
1999-03-01,966.3962176111778
1999-03-02,960.2720319714717
1999-03-03,959.1556745631121
1999-03-04,957.955293113027
1999-03-05,979.8331965561758
1999-03-08,980.5987328351418
1999-03-09,983.2161471037318
1999-03-10,995.9776191710404
1999-03-11,1000.0509979624057
1999-03-12,1008.4129641906394
1999-03-15,1016.1551502388551
1999-03-16,1023.554565000996
1999-03-17,1024.7643003921544
1999-03-18,1019.9711046016698
1999-03-19,1029.6511254085701
1999-03-22,1025.2455688610962
1999-03-23,1013.1671991535111
1999-03-24,1008.8749263873515
1999-03-25,1021.4801291477813
1999-03-26,1012.9433745822405
1999-03-29,1019.8832076915347
1999-03-30,1014.190203092876
1999-03-31,1023.1984569204844
1999-04-01,1026.926340218343
1999-04-02,1024.3125276039943
1999-04-05,1025.2913074162573
1999-04-06,1032.6199197176222
