Date,NORTH AMERICA EQUAL WEIGHTED
1994-06-30,440.13666851
1994-07-29,456.75180297
1994-08-31,478.32303944
1994-09-30,471.57154467
1994-10-31,475.04645555
1994-11-30,452.60907617
1994-12-30,459.20076424
1995-01-31,464.02156261
1995-02-28,486.74633609
1995-03-31,502.20662125
1995-04-28,514.23993016
1995-05-31,532.99417935
1995-06-30,546.22871829
1995-07-31,564.62295698
1995-08-31,568.31875361
1995-09-29,580.42241913
1995-10-31,570.67554924
1995-11-30,598.23418359
1995-12-29,605.46971952
1996-01-31,624.92431525
1996-02-29,632.87940226
1996-03-29,646.60147798
1996-04-30,666.60624794
1996-05-31,676.80274104
1996-06-28,669.05753558
1996-07-31,636.41752165
1996-08-30,662.31230804
1996-09-30,687.88411702
1996-10-31,704.33863156
1996-11-29,750.00975369
1996-12-31,736.61321933
1997-01-01,736.611331
1997-01-02,731.57713904
1997-01-03,739.69765705
1997-01-06,739.57811382
1997-01-07,745.77616457
1997-01-08,744.10990391
1997-01-09,750.19003261
1997-01-10,754.26990759
1997-01-13,755.01007824
1997-01-14,761.32898328
1997-01-15,760.86236659
1997-01-16,763.69650802
1997-01-17,768.40500543
1997-01-20,768.0221413
1997-01-21,769.50889776
1997-01-22,770.44209981
1997-01-23,766.00883023
1997-01-24,760.77826252
1997-01-27,757.92754884
1997-01-28,757.59255635
1997-01-29,760.64569062
1997-01-30,766.04535565
1997-01-31,768.32357145
1997-02-03,769.70472905
1997-02-04,771.46485893
1997-02-05,764.07326948
1997-02-06,763.86328912
1997-02-07,770.02071686
1997-02-10,768.11448298
1997-02-11,770.74650239
1997-02-12,779.98745367
1997-02-13,786.65211373
1997-02-14,786.20915905
1997-02-17,786.36857751
1997-02-18,790.89538503
1997-02-19,788.82431639
1997-02-20,782.37666972
1997-02-21,781.90586782
1997-02-24,786.85554588
1997-02-25,787.59259117
1997-02-26,782.15743631
1997-02-27,776.42371483
1997-02-28,773.41586383
1997-03-03,775.15045402
1997-03-04,774.49528755
1997-03-05,782.5118622
1997-03-06,781.56734108
1997-03-07,786.95068981
1997-03-10,792.07992578
1997-03-11,791.39483158
1997-03-12,787.05696722
1997-03-13,776.51809071
1997-03-14,780.99166327
1997-03-17,779.94986192
1997-03-18,775.41290829
1997-03-19,770.93710723
1997-03-20,768.79013891
1997-03-21,770.6090242
1997-03-24,775.25067689
1997-03-25,772.92979041
1997-03-26,772.39138267
1997-03-27,757.59889337
1997-03-28,757.23014852
1997-03-31,743.54153975
1997-04-01,743.75563871
1997-04-02,737.4060405
1997-04-03,735.33500563
1997-04-04,739.17766083
1997-04-07,744.30934167
1997-04-08,746.01506375
1997-04-09,742.6231776
