Date,WORLD ex EUROPE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,995.1059606847117
1999-01-05,999.6477733322888
1999-01-06,1017.7459117196423
1999-01-07,1026.8194375683647
1999-01-08,1029.269477736438
1999-01-11,1035.6767789956778
1999-01-12,1018.1881148980189
1999-01-13,1002.2650339345518
1999-01-14,998.6010515001132
1999-01-15,1009.6595439866406
1999-01-18,1009.3001431932514
1999-01-19,1010.1042061410016
1999-01-20,1013.4480530374295
1999-01-21,1011.1426999939432
1999-01-22,995.9999581473447
1999-01-25,997.7506735151157
1999-01-26,1004.0264076519442
1999-01-27,997.8155458273241
1999-01-28,994.2594653207323
1999-01-29,1003.2494743336423
1999-02-01,1005.4366546622779
1999-02-02,1007.2263529420127
1999-02-03,1006.9532767282374
1999-02-04,1004.6782187237593
1999-02-05,999.0304685773423
1999-02-08,998.0007846800557
1999-02-09,982.910869284369
1999-02-10,981.2907266022262
1999-02-11,991.9340519389748
1999-02-12,987.1189681866621
1999-02-15,986.052472707643
1999-02-16,980.6551031924747
1999-02-17,969.3593329818026
1999-02-18,969.7555768429677
1999-02-19,969.6832218616967
1999-02-22,983.7141165388497
1999-02-23,982.0649504308922
1999-02-24,974.5966101658034
1999-02-25,978.2231690871143
1999-02-26,979.2417081114472
1999-03-01,975.364397960658
1999-03-02,964.1271053777775
1999-03-03,964.1206635662867
1999-03-04,964.4173106685818
1999-03-05,989.8637546920313
1999-03-08,991.4508955601352
1999-03-09,996.109076520292
1999-03-10,1013.1376858214778
1999-03-11,1018.8934133620335
1999-03-12,1024.6140600662688
1999-03-15,1038.6906318070794
1999-03-16,1049.8431503120064
1999-03-17,1048.7540398614772
1999-03-18,1043.4739876495796
1999-03-19,1056.1339162599318
1999-03-22,1053.5009114853872
1999-03-23,1041.2210105773336
1999-03-24,1036.8123993858364
1999-03-25,1051.4805024107002
1999-03-26,1045.9915865017028
1999-03-29,1052.7073449650634
1999-03-30,1042.1839474046
1999-03-31,1050.4744969863057
1999-04-01,1057.7034449391967
1999-04-02,1054.421900723477
1999-04-05,1058.7798632820002
1999-04-06,1064.9521558890524
1999-04-07,1068.7996929719307
1999-04-08,1081.8622345462193
1999-04-09,1085.4735957248142
1999-04-12,1088.5924747129213
1999-04-13,1097.479052522607
1999-04-14,1113.0259759446137
1999-04-15,1120.22236856252
1999-04-16,1140.2726916540944
1999-04-19,1147.1066382034046
1999-04-20,1138.3520850895081
1999-04-21,1137.103025724569
1999-04-22,1142.2150796733456
1999-04-23,1148.1779970345515
1999-04-26,1149.4682787710094
1999-04-27,1153.8673371703499
1999-04-28,1161.046027641932
1999-04-29,1165.2015204264526
1999-04-30,1162.7487827945538
1999-05-03,1172.5656552036492
1999-05-04,1167.5302593144197
1999-05-05,1170.8332674791932
1999-05-06,1187.5532350947108
1999-05-07,1183.7948817500035
1999-05-10,1183.8160473744706
1999-05-11,1180.2509208675351
1999-05-12,1182.4654460036977
1999-05-13,1179.9572123041032
1999-05-14,1167.706314232806
1999-05-17,1150.4859787075497
1999-05-18,1148.893076738439
1999-05-19,1139.4100110775612
1999-05-20,1138.9094006964535
1999-05-21,1142.541368884716
1999-05-24,1140.4742204279719
1999-05-25,1128.9433638367402
1999-05-26,1132.3580111417932
1999-05-27,1123.7226676614878
1999-05-28,1127.749869821471
1999-05-31,1128.2543335947123
1999-06-01,1136.5926754752609
1999-06-02,1139.589207651866
1999-06-03,1136.822055627398
1999-06-04,1144.1562040330348
1999-06-07,1156.08982190105
1999-06-08,1159.1396896873619
1999-06-09,1162.9986916328348
1999-06-10,1170.7124200738456
1999-06-11,1176.7230305229086
1999-06-14,1169.5233211639336
1999-06-15,1171.0139348120397
1999-06-16,1177.35723456589
1999-06-17,1187.5045175977434
1999-06-18,1185.4716026518652
1999-06-21,1186.6426054955082
1999-06-22,1185.865782092981
1999-06-23,1180.957929510602
1999-06-24,1172.4016850388314
1999-06-25,1174.2760852636181
1999-06-28,1181.7579479589078
1999-06-29,1188.888299361243
1999-06-30,1187.6676048220982
1999-07-01,1199.8598705606062
1999-07-02,1210.1878260305307
1999-07-05,1211.8307443837334
1999-07-06,1210.142104284089
1999-07-07,1204.7212878639452
1999-07-08,1202.7614328652744
1999-07-09,1207.5539151666399
1999-07-12,1207.4836960088587
1999-07-13,1204.8033574228523
1999-07-14,1210.89277731844
1999-07-15,1215.6705395771248
1999-07-16,1209.584659756521
1999-07-19,1215.8713464847372
1999-07-20,1208.8266535704358
1999-07-21,1209.5389877750538
1999-07-22,1198.6158679341509
1999-07-23,1193.3354930027676
1999-07-26,1186.6008604905319
1999-07-27,1188.6476330563637
1999-07-28,1194.0161494144163
1999-07-29,1195.2263515984032
1999-07-30,1199.4470272684189
1999-08-02,1197.000231660512
1999-08-03,1197.7902261404151
1999-08-04,1192.4418333292508
