Date,PACIFIC ex JAPAN EQUAL WEIGHTED
1994-06-30,1620.32842398
1994-07-29,1697.88248633
1994-08-31,1821.27088628
1994-09-30,1829.22155092
1994-10-31,1843.54056773
1994-11-30,1707.70484559
1994-12-30,1680.28225157
1995-01-31,1513.20106517
1995-02-28,1645.96270617
1995-03-31,1644.02336191
1995-04-28,1649.84444813
1995-05-31,1760.34185451
1995-06-30,1746.89329795
1995-07-31,1836.45588233
1995-08-31,1773.90718491
1995-09-29,1774.86460108
1995-10-31,1705.81085899
1995-11-30,1725.3519338
1995-12-29,1796.4665266
1996-01-31,1933.92307716
1996-02-29,1974.55982341
1996-03-29,2020.37536547
1996-04-30,2115.54345951
1996-05-31,2052.58164306
1996-06-28,2045.00957617
1996-07-31,1939.70925308
1996-08-30,2026.88532173
1996-09-30,2073.88513864
1996-10-31,2111.21485062
1996-11-29,2215.13025459
1996-12-31,2231.53853504
1997-01-01,2231.53853504
1997-01-02,2220.20077482
1997-01-03,2215.11985371
1997-01-06,2233.92884802
1997-01-07,2232.66954198
1997-01-08,2238.80199461
1997-01-09,2235.1795486
1997-01-10,2236.8421131
1997-01-13,2238.43861297
1997-01-14,2226.46085103
1997-01-15,2244.40382124
1997-01-16,2244.87340201
1997-01-17,2260.81056363
1997-01-20,2268.45348613
1997-01-21,2253.80487487
1997-01-22,2260.78287705
1997-01-23,2257.10001721
1997-01-24,2243.08564709
1997-01-27,2239.83207598
1997-01-28,2240.64816537
1997-01-29,2238.97921432
1997-01-30,2241.68978626
1997-01-31,2246.60829901
1997-02-03,2250.42956625
1997-02-04,2237.54795057
1997-02-05,2253.82035158
1997-02-06,2257.05338555
1997-02-07,2255.63680532
1997-02-10,2253.58400378
1997-02-11,2254.60374519
1997-02-12,2285.90358267
1997-02-13,2313.71513893
1997-02-14,2305.60916339
1997-02-17,2313.45769201
1997-02-18,2305.37863113
1997-02-19,2314.64563893
1997-02-20,2336.35937981
1997-02-21,2342.46087245
1997-02-24,2346.33693708
1997-02-25,2359.55494112
1997-02-26,2344.48453657
1997-02-27,2330.8173289
1997-02-28,2335.17517916
1997-03-03,2332.94036789
1997-03-04,2324.04331868
1997-03-05,2326.93473802
1997-03-06,2321.14250613
1997-03-07,2316.04572409
1997-03-10,2312.22051232
1997-03-11,2326.39192487
1997-03-12,2315.97525246
1997-03-13,2304.04334311
1997-03-14,2286.60392815
1997-03-17,2284.94729435
1997-03-18,2261.3720214
1997-03-19,2259.13833208
1997-03-20,2235.0007003
1997-03-21,2220.95063516
1997-03-24,2232.35461366
1997-03-25,2237.49398953
1997-03-26,2239.57291341
1997-03-27,2239.0081928
1997-03-28,2236.03333921
1997-03-31,2218.15531883
1997-04-01,2187.79914736
1997-04-02,2177.94954846
1997-04-03,2150.46162018
1997-04-04,2142.60945992
1997-04-07,2141.88150688
1997-04-08,2165.44026463
1997-04-09,2175.24882317
1997-04-10,2161.51053134
1997-04-11,2154.27019378
1997-04-14,2112.34609457
1997-04-15,2096.81479353
1997-04-16,2109.4350113
1997-04-17,2125.62577959
1997-04-18,2135.81566544
1997-04-21,2157.02415873
1997-04-22,2153.60258331
1997-04-23,2159.20378708
1997-04-24,2140.25668857
1997-04-25,2138.05561716
1997-04-28,2118.0509554
1997-04-29,2108.424657
1997-04-30,2136.36498029
1997-05-01,2141.74126273
1997-05-02,2158.43685421
1997-05-05,2160.31802475
1997-05-06,2171.30383953
1997-05-07,2182.13229663
1997-05-08,2181.54498784
1997-05-09,2190.08867607
1997-05-12,2191.29385534
1997-05-13,2183.76041772
1997-05-14,2174.74008334
1997-05-15,2161.3668729
1997-05-16,2168.90991893
1997-05-19,2163.37111751
1997-05-20,2169.96448756
1997-05-21,2178.67091951
1997-05-22,2188.38746085
1997-05-23,2187.32122969
1997-05-26,2199.07334418
1997-05-27,2191.44721052
1997-05-28,2197.24052151
1997-05-29,2201.44959499
1997-05-30,2210.7086648
1997-06-02,2220.00553927
1997-06-03,2218.960135
1997-06-04,2216.99508096
1997-06-05,2210.89583895
1997-06-06,2210.19724605
1997-06-09,2212.02848648
1997-06-10,2211.64857325
1997-06-11,2208.5209149
1997-06-12,2186.59582648
1997-06-13,2182.86500775
1997-06-16,2183.48082022
1997-06-17,2192.87314943
1997-06-18,2192.6448152
1997-06-19,2203.27767733
1997-06-20,2217.96770336
1997-06-23,2211.22876316
1997-06-24,2198.43472804
1997-06-25,2201.04465579
1997-06-26,2196.925486
1997-06-27,2189.38190896
1997-06-30,2210.18112776
1997-07-01,2209.97071006
1997-07-02,2217.90940316
1997-07-03,2207.41730925
1997-07-04,2188.71763559
1997-07-07,2173.7832295
1997-07-08,2168.89575638
1997-07-09,2145.44386082
1997-07-10,2128.33273855
1997-07-11,2139.41760106
1997-07-14,2110.4060875
1997-07-15,2097.63775295
1997-07-16,2086.63349213
1997-07-17,2093.05455073
1997-07-18,2085.6952042
1997-07-21,2100.33384878
1997-07-22,2095.65676899
1997-07-23,2115.14959335
1997-07-24,2124.55652413
1997-07-25,2122.49953116
1997-07-28,2124.50344629
1997-07-29,2144.73741546
1997-07-30,2139.00308003
1997-07-31,2141.76236211
1997-08-01,2124.79358023
1997-08-04,2103.61954683
1997-08-05,2080.74003937
1997-08-06,2090.44007227
1997-08-07,2073.60781689
1997-08-08,2051.55200073
1997-08-11,2003.58243723
1997-08-12,1986.752858
1997-08-13,1987.51097292
1997-08-14,1987.55778747
1997-08-15,1984.52970916
1997-08-18,1949.67942046
1997-08-19,1941.20383763
1997-08-20,1987.9998654
1997-08-21,1990.64574107
1997-08-22,1973.38776871
1997-08-25,1968.39871728
1997-08-26,1949.50846914
1997-08-27,1925.14488442
1997-08-28,1829.24276735
1997-08-29,1789.01129869
1997-09-01,1756.73902995
1997-09-02,1760.95654873
