Date,EMU EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0004243004936
1999-01-04,1039.0508513446862
1999-01-05,1040.119817740953
1999-01-06,1047.1597368747043
1999-01-07,1031.205580413172
1999-01-08,1021.5058802581863
1999-01-11,1011.1685223880135
1999-01-12,998.7532853043865
1999-01-13,975.0358373619899
1999-01-14,976.0695368271636
1999-01-15,972.0216392811138
1999-01-18,985.7619685908819
1999-01-19,981.7323322504924
1999-01-20,981.2905832849143
1999-01-21,977.033092814492
1999-01-22,958.9473136989313
1999-01-25,957.091454770231
1999-01-26,958.5974191169565
1999-01-27,958.3872483562253
1999-01-28,959.729520982582
1999-01-29,957.9380415265676
1999-02-01,957.6450841817531
1999-02-02,956.6180520870398
1999-02-03,953.5667180129744
1999-02-04,949.9060549149544
1999-02-05,953.1956541197535
1999-02-08,950.1068641754484
1999-02-09,943.106497891861
1999-02-10,935.6897243225395
1999-02-11,943.9240763456503
1999-02-12,947.0858732769944
1999-02-15,943.7680893744696
1999-02-16,940.9986913994059
1999-02-17,938.8770474067857
1999-02-18,938.2546246936552
1999-02-19,933.8731544682905
1999-02-22,934.1610756307593
1999-02-23,935.4761118318455
1999-02-24,936.2041236688523
1999-02-25,938.4062031242814
1999-02-26,928.9976779344886
1999-03-01,919.179668724322
1999-03-02,919.3667611315502
1999-03-03,912.5688715522729
1999-03-04,908.5537997999334
1999-03-05,924.1689843358712
1999-03-08,925.3131285145166
1999-03-09,924.0112249382454
1999-03-10,925.3338380212656
1999-03-11,923.0003226774425
1999-03-12,934.8800572775698
1999-03-15,938.4619684908233
1999-03-16,938.2044434984966
1999-03-17,944.5593643532184
1999-03-18,941.4873438740477
1999-03-19,944.1688103646809
1999-03-22,938.7357154673196
1999-03-23,925.6057186391087
1999-03-24,919.8962826415917
1999-03-25,929.4417983372371
1999-03-26,913.7964581637918
1999-03-29,918.0416458811185
1999-03-30,921.3026463656676
1999-03-31,931.0188061608776
1999-04-01,932.8047040233861
1999-04-02,930.7340095872244
1999-04-05,925.1087360319376
1999-04-06,936.6158912738634
1999-04-07,942.5513578617929
1999-04-08,947.916654944032
1999-04-09,945.1391149135067
1999-04-12,947.677608306646
1999-04-13,952.0063914861271
1999-04-14,956.3314612201772
1999-04-15,953.8110092899927
1999-04-16,951.9310469803933
1999-04-19,959.0976508063326
1999-04-20,948.9649673901041
1999-04-21,950.1669527515274
1999-04-22,950.2261747402611
1999-04-23,954.1940692265379
1999-04-26,954.5301287512102
1999-04-27,972.4697516348314
1999-04-28,968.8934711242117
1999-04-29,966.8988322590442
1999-04-30,969.0394589046327
1999-05-03,972.7736780519913
1999-05-04,978.6184822212095
1999-05-05,977.6367778990955
1999-05-06,987.9515190649294
1999-05-07,989.9006942413861
1999-05-10,992.7432847338073
1999-05-11,988.1774135998561
1999-05-12,979.619897067971
1999-05-13,979.1728515141482
1999-05-14,976.8687198201876
1999-05-17,959.7010246114713
1999-05-18,963.6938394943414
1999-05-19,972.0941150275287
1999-05-20,976.5781779087125
1999-05-21,969.4790451835113
1999-05-24,970.8443164157865
1999-05-25,966.8655192556046
1999-05-26,952.7223409999631
1999-05-27,943.309551593479
1999-05-28,940.3176322086724
1999-05-31,939.8160464479263
1999-06-01,943.4498733666633
1999-06-02,932.8037396090953
1999-06-03,936.5443397970705
1999-06-04,935.9660468461907
1999-06-07,942.6846094423814
1999-06-08,956.7773671843106
1999-06-09,960.2513755045326
1999-06-10,960.2227508932738
1999-06-11,965.2682375675224
1999-06-14,953.6697759418676
1999-06-15,956.0842012401329
1999-06-16,949.4226592034994
1999-06-17,952.2084699956458
1999-06-18,962.9919640736167
1999-06-21,963.6276757393982
1999-06-22,958.5998372882422
1999-06-23,951.9125244289473
1999-06-24,951.7169227129326
1999-06-25,960.5448993973384
1999-06-28,953.035308144549
1999-06-29,952.2366610853741
1999-06-30,949.8631827393335
1999-07-01,953.6259880961617
1999-07-02,952.5946776685744
1999-07-05,965.7078989136785
1999-07-06,963.8549924793097
1999-07-07,960.5315140321981
1999-07-08,954.3351996138977
1999-07-09,959.2619644853689
1999-07-12,955.7967717615144
1999-07-13,949.0967449972857
1999-07-14,952.8374559440726
1999-07-15,964.4856583293964
1999-07-16,959.0284807901222
1999-07-19,956.6306934481061
1999-07-20,968.131478025785
1999-07-21,967.4654926847642
1999-07-22,960.3705594224484
1999-07-23,952.6477130390259
1999-07-26,961.4180699444578
1999-07-27,958.0084961541312
1999-07-28,956.93846963834
1999-07-29,951.9755260662758
