Date,WORLD ex USA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001250569876
1999-01-04,1008.7406351719724
1999-01-05,1010.8162238386491
1999-01-06,1024.6561874979936
1999-01-07,1026.1787136938867
1999-01-08,1022.7531238233324
1999-01-11,1027.3901003882713
1999-01-12,1012.4086297273651
1999-01-13,991.2478798306363
1999-01-14,994.0948031625057
1999-01-15,994.3577993038424
1999-01-18,1000.8018846541596
1999-01-19,999.9113283895102
1999-01-20,1003.2788969111759
1999-01-21,1002.9204844410226
1999-01-22,985.4371237771513
1999-01-25,985.6033827999339
1999-01-26,991.588604238091
1999-01-27,991.3051946210627
1999-01-28,986.3999498793029
1999-01-29,992.4209246404934
1999-02-01,998.721342842144
1999-02-02,1006.4057490895862
1999-02-03,1000.4513910246148
1999-02-04,999.2101823183709
1999-02-05,995.9636743906229
1999-02-08,992.2611124159141
1999-02-09,982.1157600828491
1999-02-10,976.9207762244102
1999-02-11,984.7469217410269
1999-02-12,987.4182599171006
1999-02-15,985.1062526960603
1999-02-16,979.0430666816702
1999-02-17,972.2589209195946
1999-02-18,968.4103415533456
1999-02-19,964.4873464042363
1999-02-22,969.1127137469304
1999-02-23,968.1921409496276
1999-02-24,965.6004352362978
1999-02-25,972.0650139692016
1999-02-26,970.6237060226231
1999-03-01,963.5322867900651
1999-03-02,956.5177177933352
1999-03-03,955.6783451367006
1999-03-04,950.6653944702119
1999-03-05,974.5477679028543
1999-03-08,975.6220172783203
1999-03-09,981.2832217674384
1999-03-10,995.3474775476556
1999-03-11,998.4569825236987
1999-03-12,1009.6812215226784
1999-03-15,1017.7395052187283
1999-03-16,1026.9731356441296
1999-03-17,1028.6877244757488
1999-03-18,1018.565535249382
1999-03-19,1034.1363631645343
1999-03-22,1029.7525505260967
1999-03-23,1022.2995464410898
1999-03-24,1014.144080978468
1999-03-25,1025.7581615262004
1999-03-26,1015.967182460848
1999-03-29,1020.1230981077265
1999-03-30,1016.0187692359345
1999-03-31,1029.0383797812158
1999-04-01,1032.976524208171
1999-04-02,1029.550837300748
1999-04-05,1025.9695863828904
1999-04-06,1037.8180964874318
1999-04-07,1044.694690350792
1999-04-08,1055.3464308936689
1999-04-09,1056.880349471917
1999-04-12,1057.763883220904
1999-04-13,1067.168778895596
1999-04-14,1078.7143062501862
1999-04-15,1079.0128096934936
1999-04-16,1093.207843888902
1999-04-19,1101.6633987363211
1999-04-20,1089.3945905007463
1999-04-21,1082.1321850057977
1999-04-22,1087.6879563021885
1999-04-23,1094.7823302523636
1999-04-26,1096.7549468792652
1999-04-27,1105.8077244979281
1999-04-28,1107.0794084711029
1999-04-29,1107.493756844536
1999-04-30,1110.0512100984774
1999-05-03,1112.2990280402125
1999-05-04,1115.490589903915
1999-05-05,1114.639027565995
1999-05-06,1133.5213197574453
1999-05-07,1127.6663117432038
1999-05-10,1128.0461522205735
1999-05-11,1120.6686498222923
1999-05-12,1117.4103493018686
1999-05-13,1114.897932156062
1999-05-14,1108.134496150235
1999-05-17,1087.902997329425
