Date,WORLD EX UK EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000101938028
1999-01-04,1009.0071168471703
1999-01-05,1013.1840480141916
1999-01-06,1028.1403709416873
1999-01-07,1029.7051563204031
1999-01-08,1029.4676955798948
1999-01-11,1031.0922123038986
1999-01-12,1015.0733600472498
1999-01-13,996.4971612966071
1999-01-14,994.4456744554475
1999-01-15,1000.4961627731146
1999-01-18,1004.6613074553883
1999-01-19,1004.6964502697723
1999-01-20,1006.9391955549315
1999-01-21,1003.6500650954816
1999-01-22,988.088246583928
1999-01-25,988.7968850962208
1999-01-26,993.6523397635186
1999-01-27,989.8175059521978
1999-01-28,987.701732704821
1999-01-29,993.8614172630705
1999-02-01,995.4958824460763
1999-02-02,996.8524118332009
1999-02-03,995.729791374146
1999-02-04,992.8729324078471
1999-02-05,990.3734554111999
1999-02-08,988.2505334432486
1999-02-09,975.4430877616524
1999-02-10,971.9971314593015
1999-02-11,981.3226534388554
1999-02-12,979.1320358368583
1999-02-15,977.1380811636726
1999-02-16,972.5832415398999
1999-02-17,963.9409403986406
1999-02-18,963.7534799384713
1999-02-19,962.0429819838399
1999-02-22,971.98213258053
1999-02-23,971.1748895775803
1999-02-24,966.2280006870695
1999-02-25,969.4086957817731
1999-02-26,967.1380419269565
1999-03-01,961.6817057700806
1999-03-02,954.3809182675717
1999-03-03,952.971204295774
1999-03-04,951.6119116454287
1999-03-05,974.3165712313292
1999-03-08,975.3312836795698
1999-03-09,977.8983912954325
1999-03-10,989.8751081818392
1999-03-11,993.1012088951289
1999-03-12,1000.904227596618
1999-03-15,1011.0341066233675
1999-03-16,1018.2411673258807
1999-03-17,1019.98757566622
1999-03-18,1015.5884832911407
1999-03-19,1025.0835870670212
1999-03-22,1021.0814463060452
1999-03-23,1009.2352839486209
1999-03-24,1004.1906109632687
1999-03-25,1017.4636694600649
1999-03-26,1008.906342691047
1999-03-29,1015.3024649657732
1999-03-30,1009.1381836635596
1999-03-31,1018.1074915773567
1999-04-01,1023.5273155503982
1999-04-02,1020.6265750480518
1999-04-05,1021.7165221814618
1999-04-06,1030.0960768602538
1999-04-07,1034.5361034319474
1999-04-08,1045.226937483589
1999-04-09,1047.1185622100722
1999-04-12,1049.8890458265478
1999-04-13,1056.9414668177424
1999-04-14,1069.0712548416298
1999-04-15,1072.7060195070435
1999-04-16,1086.4858226081487
1999-04-19,1093.6759669322992
1999-04-20,1084.3332010923586
1999-04-21,1083.9395615191704
1999-04-22,1088.2178644270643
1999-04-23,1093.4472411612526
1999-04-26,1094.5362160880734
1999-04-27,1102.9028067076422
1999-04-28,1106.5438396739942
1999-04-29,1109.0788442902597
1999-04-30,1108.188578834155
1999-05-03,1116.5600036133465
1999-05-04,1115.4041691697507
1999-05-05,1117.0858638984378
1999-05-06,1130.8792992753547
1999-05-07,1128.9873881017725
1999-05-10,1130.193564323553
1999-05-11,1126.4125758604232
1999-05-12,1124.6782681197058
1999-05-13,1122.5592820347906
1999-05-14,1113.6831459612372
1999-05-17,1096.8901794362005
1999-05-18,1097.1168479935989
1999-05-19,1093.29449630816
1999-05-20,1094.8438019289072
1999-05-21,1094.990103850393
1999-05-24,1094.0042715720172
1999-05-25,1084.6592479226995
1999-05-26,1082.5877833078407
1999-05-27,1073.6792213781496
1999-05-28,1075.5548816055268
1999-05-31,1076.1007240210483
1999-06-01,1082.9097571234418
1999-06-02,1081.4227296706615
1999-06-03,1081.0745917744273
1999-06-04,1085.762587292869
1999-06-07,1095.5894224420672
1999-06-08,1102.6681824378354
1999-06-09,1106.414006013099
1999-06-10,1111.4970549264551
1999-06-11,1117.469742454931
1999-06-14,1108.911611084993
1999-06-15,1110.2337234744532
1999-06-16,1112.1206733089896
1999-06-17,1119.6568614833225
