Date,WORLD ex EMU EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,998.1391213800033
1999-01-05,1003.1030180081353
1999-01-06,1021.3733594699694
1999-01-07,1026.1744292151247
1999-01-08,1028.6609974425248
1999-01-11,1033.6651170219504
1999-01-12,1017.2998285076715
1999-01-13,1001.0867547694746
1999-01-14,998.1928796954594
1999-01-15,1006.6613018463341
1999-01-18,1008.9267218170946
1999-01-19,1009.2190868958103
1999-01-20,1011.6361147509175
1999-01-21,1008.71851444693
1999-01-22,994.0151682347896
1999-01-25,996.0231814159355
1999-01-26,1002.2245029266841
1999-01-27,998.7118691152658
1999-01-28,996.6624620448499
1999-01-29,1005.0487548797431
1999-02-01,1009.8394849357094
1999-02-02,1014.7589076831105
1999-02-03,1013.1733843926563
1999-02-04,1010.9596573436274
1999-02-05,1006.3782947087736
1999-02-08,1004.6336659022777
1999-02-09,991.1075253802265
1999-02-10,988.4533263063454
1999-02-11,997.5380668642202
1999-02-12,994.6599174278808
1999-02-15,993.4026258910266
1999-02-16,990.1653206101516
1999-02-17,980.446358270711
1999-02-18,979.923716334997
1999-02-19,978.528691847791
1999-02-22,989.7748098406057
1999-02-23,988.2423395978442
1999-02-24,982.8009034590824
1999-02-25,985.8921321660418
1999-02-26,986.3809907609796
1999-03-01,982.64641632572
1999-03-02,974.8969745677927
1999-03-03,975.7516566934037
1999-03-04,975.323934902605
1999-03-05,998.7097231473912
1999-03-08,999.7557516583144
1999-03-09,1003.9353025686372
1999-03-10,1019.3885172420404
1999-03-11,1025.3644089343438
1999-03-12,1032.6478792250546
1999-03-15,1041.368479346919
1999-03-16,1050.0799484781228
1999-03-17,1049.3731585401451
1999-03-18,1044.5768651634091
1999-03-19,1056.061641601869
1999-03-22,1052.5187170212298
1999-03-23,1041.7471885739078
1999-03-24,1037.80315801075
1999-03-25,1050.7456859329643
1999-03-26,1044.666053286154
1999-03-29,1051.810227263478
1999-03-30,1043.2724272300884
1999-03-31,1051.381631805016
1999-04-01,1056.1177332031841
1999-04-02,1053.2106343878813
1999-04-05,1055.9835254672141
1999-04-06,1061.8724870621681
1999-04-07,1067.1797780662764
1999-04-08,1079.5346480131868
1999-04-09,1084.0211248891796
1999-04-12,1086.9120370607886
1999-04-13,1095.4173755184859
1999-04-14,1109.4129205788938
1999-04-15,1115.8015222499723
1999-04-16,1134.3538451284603
1999-04-19,1142.3496590639738
1999-04-20,1132.4314701274125
1999-04-21,1130.5202581015951
1999-04-22,1136.8309944276714
1999-04-23,1142.5942467660477
1999-04-26,1144.2156762092645
1999-04-27,1149.9551052256802
1999-04-28,1155.0678393607493
1999-04-29,1157.7248736068648
1999-04-30,1156.9505508480518
1999-05-03,1165.7770416928472
1999-05-04,1163.9565352261948
1999-05-05,1165.706261147715
1999-05-06,1180.2853886255907
1999-05-07,1176.15736071477
1999-05-10,1175.9021941572219
1999-05-11,1172.2115070716934
1999-05-12,1171.6477636391364
1999-05-13,1170.0295306603366
1999-05-14,1158.1536365069655
1999-05-17,1141.1928479999651
1999-05-18,1140.6356802668583
1999-05-19,1134.3303969467688
1999-05-20,1135.0569246996001
1999-05-21,1136.1041251583351
1999-05-24,1133.670272411299
1999-05-25,1122.5302732133694
1999-05-26,1123.7418325934264
1999-05-27,1116.0474158875543
1999-05-28,1119.5499682787956
1999-05-31,1120.4135080332896
1999-06-01,1128.6922916992276
1999-06-02,1131.6791703519502
1999-06-03,1130.5404803039828
1999-06-04,1137.1594348303568
1999-06-07,1147.5309210611765
1999-06-08,1151.7759762877552
1999-06-09,1155.1364203436826
1999-06-10,1161.2728892755447
1999-06-11,1168.7130079583508
1999-06-14,1161.874989048228
1999-06-15,1161.8353467369625
1999-06-16,1167.1448124743608
1999-06-17,1175.7572549801703
1999-06-18,1176.034512820718
1999-06-21,1177.662929450321
1999-06-22,1175.6563309291319
1999-06-23,1169.197667633223
1999-06-24,1161.7015513024521
1999-06-25,1163.647135303239
1999-06-28,1168.8447124507602
1999-06-29,1173.5472224468908
1999-06-30,1171.2281879682882
1999-07-01,1183.2293274107622
1999-07-02,1191.9253569120071
1999-07-05,1195.7558467854997
1999-07-06,1194.587956773621
1999-07-07,1188.968816296119
1999-07-08,1187.1018476619154
1999-07-09,1190.9746798254546
1999-07-12,1190.8933400562453
1999-07-13,1186.9242417445726
1999-07-14,1193.4089370728636
1999-07-15,1199.99863521958
1999-07-16,1194.4398125850855
1999-07-19,1197.8033336021915
1999-07-20,1193.057145309309
1999-07-21,1192.329836133948
1999-07-22,1183.8539153191255
1999-07-23,1177.3373448344
1999-07-26,1173.549787787269
1999-07-27,1175.9519788721195
1999-07-28,1180.4244744571474
1999-07-29,1181.9531471425614
1999-07-30,1188.4554446751788
1999-08-02,1185.9149014347477
1999-08-03,1186.9526977298608
1999-08-04,1184.881848064385
