Date,EAFE EQUAL WEIGHTED
1997-08-26,1061.61904453
1997-08-27,1053.01707681
1997-08-28,1041.4106186
1997-08-29,1028.15795703
1997-09-01,1018.97118113
1997-09-02,1022.06963026
1997-09-03,1030.3525285
1997-09-04,1027.21717358
1997-09-05,1042.44197101
1997-09-08,1051.80756474
1997-09-09,1060.53383605
1997-09-10,1054.34015223
1997-09-11,1038.98988217
1997-09-12,1038.45467597
1997-09-15,1044.0210478
1997-09-16,1039.76797511
1997-09-17,1037.65093877
1997-09-18,1036.47697737
1997-09-19,1037.70129451
1997-09-22,1033.24324438
1997-09-23,1038.71358061
1997-09-24,1052.27031098
1997-09-25,1049.68535889
1997-09-26,1044.49158982
1997-09-29,1043.67327803
1997-09-30,1047.1594693
1997-10-01,1042.69657451
1997-10-02,1039.83847574
1997-10-03,1041.63972183
1997-10-06,1041.43385485
1997-10-07,1042.31073675
1997-10-08,1047.35477814
1997-10-09,1039.08612671
1997-10-10,1039.87253983
1997-10-13,1039.2921214
1997-10-14,1038.4006847
1997-10-15,1037.14161448
1997-10-16,1044.97312558
1997-10-17,1030.53785468
1997-10-20,1019.14366125
1997-10-21,1021.08602031
1997-10-22,1019.33338035
1997-10-23,991.19353383
1997-10-24,993.35969879
1997-10-27,975.17286173
1997-10-28,938.93607287
1997-10-29,972.63587058
1997-10-30,959.6555207
1997-10-31,970.63746149
1997-11-03,986.27348719
1997-11-04,983.13717302
1997-11-05,980.84707801
1997-11-06,977.84970832
1997-11-07,957.4852172
1997-11-10,950.68843338
1997-11-11,950.98035574
1997-11-12,932.94569338
1997-11-13,930.14884662
1997-11-14,923.23509082
1997-11-17,947.98344025
1997-11-18,949.27981199
1997-11-19,924.24125505
1997-11-20,929.25841432
1997-11-21,942.85971307
1997-11-24,935.47635145
1997-11-25,909.99365584
1997-11-26,909.26019463
1997-11-27,918.07566453
1997-11-28,919.11392398
1997-12-01,925.77771189
1997-12-02,930.54211184
1997-12-03,927.00757576
1997-12-04,924.23534609
1997-12-05,919.57019198
1997-12-08,921.71958571
1997-12-09,924.49593473
1997-12-10,920.39643901
1997-12-11,896.83292717
1997-12-12,890.06736911
1997-12-15,882.83206475
1997-12-16,880.20667301
1997-12-17,901.19654784
1997-12-18,896.29034089
1997-12-19,871.88573305
1997-12-22,854.95633413
1997-12-23,858.62178439
1997-12-24,858.15632219
1997-12-25,858.23891284
1997-12-26,858.76139866
1997-12-29,864.76038307
1997-12-30,875.69872704
1997-12-31,876.09585187
1998-01-01,876.09585187
1998-01-02,871.83141893
1998-01-05,865.02845719
1998-01-06,853.3891267
1998-01-07,850.61657397
1998-01-08,840.64822875
1998-01-09,831.53719383
1998-01-12,806.52427738
1998-01-13,819.94040368
1998-01-14,836.41229462
1998-01-15,835.70322421
1998-01-16,860.97217222
1998-01-19,882.00841772
1998-01-20,881.59322174
1998-01-21,890.54394952
1998-01-22,891.07684712
1998-01-23,901.54534526
1998-01-26,920.90541617
1998-01-27,930.69185507
1998-01-28,939.73637254
1998-01-29,932.51863903
1998-01-30,925.58530725
1998-02-02,937.25851092
1998-02-03,960.05474396
1998-02-04,965.89103255
1998-02-05,987.38711505
1998-02-06,997.59460736
1998-02-09,999.40099454
1998-02-10,1015.47155462
1998-02-11,1016.57301985
1998-02-12,1005.27319777
1998-02-13,986.62355734
1998-02-16,973.44269574
1998-02-17,981.78633557
1998-02-18,986.48048017
1998-02-19,989.59310427
1998-02-20,986.54870636
1998-02-23,988.28865233
1998-02-24,987.4811767
1998-02-25,988.71811787
1998-02-26,1002.98207721
1998-02-27,1021.36802983
1998-03-02,1040.59817712
1998-03-03,1034.08280094
1998-03-04,1021.16063753
1998-03-05,1002.61074139
1998-03-06,1012.38616813
1998-03-09,1010.78365536
1998-03-10,1019.75136059
1998-03-11,1015.02644984
1998-03-12,1015.40035911
1998-03-13,1038.80976551
1998-03-16,1031.76164617
1998-03-17,1041.06711468
1998-03-18,1033.78753246
1998-03-19,1044.34488096
1998-03-20,1047.48827801
1998-03-23,1054.08395963
1998-03-24,1052.5905861
1998-03-25,1066.01545896
1998-03-26,1068.72768595
1998-03-27,1065.60194307
1998-03-30,1044.45194933
1998-03-31,1044.18709012
1998-04-01,1035.94596035
1998-04-02,1022.07912312
1998-04-03,1018.83014132
1998-04-06,1029.46191129
1998-04-07,1035.4544436
1998-04-08,1045.61153033
1998-04-09,1060.73305474
1998-04-10,1059.27463122
1998-04-13,1055.38338312
1998-04-14,1061.9766787
1998-04-15,1064.16487204
1998-04-16,1043.66815686
1998-04-17,1040.3978021
1998-04-20,1044.44244187
1998-04-21,1050.39840791
1998-04-22,1048.21820368
1998-04-23,1043.7809754
1998-04-24,1042.65326234
1998-04-27,1016.85360425
1998-04-28,1017.47071719
1998-04-29,1017.7975701
1998-04-30,1031.81531187
1998-05-01,1036.11772061
1998-05-04,1044.14830459
1998-05-05,1041.93291852
1998-05-06,1030.212958
1998-05-07,1021.51081145
1998-05-08,1024.59038908
1998-05-11,1032.61236709
1998-05-12,1023.73986759
1998-05-13,1018.04189162
1998-05-14,1018.16794428
1998-05-15,1018.29849195
1998-05-18,1001.59685331
1998-05-19,1008.8938582
1998-05-20,1022.49259184
1998-05-21,1037.18732735
1998-05-22,1036.52081907
1998-05-25,1032.69356052
1998-05-26,1031.49740398
1998-05-27,1011.01605262
1998-05-28,1009.77629605
1998-05-29,1007.06623834
1998-06-01,992.26299537
1998-06-02,999.39527606
1998-06-03,1002.77119859
1998-06-04,999.45273236
1998-06-05,994.38566108
1998-06-08,992.0290559
1998-06-09,992.95988852
1998-06-10,974.03653935
1998-06-11,959.98685144
1998-06-12,947.78698472
1998-06-15,923.51900937
1998-06-16,928.13411777
1998-06-17,958.38321006
1998-06-18,975.10246827
1998-06-19,981.1734647
1998-06-22,961.51216427
1998-06-23,953.77291629
1998-06-24,951.70088088
1998-06-25,955.34436147
1998-06-26,946.75526302
1998-06-29,953.09543503
1998-06-30,972.29147996
1998-07-01,990.79540582
1998-07-02,989.73887456
1998-07-03,995.91276229
1998-07-06,995.66664107
1998-07-07,1001.38603135
1998-07-08,997.27291158
1998-07-09,983.48759375
1998-07-10,972.83836879
1998-07-13,979.70771571
1998-07-14,992.89462758
1998-07-15,996.95423982
1998-07-16,1003.60679264
1998-07-17,1008.07007663
1998-07-20,1012.99936832
1998-07-21,1003.41233431
1998-07-22,985.4948614
1998-07-23,977.27929458
1998-07-24,981.79304454
1998-07-27,962.08389031
1998-07-28,964.80863177
1998-07-29,955.58408101
1998-07-30,961.45687792
1998-07-31,960.82077508
