Date,WORLD EQUAL WEIGHTED
1994-06-30,715.77490896
1994-07-29,737.2929108
1994-08-31,762.04984458
1994-09-30,746.48251269
1994-10-31,758.47465251
1994-11-30,719.57476025
1994-12-30,723.32998313
1995-01-31,705.18086394
1995-02-28,718.58372063
1995-03-31,744.21813403
1995-04-28,766.82081554
1995-05-31,776.5398101
1995-06-30,773.82596591
1995-07-31,814.27675909
1995-08-31,796.9607542
1995-09-29,806.78344933
1995-10-31,782.98197712
1995-11-30,803.01324874
1995-12-29,826.8639916
1996-01-31,849.05012996
1996-02-29,861.8126079
1996-03-29,879.95912759
1996-04-30,912.89810011
1996-05-31,907.67837794
1996-06-28,904.83100211
1996-07-31,871.12267086
1996-08-30,885.815798
1996-09-30,907.88643955
1996-10-31,909.92596699
1996-11-29,946.67586552
1996-12-31,935.90379517
1997-01-01,935.90305196
1997-01-02,929.67079862
1997-01-03,932.63620982
1997-01-06,935.86164857
1997-01-07,935.76829715
1997-01-08,933.04493998
1997-01-09,930.73542974
1997-01-10,925.27419179
1997-01-13,934.01940345
1997-01-14,937.80248839
1997-01-15,939.52738928
1997-01-16,944.16233802
1997-01-17,944.36026076
1997-01-20,938.17151839
1997-01-21,934.75870065
1997-01-22,937.6176426
1997-01-23,934.11097039
1997-01-24,929.15119924
1997-01-27,922.20919085
1997-01-28,921.65572724
1997-01-29,924.39640401
1997-01-30,926.08395408
1997-01-31,934.4518951
1997-02-03,933.34539902
1997-02-04,934.62670917
1997-02-05,931.22816334
1997-02-06,930.5238378
1997-02-07,929.82566364
1997-02-10,935.9586906
1997-02-11,934.50669977
1997-02-12,939.08842991
1997-02-13,943.24876505
1997-02-14,945.29733869
1997-02-17,943.71871674
1997-02-18,943.64155027
1997-02-19,943.92068611
1997-02-20,947.36935381
1997-02-21,949.55319844
1997-02-24,955.01073457
1997-02-25,958.71856876
1997-02-26,952.46196081
1997-02-27,950.2736687
1997-02-28,946.02273542
1997-03-03,943.39711101
1997-03-04,942.94556803
1997-03-05,944.77236356
1997-03-06,943.68153201
1997-03-07,946.80703009
1997-03-10,952.0066339
1997-03-11,954.07512486
1997-03-12,947.10476329
1997-03-13,938.22698254
1997-03-14,940.51914461
1997-03-17,937.41849548
1997-03-18,937.03806973
1997-03-19,936.69530755
1997-03-20,927.95641724
1997-03-21,933.77825093
1997-03-24,931.06199373
1997-03-25,934.89521584
1997-03-26,938.35624196
1997-03-27,935.20695924
1997-03-28,934.78926509
1997-03-31,929.1756755
1997-04-01,920.21690686
1997-04-02,918.75974574
1997-04-03,914.52288712
1997-04-04,912.15639868
1997-04-07,908.2060866
1997-04-08,911.08284197
1997-04-09,907.65528719
1997-04-10,904.28654618
1997-04-11,897.96445238
1997-04-14,893.74308708
1997-04-15,900.41686987
1997-04-16,906.12129646
1997-04-17,910.06431329
1997-04-18,914.57826027
1997-04-21,918.64151821
1997-04-22,919.68009804
1997-04-23,923.36453231
1997-04-24,921.06532946
1997-04-25,915.10031033
1997-04-28,914.92617366
1997-04-29,922.39067822
1997-04-30,930.73923806
1997-05-01,935.97504196
1997-05-02,942.74563311
1997-05-05,949.45512776
1997-05-06,961.01796222
1997-05-07,959.05946442
1997-05-08,962.90778144
1997-05-09,969.34436278
