Date,EUROPE ex UK EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0003242792855
1999-01-04,1039.3275046059828
1999-01-05,1042.7113429599842
1999-01-06,1050.8206506682639
1999-01-07,1036.016743112836
1999-01-08,1029.9227502555975
1999-01-11,1021.1240062346416
1999-01-12,1008.307349364018
1999-01-13,983.9487714506075
1999-01-14,985.4111026640343
1999-01-15,980.5489464778999
1999-01-18,994.5760319004653
1999-01-19,992.9359040345989
1999-01-20,992.7821352771513
1999-01-21,987.3504265063019
1999-01-22,970.8755442859723
1999-01-25,969.31552624711
1999-01-26,971.079969779119
1999-01-27,972.411442059793
1999-01-28,973.426823572601
1999-01-29,973.4381677486742
1999-02-01,973.8723939523699
1999-02-02,974.2863873102815
1999-02-03,971.31263013654
1999-02-04,967.1872482463971
1999-02-05,971.5377789291927
1999-02-08,967.0367909841867
1999-02-09,959.1912952467654
1999-02-10,951.7734318709468
1999-02-11,958.2287838202991
1999-02-12,961.7465544511069
1999-02-15,957.7359497095404
1999-02-16,955.0140708975398
1999-02-17,952.1419417104001
1999-02-18,950.684901079857
1999-02-19,945.408765387226
1999-02-22,946.4500017402787
1999-02-23,947.4734989924227
1999-02-24,948.0089220007692
1999-02-25,950.2217142668769
1999-02-26,940.789693595352
1999-03-01,932.0128590279893
1999-03-02,933.0110118568517
1999-03-03,928.6466718065583
1999-03-04,923.8008110299833
1999-03-05,940.7105396692884
1999-03-08,940.5194910703099
1999-03-09,938.6834767210214
1999-03-10,940.042620394814
1999-03-11,937.9552846054252
1999-03-12,950.1218301223553
1999-03-15,951.9565426515845
1999-03-16,950.873229887242
1999-03-17,958.5704921656484
1999-03-18,956.0231348812745
1999-03-19,958.8806201875216
1999-03-22,952.0170028467942
1999-03-23,941.0927067665739
1999-03-24,934.7226652897482
1999-03-25,945.0601726688074
1999-03-26,930.0936281413082
1999-03-29,935.8135732934225
1999-03-30,938.7580145374832
1999-03-31,949.1327963591629
1999-04-01,950.7699781840427
1999-04-02,948.6674780507136
1999-04-05,942.9419016390276
1999-04-06,955.9079012469041
1999-04-07,961.5801777523078
1999-04-08,967.30131962402
1999-04-09,965.5968668550828
1999-04-12,967.6358370688887
1999-04-13,970.8464156530982
1999-04-14,975.8190544090329
1999-04-15,972.0027780673713
1999-04-16,972.6561647942825
1999-04-19,980.5835346751428
1999-04-20,970.0201281098804
1999-04-21,971.4156786178996
1999-04-22,973.9448193085282
1999-04-23,977.6338407976493
1999-04-26,978.301738321255
1999-04-27,994.9186546367505
1999-04-28,991.1790075639851
1999-04-29,990.331480538088
1999-04-30,992.7012219541776
1999-05-03,998.0422949890598
1999-05-04,1004.9816021716808
1999-05-05,1003.2799187870664
1999-05-06,1010.9476545940256
1999-05-07,1012.9526960626368
1999-05-10,1016.6296739797268
1999-05-11,1012.4050656768406
1999-05-12,1002.4267653411916
1999-05-13,1001.1221219890206
1999-05-14,999.3074919657712
1999-05-17,983.4233644277467
1999-05-18,987.4692808031735
1999-05-19,995.5389765683833
1999-05-20,1001.3926353530709
1999-05-21,994.2161896749815
1999-05-24,995.4974269911788
1999-05-25,990.7454711656388
1999-05-26,977.161042746169
1999-05-27,967.6868687157689
1999-05-28,965.0534898925305
1999-05-31,965.6855268530821
1999-06-01,969.5463986035096
1999-06-02,959.6720695943749
1999-06-03,963.8651357822904
1999-06-04,963.5343688557296
1999-06-07,969.2931214344293
1999-06-08,983.8454470449958
1999-06-09,987.3350952559231
1999-06-10,987.4262214037461
1999-06-11,993.2572320889445
1999-06-14,982.2547294297573
1999-06-15,983.2454772992792
1999-06-16,976.7596950312259
1999-06-17,979.3136688514888
1999-06-18,990.3119445419218
1999-06-21,990.772565603912
1999-06-22,985.8393462154033
1999-06-23,979.4498541955124
1999-06-24,979.0265821562033
1999-06-25,986.8213768802974
1999-06-28,980.9603211663444
1999-06-29,981.2811270894766
1999-06-30,976.8563640276117
1999-07-01,981.3892528981158
1999-07-02,981.1476287675482
1999-07-05,994.6507419295078
1999-07-06,992.365773124457
1999-07-07,987.5622837343568
1999-07-08,982.5920138640777
1999-07-09,987.9610197310454
1999-07-12,985.2520064015072
1999-07-13,978.9216342812408
1999-07-14,984.4765580365406
1999-07-15,997.0192458928219
1999-07-16,991.5685141003247
1999-07-19,988.7902323972271
1999-07-20,999.786875910813
1999-07-21,998.0701972780103
1999-07-22,990.8844150744472
1999-07-23,982.974482676619
1999-07-26,991.6386474792324
1999-07-27,989.8238373698982
1999-07-28,989.2494701256708
1999-07-29,984.7690712084643
1999-07-30,996.6592834259445
1999-08-02,987.0460872232662
1999-08-03,987.5780155986904
1999-08-04,996.3904872500161
1999-08-05,988.6910471396515
1999-08-06,987.453700153207
1999-08-09,988.2153091400659
1999-08-10,983.7715043126163
1999-08-11,984.1925880479763
1999-08-12,997.3655967304824
1999-08-13,999.9631598123212
1999-08-16,1003.9711873955727
1999-08-17,1001.3215026555678
1999-08-18,1000.5599009240372
1999-08-19,1002.4906551672437
1999-08-20,1013.1490303713854
1999-08-23,1013.58439761209
1999-08-24,1007.8780066149333
