Date,MEXICO IMI HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,983.0885193743876
1999-01-05,967.2756666939782
1999-01-06,964.7383343030859
1999-01-07,954.884686859854
1999-01-08,947.4097529490831
1999-01-11,926.5993954537239
1999-01-12,876.5017729750554
1999-01-13,802.1914488167623
1999-01-14,802.1823762054564
1999-01-15,884.8369295390471
1999-01-18,893.6064894422153
1999-01-19,883.0015728211272
1999-01-20,919.0389115832648
1999-01-21,907.0674202323487
1999-01-22,899.818277715904
1999-01-25,899.7314166646203
1999-01-26,917.8448133099109
1999-01-27,937.817958056254
1999-01-28,973.8988150656287
1999-01-29,979.0337930399199
1999-02-01,1000.6884466295619
1999-02-02,998.8996344816834
1999-02-03,1000.8553285836298
1999-02-04,1006.8652865836368
1999-02-05,1008.6154869824661
1999-02-08,1009.4033743131884
1999-02-09,998.2939834997911
1999-02-10,999.3890086708712
1999-02-11,1038.3024567243622
1999-02-12,1034.9349711814666
1999-02-15,1034.9583448511291
1999-02-16,1044.7350924220516
1999-02-17,1033.8197386655643
1999-02-18,1035.7620624995263
1999-02-19,1046.573095770557
1999-02-22,1061.4863374064673
1999-02-23,1060.3011416457891
1999-02-24,1073.2164817899356
1999-02-25,1078.5037555364966
1999-02-26,1079.4249060939603
1999-03-01,1072.2376951516387
1999-03-02,1065.5134757386581
1999-03-03,1051.6775338545015
1999-03-04,1071.2032449051392
1999-03-05,1093.2497177975504
1999-03-08,1129.0420563800353
1999-03-09,1155.4486676240958
1999-03-10,1202.44714463377
1999-03-11,1199.4295098035261
1999-03-12,1202.198639742209
1999-03-15,1226.039299746402
1999-03-16,1253.7264508649134
1999-03-17,1246.7800182672854
1999-03-18,1252.6511293203375
1999-03-19,1222.9193787368151
1999-03-22,1210.2004511690159
1999-03-23,1190.9193973542626
1999-03-24,1233.6564269692167
1999-03-25,1244.0237791469224
1999-03-26,1245.4553254559594
1999-03-29,1283.0462244759772
1999-03-30,1293.8815743833843
1999-03-31,1312.2360969598108
1999-04-01,1310.7211308529093
1999-04-02,1313.8927864036316
1999-04-05,1374.8495128236575
1999-04-06,1380.7898245657757
1999-04-07,1376.8979269147442
1999-04-08,1388.9531340338074
1999-04-09,1381.370374249805
1999-04-12,1409.6090689777827
1999-04-13,1399.3580961973573
1999-04-14,1397.4683112549853
1999-04-15,1448.8680343227938
1999-04-16,1466.6247022026294
1999-04-19,1465.806962368553
1999-04-20,1455.6452897404467
1999-04-21,1458.2237502262608
1999-04-22,1503.109656441636
1999-04-23,1506.223824388636
1999-04-26,1474.793512864084
1999-04-27,1462.4300448934084
1999-04-28,1487.2838027170417
1999-04-29,1495.958943225912
1999-04-30,1475.7094570412685
1999-05-03,1507.007696356488
1999-05-04,1478.3744948572246
1999-05-05,1478.3744948572246
1999-05-06,1525.1184887079037
1999-05-07,1570.1132549684974
1999-05-10,1584.8425039958863
1999-05-11,1575.095839932612
1999-05-12,1533.2407091494097
1999-05-13,1573.6866643560209
1999-05-14,1535.5743531002877
1999-05-17,1527.1635155360366
1999-05-18,1535.5516230577678
1999-05-19,1504.2017035311483
1999-05-20,1513.543202612334
1999-05-21,1459.1787128402036
1999-05-24,1429.7794112968593
1999-05-25,1379.0812557954891
1999-05-26,1435.8121552927453
1999-05-27,1363.4160350950342
1999-05-28,1369.4804473460838
1999-05-31,1377.631822729952
1999-06-01,1366.5461114711486
1999-06-02,1363.5326141872629
1999-06-03,1359.136071070956
1999-06-04,1378.2628303698627
1999-06-07,1401.7136028248126
1999-06-08,1387.4269613269757
1999-06-09,1372.9239871946108
1999-06-10,1359.793521472574
1999-06-11,1328.643694600664
1999-06-14,1307.2674577266514
1999-06-15,1345.2541580174945
1999-06-16,1428.2781084299888
1999-06-17,1446.1294396951698
1999-06-18,1459.0856231056212
1999-06-21,1487.352529731948
1999-06-22,1490.7498308740296
1999-06-23,1453.884777724739
1999-06-24,1423.8115735176493
1999-06-25,1409.1521570055902
1999-06-28,1437.5978861929198
1999-06-29,1459.4745391957044
1999-06-30,1514.6252377379158
1999-07-01,1528.5853616428712
1999-07-02,1545.5119735974329
1999-07-05,1567.5831711727171
1999-07-06,1564.5848465037732
1999-07-07,1560.0174267682178
1999-07-08,1546.6699138253473
1999-07-09,1545.2684157165784
1999-07-12,1506.916836900513
1999-07-13,1532.5908340528363
1999-07-14,1547.5561837645491
1999-07-15,1550.3899266859996
1999-07-16,1547.9494811320833
1999-07-19,1573.07505957684
1999-07-20,1541.9496400588364
1999-07-21,1552.532494886884
1999-07-22,1518.6958228360709
1999-07-23,1465.4647326577772
1999-07-26,1418.9443484955345
1999-07-27,1418.5621855573668
1999-07-28,1432.4860327968086
1999-07-29,1378.5550629403124
1999-07-30,1366.990705558847
1999-08-02,1335.277678465923
1999-08-03,1344.8671371578275
