Date,KOREA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1032.0596201363537
2010-05-28,1068.8259272836556
2010-05-31,1084.9907661862044
2010-06-01,1080.0421930608793
2010-06-02,1080.0421930608793
2010-06-03,1109.5543922198144
2010-06-04,1107.1981289223966
2010-06-07,1061.5152476624557
2010-06-08,1067.8055772521336
2010-06-09,1057.849278044719
2010-06-10,1057.0137165424453
2010-06-11,1072.4711930475198
2010-06-14,1102.8686707772774
2010-06-15,1093.3702014345915
2010-06-16,1110.871086747227
2010-06-17,1109.8764315237179
2010-06-18,1126.589711482571
2010-06-21,1169.1747460434538
2010-06-22,1149.4539818543851
2010-06-23,1143.9327958947774
2010-06-24,1146.4378767266533
2010-06-25,1115.3306322168335
2010-06-28,1131.2197651958172
2010-06-29,1109.1284337343232
2010-06-30,1100.4725644434313
2010-07-01,1091.0311516868464
2010-07-02,1095.6575839785887
2010-07-05,1108.9153762093063
2010-07-06,1098.9110654812732
2010-07-07,1092.8815203047552
2010-07-08,1117.6885446435047
2010-07-09,1134.4902241229863
2010-07-12,1128.7465176788353
2010-07-13,1126.169293163715
2010-07-14,1146.7895425600695
2010-07-15,1144.871786641495
2010-07-16,1144.1705777681918
2010-07-19,1125.9201570794796
2010-07-20,1141.439344101952
2010-07-21,1144.6381936093271
2010-07-22,1140.9618523914476
2010-07-23,1158.9620542211244
2010-07-26,1171.8675140270325
2010-07-27,1180.2582230168366
2010-07-28,1178.0378822568232
2010-07-29,1180.2696460321756
2010-07-30,1180.8854301624278
2010-08-02,1191.4243000203828
2010-08-03,1192.46966150123
2010-08-04,1197.4016444066028
2010-08-05,1201.355880874271
2010-08-06,1220.4039208778513
2010-08-09,1232.826175525027
2010-08-10,1218.418950745989
2010-08-11,1196.5186799253897
2010-08-12,1169.9507078459753
2010-08-13,1185.9194352403936
2010-08-16,1180.0839489890298
2010-08-17,1197.6857886050461
2010-08-18,1206.6349733451775
2010-08-19,1214.094125413893
2010-08-20,1205.9348022000004
2010-08-23,1202.5736052409543
2010-08-24,1192.9881741346853
2010-08-25,1176.0792931861986
2010-08-26,1183.6322586745355
2010-08-27,1179.0377571405652
2010-08-30,1197.947022888519
2010-08-31,1179.3339247312283
2010-09-01,1208.7715806812676
2010-09-02,1220.5667314460704
2010-09-03,1237.64419159836
2010-09-06,1241.138065564856
2010-09-07,1223.5752105366394
2010-09-08,1223.8829849372407
2010-09-09,1237.4498922796306
2010-09-10,1252.6714887957098
2010-09-13,1270.922558913609
2010-09-14,1277.0954118310092
2010-09-15,1289.642620365234
2010-09-16,1290.933384071892
2010-09-17,1298.9612308258957
2010-09-20,1295.4046952389754
2010-09-21,1295.4046952389754
2010-09-22,1295.4046952389754
2010-09-23,1295.4046952389754
2010-09-24,1320.4902516800332
2010-09-27,1347.2382273696996
2010-09-28,1348.2313307256502
2010-09-29,1352.9990107391218
2010-09-30,1357.6087413147836
2010-10-01,1371.6690607227736
2010-10-04,1369.3726881697191
2010-10-05,1372.7063452886005
2010-10-06,1405.1573198594376
2010-10-07,1423.8023199150723
2010-10-08,1422.0864100282186
2010-10-11,1418.2766692368477
2010-10-12,1382.0740484142318
2010-10-13,1409.1906234501405
2010-10-14,1431.1321513477478
2010-10-15,1426.1531853830209
2010-10-18,1392.532324087472
2010-10-19,1369.0216557853028
2010-10-20,1382.9969064558109
2010-10-21,1387.8039251593564
2010-10-22,1414.1458112903977
2010-10-25,1435.02516969922
2010-10-26,1443.0382811614247
2010-10-27,1422.2707960290363
2010-10-28,1432.734129340817
2010-10-29,1420.2946824188123
