Date,TAIWAN IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1012.3177531121357
2010-05-28,1028.7788909699334
2010-05-31,1038.5613237687505
2010-06-01,1023.2564157482421
2010-06-02,1007.8893911301985
2010-06-03,1028.581544394866
2010-06-04,1025.2086682837041
2010-06-07,995.1730960434044
2010-06-08,996.1327799280416
2010-06-09,988.4107318364117
2010-06-10,999.5666016614942
2010-06-11,1014.4227417086934
2010-06-14,1026.5337482614564
2010-06-15,1033.5844676264494
2010-06-16,1033.5844676264494
2010-06-17,1044.4811359861053
2010-06-18,1049.637095159323
2010-06-21,1080.5884539217864
2010-06-22,1073.8529073377003
2010-06-23,1062.588536053347
2010-06-24,1066.1999272731089
2010-06-25,1051.2010645628404
2010-06-28,1046.4629949216287
2010-06-29,1039.2910063392658
2010-06-30,1030.3780079887051
2010-07-01,1019.4719756042465
2010-07-02,1027.0145195960386
2010-07-05,1047.1873993051559
2010-07-06,1066.0923704678485
2010-07-07,1071.6497704899498
2010-07-08,1095.8076210245224
2010-07-09,1104.9833149171611
2010-07-12,1104.6335576401991
2010-07-13,1095.9171708217764
2010-07-14,1113.5169809901736
2010-07-15,1114.880330609185
2010-07-16,1108.1090873129644
2010-07-19,1112.0930504204734
2010-07-20,1124.9365524469604
2010-07-21,1118.6060413212897
2010-07-22,1106.515092215933
2010-07-23,1117.2325716907756
2010-07-26,1127.5322007925208
2010-07-27,1132.4883326766023
2010-07-28,1141.049675247759
2010-07-29,1152.2069561473375
2010-07-30,1147.970461113852
2010-08-02,1175.8559902490013
2010-08-03,1171.9026560475766
2010-08-04,1169.864222071714
2010-08-05,1162.3718606654934
2010-08-06,1159.5255888049526
2010-08-09,1162.1720571335195
2010-08-10,1152.1667167494302
2010-08-11,1141.3854373717777
2010-08-12,1130.2596349346077
2010-08-13,1144.1365943139026
2010-08-16,1153.0504580103566
2010-08-17,1150.405513248764
2010-08-18,1156.1006296757678
2010-08-19,1164.9270596565768
2010-08-20,1162.6081082001335
2010-08-23,1172.7015575786936
2010-08-24,1167.8966245452461
2010-08-25,1141.2362476442418
2010-08-26,1135.4557733298682
2010-08-27,1137.9120492708203
2010-08-30,1134.8543028617783
2010-08-31,1113.6315353604746
2010-09-01,1121.2640868830867
2010-09-02,1122.1038233728502
2010-09-03,1143.3654752682614
2010-09-06,1157.1374537631264
2010-09-07,1157.9717139410145
2010-09-08,1153.8208644872736
2010-09-09,1161.9423618443252
2010-09-10,1170.795404375951
2010-09-13,1204.1029145728992
2010-09-14,1216.7557417898527
2010-09-15,1217.0772462876132
2010-09-16,1212.2116953031157
2010-09-17,1221.8971830469454
2010-09-20,1220.092413319055
2010-09-21,1217.251929349615
2010-09-22,1217.251929349615
2010-09-23,1222.8403440343352
2010-09-24,1216.6296956036713
2010-09-27,1217.208532848584
2010-09-28,1219.6773497573786
2010-09-29,1236.5513783824804
2010-09-30,1238.7148256330167
2010-10-01,1246.8399374891494
2010-10-04,1245.1143230400187
2010-10-05,1232.814084840337
2010-10-06,1250.1697296888738
2010-10-07,1256.3812505151702
2010-10-08,1241.4000753754087
2010-10-11,1243.243956627179
2010-10-12,1224.4657673247277
2010-10-13,1222.3555748374308
2010-10-14,1246.8155928710692
2010-10-15,1244.1653868957412
2010-10-18,1211.8852307393245
2010-10-19,1213.0605355071907
2010-10-20,1231.5202871316665
2010-10-21,1240.1099836293577
2010-10-22,1246.299472111096
2010-10-25,1271.485374866401
2010-10-26,1270.0745280392237
2010-10-27,1260.090688891037
2010-10-28,1281.3719971264393
2010-10-29,1277.7697732795907
2010-11-01,1306.9285991982113
2010-11-02,1300.0622980380624
2010-11-03,1298.255274965679
2010-11-04,1311.5532400375948
2010-11-05,1322.5288939133334
2010-11-08,1316.9204127534642
2010-11-09,1321.0598251053138
2010-11-10,1328.2298036659818
2010-11-11,1328.117506410251
2010-11-12,1312.7923294137752
2010-11-15,1310.7213611243465
2010-11-16,1322.9375341840619
