Date,ACWI SMALL CAP VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1013.4837796188793
1995-01-31,995.1229537229818
1995-02-28,998.0131238339885
1995-03-31,1023.4666020526826
1995-04-28,1042.3446676014905
1995-05-31,1043.3002365466293
1995-06-30,1047.2800025386732
1995-07-31,1098.3638397615612
1995-08-31,1088.4628315810332
1995-09-29,1095.0748778122083
1995-10-31,1056.569682904047
1995-11-30,1076.0337133466878
1995-12-29,1109.029500295429
1996-01-31,1127.9886314659657
1996-02-29,1148.9157888243924
1996-03-29,1173.0226356848577
1996-04-30,1230.3028846099442
1996-05-31,1239.5771639474037
1996-06-28,1229.3342187965297
1996-07-31,1170.8982039835546
1996-08-30,1191.1957952992625
1996-09-30,1203.2873551714283
1996-10-31,1194.5613624896155
1996-11-29,1221.1090367496997
1996-12-31,1209.4592657058447
1997-01-01,1209.4985799258043
1997-01-02,1206.3179914385382
1997-01-03,1208.6904057471206
1997-01-06,1212.0412543184063
1997-01-07,1216.2784077546344
1997-01-08,1213.5745432125227
1997-01-09,1211.2845273252763
1997-01-10,1206.907687179461
1997-01-13,1212.7360732454536
1997-01-14,1216.85468393132
1997-01-15,1220.7480966845562
1997-01-16,1225.7704268481646
1997-01-17,1225.764735225776
1997-01-20,1224.5872716342026
1997-01-21,1221.3085605318513
1997-01-22,1220.8749506845195
1997-01-23,1217.8558713741136
1997-01-24,1215.4654558999323
1997-01-27,1209.2190955927517
1997-01-28,1204.8506438912514
1997-01-29,1204.6655283568848
1997-01-30,1208.1611352040416
1997-01-31,1213.8112707769758
1997-02-03,1215.2807144935057
1997-02-04,1216.293183231603
1997-02-05,1211.9217973081873
1997-02-06,1211.6104259316337
1997-02-07,1207.6523652278347
1997-02-10,1213.8245120372562
1997-02-11,1211.2713609963732
1997-02-12,1211.531300160489
1997-02-13,1213.8284356160977
1997-02-14,1215.9329530848684
1997-02-17,1215.7640558980456
1997-02-18,1216.8530087562328
1997-02-19,1217.258443430517
