Date,USA SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1007.8859261724538
2001-06-04,1019.4468658519872
2001-06-05,1032.2206144445188
2001-06-06,1022.7468198513574
2001-06-07,1024.08442242189
2001-06-08,1019.0268986311108
2001-06-11,1017.1246757474927
2001-06-12,1019.0965271499954
2001-06-13,1019.4950080028456
2001-06-14,1007.2680595680943
2001-06-15,1003.8805078528883
2001-06-18,997.1996274355795
2001-06-19,994.569257404592
2001-06-20,1002.0008338641146
2001-06-21,1007.3823653092428
2001-06-22,990.8759924323049
2001-06-25,983.7403384087464
2001-06-26,998.8634704797893
2001-06-27,1007.6675147847609
2001-06-28,1016.8777895720424
2001-06-29,1043.2304077161175
2001-07-02,1025.4235771193503
2001-07-03,1023.5742769964886
2001-07-04,1023.5742769964886
2001-07-05,1021.5919267449679
2001-07-06,1012.4818996385922
2001-07-09,1014.6000179533179
2001-07-10,1009.4830263169755
2001-07-11,1007.5206669930133
2001-07-12,1022.9656867905845
2001-07-13,1026.483826909862
2001-07-16,1021.8796957878899
2001-07-17,1032.189707392243
2001-07-18,1028.4903085017356
2001-07-19,1036.0154619167179
2001-07-20,1036.1428779150904
2001-07-23,1027.4070764517262
2001-07-24,1013.5992110010468
2001-07-25,1021.3366354706044
2001-07-26,1032.8287420887966
2001-07-27,1031.3030342470122
2001-07-30,1034.5950367112036
2001-07-31,1032.1003546688198
2001-08-01,1037.7092426785523
2001-08-02,1039.659898662627
2001-08-03,1038.4592523349888
2001-08-06,1029.2663602922576
2001-08-07,1030.2053743025574
2001-08-08,1020.8163493564582
2001-08-09,1025.5201366728895
2001-08-10,1030.3417434274722
2001-08-13,1030.8676229717482
2001-08-14,1036.8007954600052
2001-08-15,1042.1250061420803
2001-08-16,1052.0109136513142
2001-08-17,1044.999554688185
2001-08-20,1051.171693707386
2001-08-21,1043.060282212828
2001-08-22,1050.5269023205256
2001-08-23,1043.1423641907081
2001-08-24,1049.4863928774296
2001-08-27,1042.1913064512
2001-08-28,1035.1076361355206
2001-08-29,1035.1134715185424
2001-08-30,1028.635684493393
2001-08-31,1027.8172743014509
2001-09-03,1027.8172743014509
2001-09-04,1031.3969129920827
2001-09-05,1030.2718027946014
2001-09-06,1020.215987214822
2001-09-07,1003.7254393662727
2001-09-10,992.6454383644565
2001-09-11,992.6454383644565
2001-09-12,992.6454383644565
2001-09-13,992.6454383644565
2001-09-14,992.6454383644565
2001-09-17,945.0478880764622
2001-09-18,935.9728890341565
2001-09-19,915.3772119310188
2001-09-20,881.5079686091774
2001-09-21,863.9479707655179
2001-09-24,888.7155561778569
2001-09-25,893.0413352707351
2001-09-26,886.7917682957224
2001-09-27,894.7629706915648
2001-09-28,923.4341086310777
2001-10-01,908.2401834039363
2001-10-02,913.3476062613191
2001-10-03,931.1646868652358
2001-10-04,937.173544575848
2001-10-05,932.572054280651
2001-10-08,925.9893754761819
2001-10-09,916.5438369205698
2001-10-10,939.8501743529849
2001-10-11,952.4214658594558
2001-10-12,949.75710102853
2001-10-15,954.724929625468
2001-10-16,962.7269493046299
2001-10-17,948.2081104558247
2001-10-18,940.3499746221701
2001-10-19,950.3235812475428
2001-10-22,961.1533062061231
2001-10-23,954.2022782371496
2001-10-24,952.4074909367811
2001-10-25,968.0541141824708
2001-10-26,972.9778049005806
2001-10-29,957.5863644610106
2001-10-30,949.3827044986045
2001-10-31,959.1268387690968
