Date,JAPAN SMALL CAP MINIMUM VOLATILITY (JPY)
2001-05-31,1000.0
2001-06-01,1003.5979145731407
2001-06-04,999.7167288828724
2001-06-05,990.162722267446
2001-06-06,990.8140645398931
2001-06-07,1001.5784450131483
2001-06-08,1005.1835627594282
2001-06-11,1001.8099464205868
2001-06-12,983.6472857774838
2001-06-13,987.1845213768987
2001-06-14,988.8386819114004
2001-06-15,970.6519177085905
2001-06-18,967.9372273907255
2001-06-19,968.4671687552776
2001-06-20,958.3499628095238
2001-06-21,962.2754341636934
2001-06-22,980.5712346366113
2001-06-25,992.6212006421026
2001-06-26,1005.178530456305
2001-06-27,999.4258965636822
2001-06-28,986.7403974367755
2001-06-29,997.6479689060662
2001-07-02,990.1880196334806
2001-07-03,990.8439119842225
2001-07-04,979.6502816130576
2001-07-05,974.3433739503579
2001-07-06,961.8729882497117
2001-07-09,946.3909702903386
2001-07-10,953.742233215981
2001-07-11,951.4031506265652
2001-07-12,966.3021109293664
2001-07-13,961.4746773828474
2001-07-16,956.3262790556424
2001-07-17,951.5475424919873
2001-07-18,944.4757274869792
2001-07-19,945.8707798638608
2001-07-20,948.9058648195576
2001-07-23,915.8132626576426
2001-07-24,923.3090787435606
2001-07-25,929.6844847088157
2001-07-26,935.7607494097798
2001-07-27,940.2881299511521
2001-07-30,915.3458627594752
2001-07-31,927.6832183740509
2001-08-01,937.3408098042454
2001-08-02,961.6857353221916
2001-08-03,955.8155173020864
2001-08-06,958.0151006970353
2001-08-07,964.0530286011519
2001-08-08,966.1625505279277
2001-08-09,951.4213771487041
2001-08-10,963.2124378705155
2001-08-13,950.2353633798141
2001-08-14,968.2854902515675
2001-08-15,983.4389409265541
2001-08-16,977.6374049429734
2001-08-17,978.96859410576
2001-08-20,963.6059734815489
2001-08-21,973.6916409849882
2001-08-22,983.9716506088506
2001-08-23,980.2389014079807
2001-08-24,980.2696694704348
2001-08-27,987.3688003077792
2001-08-28,980.1220623925399
2001-08-29,978.0423309468487
2001-08-30,965.3992513023325
2001-08-31,958.2292121462009
2001-09-03,936.4973697936897
2001-09-04,940.6366860739944
2001-09-05,914.7610670869591
2001-09-06,912.8098868145227
2001-09-07,908.3322555429637
2001-09-10,880.8172690582578
2001-09-11,891.0097833250163
2001-09-12,819.4080211246978
2001-09-13,834.1042712850337
2001-09-14,881.6943572809084
2001-09-17,842.5321469655366
2001-09-18,859.2050530168375
2001-09-19,875.0157808529334
2001-09-20,876.0334810974405
2001-09-21,867.0485352689163
2001-09-24,860.627320323746
2001-09-25,877.3858636750083
2001-09-26,870.7056316430655
2001-09-27,861.7903695415778
2001-09-28,877.9926300586143
