Date,AUSTRALIA SMALL CAP MIN VOLATILITY (AUD)
2001-05-31,1000.0
2001-06-01,1007.7919936914526
2001-06-04,1008.5253755844917
2001-06-05,1001.7344948692139
2001-06-06,1007.8235942731528
2001-06-07,1028.293611581835
2001-06-08,1035.4512350161108
2001-06-11,1033.3742003484886
2001-06-12,1030.7928146293152
2001-06-13,1045.4070316100924
2001-06-14,1048.8461611162713
2001-06-15,1051.152632910385
2001-06-18,1036.641170412764
2001-06-19,1030.9591809055469
2001-06-20,1031.6033848840775
2001-06-21,1039.371508013837
2001-06-22,1042.9991114269724
2001-06-25,1047.4829812780317
2001-06-26,1055.220890360762
2001-06-27,1054.125483980886
2001-06-28,1041.5934008988418
2001-06-29,1053.9583854236323
2001-07-02,1042.7333894115056
2001-07-03,1058.1027773561493
2001-07-04,1060.8968421299862
2001-07-05,1061.5093599451889
2001-07-06,1034.5126891233301
2001-07-09,1034.5324389431935
2001-07-10,1046.1609112578521
2001-07-11,1035.2781425979872
2001-07-12,1040.9457947643343
2001-07-13,1052.3830062035158
2001-07-16,1061.5800979048017
2001-07-17,1048.1003518925436
2001-07-18,1063.0872037788092
2001-07-19,1063.6650836130163
2001-07-20,1047.2578416122194
2001-07-23,1049.5951811956468
2001-07-24,1045.8496411931328
2001-07-25,1038.4473137858827
2001-07-26,1036.5905188068755
2001-07-27,1034.9200297940174
2001-07-30,1035.4370925723472
2001-07-31,1036.1382585905749
2001-08-01,1058.658635823823
2001-08-02,1074.9835304244561
2001-08-03,1071.4719954368293
2001-08-06,1082.947161513026
2001-08-07,1075.9395419605517
2001-08-08,1080.233408904867
2001-08-09,1076.1386727651452
2001-08-10,1077.9471321512683
2001-08-13,1087.9733938477734
2001-08-14,1080.478075673488
2001-08-15,1089.299362728365
2001-08-16,1082.9336087883041
2001-08-17,1096.8541223157692
2001-08-20,1082.6480332935007
2001-08-21,1086.32435725004
2001-08-22,1096.6698231716196
2001-08-23,1089.728524896676
2001-08-24,1091.1016236401706
2001-08-27,1100.1753766783831
2001-08-28,1103.9125706216369
2001-08-29,1107.4193525963299
2001-08-30,1112.4760686535917
2001-08-31,1095.273078968658
2001-09-03,1101.7357792343494
2001-09-04,1100.8850690621
2001-09-05,1083.8068148564346
2001-09-06,1085.272036318041
2001-09-07,1083.231863602486
2001-09-10,1064.0011332281829
2001-09-11,1081.785352449285
2001-09-12,1053.3989754033378
2001-09-13,1047.2323267205122
2001-09-14,1037.2729745356235
2001-09-17,987.8443534824075
2001-09-18,987.1244333119076
2001-09-19,992.4671753359918
2001-09-20,988.5196018372502
2001-09-21,956.5970185982427
2001-09-24,954.2750571666633
2001-09-25,970.2990800769735
2001-09-26,963.3122642807591
2001-09-27,960.8245960532962
2001-09-28,988.746545873426
2001-10-01,992.3195720837729
2001-10-02,1004.8176605290647
2001-10-03,1016.4940370726266
2001-10-04,1017.0796404227317
2001-10-05,1035.698048494112
2001-10-08,1037.929408172538
2001-10-09,1031.076864381206
2001-10-10,1036.63763510224
2001-10-11,1033.318876492498
2001-10-12,1034.5162084359301
2001-10-15,1056.6818994418306
2001-10-16,1061.386405150085
2001-10-17,1072.79681171354
2001-10-18,1058.121039992007
2001-10-19,1045.0743631262558
2001-10-22,1051.678421989568
2001-10-23,1054.3419937389297
2001-10-24,1056.652355988587
2001-10-25,1062.5669832037981
2001-10-26,1049.346776824447
2001-10-29,1053.3595858954357
2001-10-30,1053.914284066823
2001-10-31,1045.2631355288772
2001-11-01,1054.5238021515067
2001-11-02,1054.0722299974611
2001-11-05,1045.3873301358492
2001-11-06,1063.6103179417148
2001-11-07,1072.1366255013083
2001-11-08,1075.2575267334466
