Date,UK SMALL CAP MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,999.7538390792516
2001-06-04,1004.6631880219854
2001-06-05,1008.0473786467279
2001-06-06,1004.1623173900005
2001-06-07,1001.2412596990036
2001-06-08,995.5382329035549
2001-06-11,987.6916651504374
2001-06-12,986.5183381630588
2001-06-13,990.874395755916
2001-06-14,997.2053872206842
2001-06-15,990.9963051966657
2001-06-18,990.6527739499733
2001-06-19,986.8564436366213
2001-06-20,977.8890879260254
2001-06-21,987.313594359354
2001-06-22,978.7475061603634
2001-06-25,979.6044957087801
2001-06-26,971.3754661431957
2001-06-27,966.3618064671917
2001-06-28,958.3597959321443
2001-06-29,957.8756833351213
2001-07-02,962.5898772932879
2001-07-03,959.0749453376877
2001-07-04,959.9083402674738
2001-07-05,947.2188536811582
2001-07-06,939.558584162534
2001-07-09,937.9495614343236
2001-07-10,943.9130257952078
2001-07-11,941.2219147739022
2001-07-12,940.1359597582207
2001-07-13,939.344175436181
2001-07-16,937.8095012331428
2001-07-17,933.4652645163964
2001-07-18,941.1396801845176
2001-07-19,941.6129461767249
2001-07-20,950.3267299063657
2001-07-23,945.1946161221575
2001-07-24,938.6781252165343
2001-07-25,934.8994275955954
2001-07-26,932.2193253205392
2001-07-27,927.6138612809902
2001-07-30,928.1070481787141
2001-07-31,931.3303493686561
2001-08-01,941.5201891959147
2001-08-02,945.5373879263836
2001-08-03,944.5013188966
2001-08-06,938.3316552480838
2001-08-07,930.5702914489557
2001-08-08,928.3390879284118
2001-08-09,928.2995957962127
2001-08-10,935.5432447237721
2001-08-13,933.2662884155487
2001-08-14,943.1341672478071
2001-08-15,957.6321918298238
2001-08-16,961.7232635877191
2001-08-17,962.4473257016105
2001-08-20,966.8742011835398
2001-08-21,975.5585985396259
2001-08-22,983.2950982487982
2001-08-23,970.4307697768295
2001-08-24,969.5598089678621
2001-08-27,967.2136672841043
2001-08-28,971.1875248123388
2001-08-29,973.5739209482102
2001-08-30,970.5228803133541
2001-08-31,968.0465200225733
2001-09-03,962.5255328936569
2001-09-04,960.4910093691725
2001-09-05,961.6923197798701
2001-09-06,951.913195721633
2001-09-07,950.2157336057229
2001-09-10,927.0332478187471
2001-09-11,910.220691738308
2001-09-12,888.0089503407008
2001-09-13,900.0265314066161
2001-09-14,890.4925376040433
2001-09-17,870.0429303336265
2001-09-18,845.2877886279074
2001-09-19,833.7196822362088
2001-09-20,794.9751768506508
2001-09-21,751.9940424304211
2001-09-24,775.2237097281674
2001-09-25,785.0314618430519
2001-09-26,793.3941765904626
2001-09-27,790.430568366361
2001-09-28,791.1377024842642
2001-10-01,794.0157398138875
2001-10-02,780.0060063055919
2001-10-03,784.5663851088824
2001-10-04,800.863126945858
2001-10-05,809.0870482757376
2001-10-08,793.4891900906664
2001-10-09,792.7979463472836
2001-10-10,793.1464106798526
2001-10-11,811.113688263499
2001-10-12,820.0303080938338
2001-10-15,818.6214885343169
2001-10-16,826.2384297058786
2001-10-17,831.024043732734
2001-10-18,821.0198899854619
2001-10-19,813.3154603090463
2001-10-22,799.7024510626164
2001-10-23,797.9131106286811
2001-10-24,800.4373183295675
2001-10-25,805.429854178771
2001-10-26,804.8158928297712
2001-10-29,814.6481021053903
2001-10-30,807.1495661385806
2001-10-31,808.0212102346848
2001-11-01,813.028520155893
2001-11-02,818.7898973865224
2001-11-05,818.5618126509279
2001-11-06,826.9171867925913
2001-11-07,834.6202865194606
2001-11-08,843.4715967818905
2001-11-09,848.7377703662509
2001-11-12,843.2394552313949
2001-11-13,846.0527894007951
2001-11-14,853.9890620393182
2001-11-15,860.0423525492494
2001-11-16,863.7919892029344
2001-11-19,862.1943419317588
2001-11-20,860.8484494428927
2001-11-21,854.1871577369692
2001-11-22,858.4466711719208
2001-11-23,857.7095964534104
2001-11-26,861.804729121629
2001-11-27,862.6283897614904
2001-11-28,867.8934530537757
2001-11-29,864.5092212328726
2001-11-30,872.218021339218
2001-12-03,866.9514286618504
2001-12-04,868.2356572246059
2001-12-05,871.4656516689984
2001-12-06,888.2933639812901
2001-12-07,896.0542648528469
2001-12-10,897.4587783516826
2001-12-11,893.4662968836305
2001-12-12,892.0339221753154
2001-12-13,889.8660505090638
2001-12-14,892.7979660096491
2001-12-17,895.9504934411294
2001-12-18,894.4277147171864
2001-12-19,887.2230320479026
2001-12-20,883.2700070811053
