Date,MSCI USA Small Cap Momentum Index
1999-06-01,1002.2859239108761
1999-06-02,1016.330623761701
1999-06-03,1013.954680572881
1999-06-04,1036.127996475009
1999-06-07,1048.2835653329269
1999-06-08,1031.500100234979
1999-06-09,1038.3563504973263
1999-06-10,1025.1817330044619
1999-06-11,1019.2669034295308
1999-06-14,1014.7709982601812
1999-06-15,1020.955237702502
1999-06-16,1043.9240087713026
1999-06-17,1048.7260337221005
1999-06-18,1047.941325193409
1999-06-21,1067.708756754013
1999-06-22,1076.0243543362105
1999-06-23,1070.7475185453416
1999-06-24,1058.7710347014201
1999-06-25,1051.0903346626692
1999-06-28,1076.7692090485964
1999-06-29,1087.9916482554836
1999-06-30,1115.0226738797378
1999-07-01,1117.7546349954403
1999-07-02,1124.7170300003854
1999-07-05,1123.5077159561056
1999-07-06,1125.6297423997714
1999-07-07,1113.2141410443076
1999-07-08,1120.409701908593
1999-07-09,1131.6607706983111
1999-07-12,1146.6284785078008
1999-07-13,1135.9842168479045
1999-07-14,1148.2317151359528
1999-07-15,1171.1636073578356
1999-07-16,1178.9123095801249
1999-07-19,1168.564363491146
1999-07-20,1121.8110654678044
1999-07-21,1127.224214139392
1999-07-22,1121.0306200492516
1999-07-23,1123.8147484329088
1999-07-26,1094.0226271391657
1999-07-27,1107.1487059083026
1999-07-28,1116.1999669770987
1999-07-29,1103.1272464059584
1999-07-30,1116.2615203862356
1999-08-02,1109.2082921892336
1999-08-03,1084.7290880647565
1999-08-04,1054.5878894682173
1999-08-05,1060.462892841942
1999-08-06,1052.9205867642384
1999-08-09,1042.6150301201967
1999-08-10,1033.7923411903514
1999-08-11,1062.3939948601478
1999-08-12,1066.5715610960785
1999-08-13,1105.164658057521
1999-08-16,1107.0336973529215
1999-08-17,1115.420292020755
1999-08-18,1088.8267305777315
1999-08-19,1077.722176340056
1999-08-20,1083.7625742685696
1999-08-23,1103.350705685787
1999-08-24,1117.0448916214318
1999-08-25,1131.5258003345682
1999-08-26,1117.018813933341
1999-08-27,1104.727172859323
1999-08-30,1093.5500487773254
1999-08-31,1079.293117766872
1999-09-01,1088.814425274291
1999-09-02,1070.2771691266125
1999-09-03,1104.6120178670565
1999-09-06,1107.2226531900549
1999-09-07,1119.0980466597514
1999-09-08,1117.184880251275
1999-09-09,1119.6541132773232
1999-09-10,1136.3478805483958
1999-09-13,1144.5278360556522
1999-09-14,1137.9657218171299
1999-09-15,1133.3339312895414
1999-09-16,1114.6633723955206
1999-09-17,1117.4363111975258
1999-09-20,1114.271158372301
1999-09-21,1097.3443182046624
1999-09-22,1098.5522894912983
1999-09-23,1086.775764980165
1999-09-24,1073.2063289143625
1999-09-27,1095.834104298923
1999-09-28,1084.2636832756111
1999-09-29,1067.5322346398457
1999-09-30,1070.5655013961996
1999-10-01,1054.3878103262764
1999-10-04,1062.2019308368283
1999-10-05,1063.5768072945964
1999-10-06,1068.1233614750583
1999-10-07,1058.7913881402624
1999-10-08,1068.8656836681316
1999-10-11,1066.2898455097609
1999-10-12,1043.7010826205492
1999-10-13,1038.4178124211596
1999-10-14,1035.5518295611448
1999-10-15,1008.8107976904423
1999-10-18,989.7325801448897
1999-10-19,993.082083002446
1999-10-20,999.6896899840979
