Date,EAFE ex UK ESG LEADERS
2007-09-28,1000.0
2007-10-01,1003.4401234722669
2007-10-02,1014.0765759522508
2007-10-03,1016.2550634312385
2007-10-04,1013.4248617742777
2007-10-05,1018.6095585944033
2007-10-08,1017.5249160396718
2007-10-09,1023.0262822628495
2007-10-10,1021.7735531349122
2007-10-11,1026.9818233158533
2007-10-12,1024.4032406354663
2007-10-15,1016.682092790236
2007-10-16,1006.8362185029407
2007-10-17,1005.1719211495573
2007-10-18,1006.9811865662033
2007-10-19,1001.2213893653172
2007-10-22,990.021322491305
2007-10-23,995.7311989355738
2007-10-24,993.3932952637216
2007-10-25,995.7458701052359
2007-10-26,1004.7106922190432
2007-10-29,1014.9310594206339
2007-10-30,1010.8255306670591
2007-10-31,1015.8697096553129
2007-11-01,1013.6871496446954
2007-11-02,1002.7453028067333
2007-11-05,995.4390822338942
2007-11-06,998.3784249665097
2007-11-07,993.8136110971675
2007-11-08,979.8780141931601
2007-11-09,969.6692022942544
2007-11-12,965.2200863602861
2007-11-13,963.1052128305199
2007-11-14,973.5995537482414
2007-11-15,968.6273971347671
2007-11-16,959.330256818819
2007-11-19,948.1596990192651
2007-11-20,954.3779770254674
2007-11-21,935.7989839172066
2007-11-22,937.1286073559218
2007-11-23,948.1299356680946
2007-11-26,952.3548996051805
2007-11-27,950.108035903374
2007-11-28,961.5518847700696
2007-11-29,973.4813467070859
2007-11-30,982.9212890751775
2007-12-03,982.4316950218146
2007-12-04,972.9851604136318
2007-12-05,983.7463242568057
2007-12-06,989.6206689333509
2007-12-07,993.2694134664233
2007-12-10,994.003473596583
2007-12-11,995.9142414927949
2007-12-12,991.9240459192697
2007-12-13,973.257449039996
2007-12-14,971.8890334465223
2007-12-17,955.2239410477947
2007-12-18,953.4375220805354
2007-12-19,948.8319181548925
2007-12-20,951.9732386608175
2007-12-21,962.8127518170404
2007-12-24,962.3104351875804
2007-12-25,967.6519369965381
2007-12-26,968.1197197014199
2007-12-27,965.8957102855268
2007-12-28,961.670685927333
2007-12-31,967.9380830117128
2008-01-01,967.9380830117128
2008-01-02,963.7791766376843
2008-01-03,960.048979907945
2008-01-04,939.2488896600541
2008-01-07,931.5888918801769
2008-01-08,937.5914948696982
2008-01-09,936.0099698587529
2008-01-10,925.7308288266858
2008-01-11,917.4239704490325
2008-01-14,920.8115406179393
2008-01-15,902.1753085894985
2008-01-16,885.5681573625046
2008-01-17,887.4902557944824
2008-01-18,885.0754729292621
2008-01-21,846.7977130236173
2008-01-22,832.1166048687578
2008-01-23,828.1804658719195
2008-01-24,859.3022018447496
2008-01-25,874.4991795710087
2008-01-28,856.8555173896046
2008-01-29,870.610155538639
