Date,EAFE ESG LEADERS
2010-08-31,100.0
2010-09-01,101.85351154042219
2010-09-02,102.27847175976774
2010-09-03,102.78536415042971
2010-09-06,103.50393284712646
2010-09-07,103.75848130614504
2010-09-08,103.79811937743246
2010-09-09,104.9538114753806
2010-09-10,105.00346739836485
2010-09-13,105.55825764924879
2010-09-14,105.44896133189295
2010-09-15,105.00960167584505
2010-09-16,104.0345265530574
2010-09-17,104.41773381784093
2010-09-20,105.32304766030859
2010-09-21,104.83683670110015
2010-09-22,103.33586746031496
2010-09-23,103.53884783995471
2010-09-24,103.70138164511522
2010-09-27,103.85497320385488
2010-09-28,103.61208261864938
2010-09-29,103.28929203168984
2010-09-30,102.20623999905182
2010-10-01,101.87206208669787
2010-10-04,101.66280209606018
2010-10-05,102.55284466668869
2010-10-06,103.35356949160479
2010-10-07,103.4190349570647
2010-10-08,103.38211230104075
2010-10-11,103.75145489046288
2010-10-12,103.20094635790122
2010-10-13,103.81045131997573
2010-10-14,104.20739885417073
2010-10-15,104.08014259596385
2010-10-18,104.37255552663693
2010-10-19,104.31025576185185
2010-10-20,104.07139963435412
2010-10-21,104.21552913639559
2010-10-22,104.22748121611187
2010-10-25,104.7310627256267
2010-10-26,104.38962034473806
2010-10-27,103.7922011771421
2010-10-28,104.10006564734236
2010-10-29,103.95373742660777
2010-11-01,103.99123182274339
2010-11-02,104.011252712405
2010-11-03,103.64144068137627
2010-11-04,105.06617201512572
2010-11-05,106.17046202729873
2010-11-08,106.79497238206511
2010-11-09,107.06349695412446
2010-11-10,106.8512090628067
2010-11-11,107.06922574235028
2010-11-12,106.32788585540858
2010-11-15,107.18370007632149
2010-11-16,105.42172758184445
2010-11-17,105.90407945917715
2010-11-18,107.17675766068538
2010-11-19,106.55757838208542
2010-11-22,106.4846525926393
2010-11-23,105.73975278763977
2010-11-24,106.17037941873114
2010-11-25,106.58064508547523
2010-11-26,106.337285813759
2010-11-29,105.76757892135767
2010-11-30,105.62496967073481
2010-12-01,106.9635342272422
2010-12-02,108.6043299949129
2010-12-03,108.45800087028562
2010-12-06,108.83426017792316
2010-12-07,109.1856465880314
2010-12-08,109.4309746184357
2010-12-09,110.15247884249155
2010-12-10,109.9349614110429
2010-12-13,110.17112061018913
2010-12-14,110.54259756739265
2010-12-15,110.10624560925388
2010-12-16,110.72432051279898
2010-12-17,110.61904047695157
2010-12-20,111.22271241190815
2010-12-21,112.22113344080863
2010-12-22,112.47886157483269
2010-12-23,112.8625138531322
2010-12-24,112.53941929001124
2010-12-27,111.96668808844672
2010-12-28,112.43561478011227
2010-12-29,112.84136688206725
2010-12-30,111.22383577781802
2010-12-31,110.74491955968604
2011-01-03,111.22092794543799
2011-01-04,112.0444512231253
2011-01-05,111.96371891493017
2011-01-06,112.85578915433713
2011-01-07,113.0373538153741
2011-01-10,112.56582987490584
2011-01-11,113.05808527151461
2011-01-12,113.8715770923297
2011-01-13,113.21313102677341
2011-01-14,112.69143122193502
2011-01-17,112.99967461574177
2011-01-18,113.50552535896458
2011-01-19,112.6827516366295
2011-01-20,111.13062092198595
2011-01-21,110.80586188038309
2011-01-24,111.09238479417753
2011-01-25,111.03840928019501
2011-01-26,111.51869048360328
