Date,EUROPE ex UK ESG LEADERS
2007-09-28,1000.0
2007-10-01,1007.8209534555069
2007-10-02,1011.6516832915258
2007-10-03,1011.4335912363051
2007-10-04,1009.5472012287605
2007-10-05,1016.8474362586905
2007-10-08,1014.2941031246007
2007-10-09,1018.5387520369266
2007-10-10,1018.9159651453461
2007-10-11,1025.5411666116079
2007-10-12,1023.4843252177163
2007-10-15,1014.932100408473
2007-10-16,1006.4272917178804
2007-10-17,1011.8554488049557
2007-10-18,1007.7175243100496
2007-10-19,1003.7715738505129
2007-10-22,990.2897821989129
2007-10-23,1000.0772673406258
2007-10-24,993.5462095093928
2007-10-25,1005.4060082391148
2007-10-26,1010.3473006227417
2007-10-29,1017.1275982693924
2007-10-30,1013.8138660956275
2007-10-31,1020.9904379468335
2007-11-01,1008.2021340192474
2007-11-02,1005.3484739053615
2007-11-05,1001.9440867651128
2007-11-06,1008.5157659141622
2007-11-07,1003.5016180366592
2007-11-08,995.3607332985329
2007-11-09,979.7968722960729
2007-11-12,980.8029614758726
2007-11-13,980.7039059453479
2007-11-14,988.6521845772979
2007-11-15,979.799035968084
2007-11-16,974.9674235207234
2007-11-19,957.585969960728
2007-11-20,969.6643949224417
2007-11-21,949.2543164897472
2007-11-22,954.3537151178652
2007-11-23,968.4595848294109
2007-11-26,964.3335230229468
2007-11-27,959.9122158179787
2007-11-28,981.0099037256069
2007-11-29,985.6072026385482
2007-11-30,995.5546111689697
2007-12-03,992.1102906468537
2007-12-04,982.0956386760297
2007-12-05,997.1814225120622
2007-12-06,996.207701974457
2007-12-07,1001.741001213598
2007-12-10,1006.5146085855455
2007-12-11,1003.8773575490875
2007-12-12,1004.8949341046032
2007-12-13,984.0378393693043
2007-12-14,986.9710421616451
2007-12-17,969.9506763697289
2007-12-18,968.549332093949
2007-12-19,966.1383708340746
2007-12-20,968.2177335368411
2007-12-21,981.7604891528792
2007-12-24,982.2911953840351
2007-12-25,982.2911953840351
2007-12-26,982.5638402258503
2007-12-27,984.0156028252075
2007-12-28,985.3105783906774
2007-12-31,985.645328398681
2008-01-01,985.645328398681
2008-01-02,974.8422855395282
2008-01-03,968.9082570384329
2008-01-04,951.6498214040029
2008-01-07,949.2274041254766
2008-01-08,958.1553432747866
2008-01-09,947.6819801458624
2008-01-10,940.4619484829408
2008-01-11,935.7579502344818
2008-01-14,940.7288419749578
2008-01-15,912.5205340611095
2008-01-16,900.9378218324397
2008-01-17,895.6837793007048
2008-01-18,885.9120370713927
2008-01-21,834.1845065684907
2008-01-22,851.2637959736205
2008-01-23,823.9954705815604
2008-01-24,871.2806189462827
2008-01-25,871.4836256703052
2008-01-28,862.6173180925107
2008-01-29,875.508334000936
2008-01-30,872.5222979842109
2008-01-31,871.8072871640253
2008-02-01,890.0820743348487
2008-02-04,891.6843089567188
2008-02-05,859.2098242807457
2008-02-06,866.8239753311552
2008-02-07,852.5253142738412
2008-02-08,853.3441153002241
2008-02-11,847.7951114365378
2008-02-12,874.9978546896307
2008-02-13,877.7804044887368
2008-02-14,879.4961404910712
2008-02-15,865.7144938913124
2008-02-18,881.0446749526777
2008-02-19,884.6624542038194
2008-02-20,874.4009590239936
2008-02-21,879.8557760537116
2008-02-22,873.5927091339067
2008-02-25,887.9210691329981
2008-02-26,900.2480222106454
2008-02-27,899.8807691932842
2008-02-28,885.3602244387569
2008-02-29,873.7884025892232
2008-03-03,862.5619787650156
2008-03-04,849.1387664474762
2008-03-05,864.7699453498154
2008-03-06,853.5054893697849
2008-03-07,842.6624269825776
2008-03-10,833.5486682978442
2008-03-11,844.5767404471233
2008-03-12,852.248398307196
2008-03-13,841.8645868200016
2008-03-14,835.4122383817943
2008-03-17,807.5594005477074
2008-03-18,831.9198887670613
2008-03-19,826.4545642245787
2008-03-20,822.4288166058686
2008-03-21,822.4288166058686
2008-03-24,821.3041625259302
2008-03-25,850.8784291472926
2008-03-26,848.5198786573671
2008-03-27,857.4306173452867
2008-03-28,856.0307431352331
2008-03-31,855.2912383508603
