Date,FAR EAST ESG LEADERS
2007-09-28,1000.0
2007-10-01,994.7260960280331
2007-10-02,1017.6746819841103
2007-10-03,1022.1854293451165
2007-10-04,1019.5297179469711
2007-10-05,1018.115862769368
2007-10-08,1016.9508008457733
2007-10-09,1023.9994015497033
2007-10-10,1018.7578209163086
2007-10-11,1021.9040575337333
2007-10-12,1017.964974620492
2007-10-15,1012.3576627232401
2007-10-16,1005.1187040409615
2007-10-17,988.3662915221981
2007-10-18,999.4821287621979
2007-10-19,991.2090422919736
2007-10-22,987.3543597862158
2007-10-23,979.7141873426408
2007-10-24,983.6045069694127
2007-10-25,967.7189058497672
2007-10-26,982.2077289241645
2007-10-29,997.578294375535
2007-10-30,993.4267900771101
2007-10-31,992.9717292302093
2007-11-01,1009.7989850173648
2007-11-02,986.6002075618421
2007-11-05,973.1368027660347
2007-11-06,968.7130581575013
2007-11-07,960.2462731390434
2007-11-08,941.0583383269169
2007-11-09,941.8453806139019
2007-11-12,937.5998552483258
2007-11-13,925.2423383278316
2007-11-14,937.7281014305253
2007-11-15,943.35985507607
2007-11-16,927.0119451207084
2007-11-19,922.8289915442712
2007-11-20,924.7975085962936
2007-11-21,914.3436229303912
2007-11-22,910.2753661783686
2007-11-23,918.4753914605668
2007-11-26,934.6684386797087
2007-11-27,937.7005570617729
2007-11-28,931.6983017728725
2007-11-29,959.5872638654293
2007-11-30,964.7196396844884
2007-12-03,969.9093124214025
2007-12-04,963.0271893501464
2007-12-05,968.371632361123
2007-12-06,984.2276432666587
2007-12-07,981.2176713481412
2007-12-10,975.8563330827036
2007-12-11,983.9195321867115
2007-12-12,970.5321789162604
2007-12-13,952.5034064579579
2007-12-14,946.674276790843
2007-12-17,932.8619465509173
2007-12-18,929.8983055447388
2007-12-19,922.9919940404959
2007-12-20,930.222518023371
2007-12-21,933.2093774913106
2007-12-24,928.3331472465502
2007-12-25,945.216189088577
2007-12-26,947.2753083714351
2007-12-27,937.1065238486331
2007-12-28,922.843651912133
2007-12-31,939.9269817487291
2008-01-01,939.9269817487291
2008-01-02,947.973108535536
2008-01-03,948.9455298713631
2008-01-04,918.7744794285272
2008-01-07,905.4085867091535
2008-01-08,903.9346339300137
2008-01-09,920.1191762688502
2008-01-10,901.2005139411688
2008-01-11,886.1287635882835
2008-01-14,887.6045650505476
2008-01-15,883.9268586505026
2008-01-16,860.2957853339747
2008-01-17,874.0348893935335
2008-01-18,884.028329157866
2008-01-21,868.9773475434117
2008-01-22,805.3860147129783
2008-01-23,837.0575289811632
2008-01-24,840.4875747386973
2008-01-25,874.8475049641919
2008-01-28,836.8758797843207
2008-01-29,860.6090601073522
2008-01-30,848.6709120369819
2008-01-31,867.6325745349111
2008-02-01,862.5984912311637
2008-02-04,874.6459374066682
2008-02-05,876.1765273191685
2008-02-06,836.5855595499363
2008-02-07,849.6450053912564
2008-02-08,829.6617369960384
2008-02-11,832.9105714132706
2008-02-12,825.7487039830626
2008-02-13,824.7475413374864
2008-02-14,853.3937531949184
2008-02-15,853.5128019897727
2008-02-18,849.9914341760658
2008-02-19,858.6743603819355
2008-02-20,834.4605821713664
2008-02-21,850.6391145919685
2008-02-22,843.889783221792
2008-02-25,854.6920655075072
2008-02-26,854.0730314247157
2008-02-27,861.3161964484116
2008-02-28,854.7700775269263
2008-02-29,847.9260763152474
2008-03-03,815.520162157546
2008-03-04,815.9061275672389
2008-03-05,803.2633533090013
2008-03-06,817.0574730837928
2008-03-07,789.4534052939748
2008-03-10,783.6250119106232
2008-03-11,786.6302193136524
2008-03-12,793.985435664461
2008-03-13,774.5459845719565
2008-03-14,764.1948691140365
2008-03-17,749.712385800659
2008-03-18,746.6287652485494
2008-03-19,768.4915545674569
2008-03-20,783.3540558935453
2008-03-21,796.9661763076829
2008-03-24,787.2895735334698
2008-03-25,799.4380410744183
2008-03-26,800.28823694364
2008-03-27,785.362643461043
2008-03-28,799.7040020873382
2008-03-31,776.8296374211185
2008-04-01,781.8702467679293
2008-04-02,810.4676084045467
2008-04-03,823.7065907758446
2008-04-04,815.6178341569982
2008-04-07,819.2757272915603
2008-04-08,804.7173389615956
2008-04-09,790.3766497307479
2008-04-10,789.792195188108
2008-04-11,806.8345484926754
2008-04-14,785.7310239953767
2008-04-15,787.1252137623774
2008-04-16,790.6075721722895
2008-04-17,801.6886458267305
2008-04-18,804.1752231545889
2008-04-21,826.0493950576307
2008-04-22,808.9598023676086
2008-04-23,810.5960588372335
2008-04-24,814.3872150087532
2008-04-25,837.3970484693743
2008-04-28,850.1887512006834
2008-04-29,861.0775676935732
2008-04-30,854.8336563948124
2008-05-01,859.0664166914784
2008-05-02,872.0094635254035
2008-05-05,868.1769047118551
2008-05-06,869.8547601761878
2008-05-07,880.4217487949879
2008-05-08,877.7896241207079
2008-05-09,860.2665480246212
2008-05-12,853.0111663267875
2008-05-13,862.7387104432154
2008-05-14,863.0873505204471
2008-05-15,878.7835343538238
2008-05-16,883.0346356508119
2008-05-19,885.6040539734672
2008-05-20,879.8735882644561
2008-05-21,859.7837853185958
2008-05-22,860.505708714205
2008-05-23,860.8820198988085
2008-05-26,840.3163919080966
2008-05-27,852.8062728877055
2008-05-28,842.3844656346834
2008-05-29,863.5918092701976
2008-05-30,878.9780441981172
2008-06-02,897.0656105530386
2008-06-03,884.6637905964286
2008-06-04,902.3080716196704
2008-06-05,884.6331241205665
2008-06-06,885.1098634346113
2008-06-09,859.3717679818758
2008-06-10,854.0847134483471
2008-06-11,861.0398495371135
2008-06-12,840.6774629906985
2008-06-13,850.7693295269304
2008-06-16,861.496376002042
2008-06-17,859.6084775070849
2008-06-18,865.0776234317062
2008-06-19,845.6156632991092
2008-06-20,831.9890465960638
2008-06-23,831.7177104366586
2008-06-24,828.4760820116704
2008-06-25,825.605389893226
2008-06-26,821.7900409701488
2008-06-27,811.941572958286
2008-06-30,810.7267966362225
2008-07-01,807.9002513092966
2008-07-02,791.261988501393
2008-07-03,794.3608852031774
2008-07-04,795.1779567624142
2008-07-07,800.3337579789268
2008-07-08,782.6161596609137
2008-07-09,782.6465309523009
2008-07-10,784.0197461088168
2008-07-11,781.8221504131391
2008-07-14,775.5289381785412
2008-07-15,767.6208817945937
2008-07-16,771.086934637727
2008-07-17,771.0513848217046
2008-07-18,760.3093819665719
2008-07-21,760.4895396594975
2008-07-22,782.0568749201136
2008-07-23,793.2193571645195
2008-07-24,810.9956193997776
2008-07-25,788.4413405118473
2008-07-28,787.9624960487502
