Date,EUROPE ESG LEADERS
2010-08-31,100.0
2010-09-01,102.61437090025218
2010-09-02,102.53353662221014
2010-09-03,103.28606984350353
2010-09-06,103.49468684858637
2010-09-07,103.13573903179903
2010-09-08,104.1564385305287
2010-09-09,105.25100516938366
2010-09-10,105.14399207451888
2010-09-13,105.81881803583278
2010-09-14,105.83686712276639
2010-09-15,105.65169227907343
2010-09-16,104.82347395657331
2010-09-17,104.81698033036831
2010-09-20,106.14000665145922
2010-09-21,105.61111101225413
2010-09-22,104.03764759964025
2010-09-23,103.98792563284653
2010-09-24,105.1947233764163
2010-09-27,104.61684172928773
2010-09-28,104.41424741445933
2010-09-29,103.83545558984471
2010-09-30,103.33720951749751
2010-10-01,103.06088141639978
2010-10-04,102.59954600592638
2010-10-05,104.03184166332625
2010-10-06,104.46119603863734
2010-10-07,104.40218735210789
2010-10-08,104.36307311279828
2010-10-11,104.78728983148224
2010-10-12,104.48273889295425
2010-10-13,105.81369050882651
2010-10-14,105.72022486912616
2010-10-15,105.82574023248294
2010-10-18,106.03213825579647
2010-10-19,105.53189260466907
2010-10-20,105.86764574773215
2010-10-21,106.57613425115721
2010-10-22,106.2261993936112
2010-10-25,106.48949729164795
2010-10-26,106.28086480034894
2010-10-27,105.58348789303808
2010-10-28,105.98320354622226
2010-10-29,105.92369557145857
2010-11-01,106.04827617537302
2010-11-02,106.45282779615171
2010-11-03,106.01771129888962
2010-11-04,107.78993305490044
2010-11-05,108.07777709640825
2010-11-08,108.12803247551666
2010-11-09,108.62667540761616
2010-11-10,108.08440742416646
2010-11-11,108.00591258906007
2010-11-12,107.6948068085782
2010-11-15,108.60350373153116
2010-11-16,106.13290166580042
2010-11-17,106.7101637070387
2010-11-18,108.20936763838534
2010-11-19,107.56383363957444
2010-11-22,106.91081563432108
2010-11-23,105.20261577082972
2010-11-24,106.20225055796473
2010-11-25,106.76016851866144
2010-11-26,106.31890950554131
2010-11-29,104.54516165139539
2010-11-30,104.49519122796436
2010-12-01,106.68383560801567
2010-12-02,108.46762140335373
2010-12-03,108.2652238194404
2010-12-06,108.40803229582289
2010-12-07,109.36676221547995
2010-12-08,109.7297653564391
2010-12-09,109.94528236708369
2010-12-10,109.93534276487581
2010-12-13,110.25397424401075
2010-12-14,110.47993677042126
2010-12-15,110.00576337349536
2010-12-16,110.47468249008685
2010-12-17,110.0519382457474
2010-12-20,110.78919878558966
2010-12-21,111.80157821018877
2010-12-22,111.87619260796913
2010-12-23,112.04383191824542
2010-12-24,111.97308866361598
2010-12-27,111.02473941645817
2010-12-28,111.22376597106025
2010-12-29,111.5462835320056
2010-12-30,110.01693099856038
2010-12-31,109.59007803139126
2011-01-03,110.41770865858
2011-01-04,111.27772866595191
2011-01-05,111.30729439162396
2011-01-06,111.52638390541743
2011-01-07,111.33634241705812
2011-01-10,110.39192266620216
2011-01-11,111.64954796271546
2011-01-12,113.18826685370061
2011-01-13,112.52619605928506
2011-01-14,112.36875937460223
2011-01-17,112.49842185786804
2011-01-18,113.51951473228249
2011-01-19,111.9083402066574
2011-01-20,110.58064379063191
2011-01-21,111.29408668128288
2011-01-24,111.52887243688917
2011-01-25,110.82541054143987
2011-01-26,111.86079734896668
2011-01-27,111.9249336063619
2011-01-28,110.89503966379097
2011-01-31,110.94566347124017
2011-02-01,112.51802983444155
2011-02-02,112.64752889436232
2011-02-03,112.94907351258726
2011-02-04,113.19012343820808
2011-02-07,114.1384858008267
2011-02-08,114.02500018353908
2011-02-09,113.8112666752842
2011-02-10,113.59489430941214
2011-02-11,113.97396945677424
2011-02-14,114.40160659043106
2011-02-15,114.45178391600426
2011-02-16,115.0201749571533
2011-02-17,115.2277011886699
2011-02-18,115.2376615604072
2011-02-21,113.57970178572411
2011-02-22,112.72433174249686
2011-02-23,111.56710658347748
2011-02-24,110.80321135335177
2011-02-25,112.36460142157279
2011-02-28,113.05333766319059
2011-03-01,112.37998674942342
