Date,NORTH AMERICA ESG LEADERS
2010-08-31,100.0
2010-09-01,101.90071134733402
2010-09-02,102.74718375872479
2010-09-03,103.7959187782884
2010-09-06,103.7672605393277
2010-09-07,103.80807367882188
2010-09-08,104.13085586514718
2010-09-09,104.64747451178668
2010-09-10,105.18431958384255
2010-09-13,105.17780490653698
2010-09-14,104.40560358916481
2010-09-15,104.3168542261496
2010-09-16,103.70144663355372
2010-09-17,104.32402773354734
2010-09-20,105.40185533162641
2010-09-21,104.67162065521677
2010-09-22,102.11158162481843
2010-09-23,101.87967272806205
2010-09-24,102.85413447167396
2010-09-27,102.45582951430589
2010-09-28,102.34326768636541
2010-09-29,101.85187656787653
2010-09-30,101.21301828454317
2010-10-01,100.92143076737132
2010-10-04,100.73841765363491
2010-10-05,101.58357893364877
2010-10-06,101.25588064935154
2010-10-07,100.55621092328747
2010-10-08,101.28661045821707
2010-10-11,101.62741860004502
2010-10-12,102.38526906655612
2010-10-13,102.35656593654734
2010-10-14,101.18429970413708
2010-10-15,101.89663248106228
2010-10-18,102.84211392131873
2010-10-19,102.5897529721775
2010-10-20,102.37297803239494
2010-10-21,102.44726988136173
2010-10-22,103.11399170886686
2010-10-25,103.03146421775956
2010-10-26,103.69895719556324
2010-10-27,103.85187614228096
2010-10-28,103.06966522495134
2010-10-29,103.35515540486139
2010-11-01,103.52616275369758
2010-11-02,103.21579500035274
2010-11-03,103.55419178277144
2010-11-04,103.92225566002371
2010-11-05,105.7863227500025
2010-11-08,106.609509628797
2010-11-09,105.70418318468312
2010-11-10,107.73509886493736
2010-11-11,107.35084723425025
2010-11-12,105.7422173865234
2010-11-15,106.5771151763825
2010-11-16,105.08041240829361
2010-11-17,105.41616018036765
2010-11-18,106.47486903850067
2010-11-19,106.43124911287364
2010-11-22,106.73583775181557
2010-11-23,106.64707768905858
2010-11-24,108.6430708465234
2010-11-25,108.868695968353
2010-11-26,109.25422373615883
2010-11-29,110.07750087489956
2010-11-30,110.07880348278162
2010-12-01,111.852704209502
2010-12-02,112.33084102233386
2010-12-03,110.80229372628291
2010-12-06,111.51890371983374
2010-12-07,110.98987836450074
2010-12-08,112.30175744715652
2010-12-09,112.98089062097624
2010-12-10,113.15330464837635
2010-12-13,111.82236693622112
2010-12-14,111.97013646205494
2010-12-15,112.02795895421748
2010-12-16,113.74385667297867
2010-12-17,114.326082614973
2010-12-20,114.81089009888964
2010-12-21,115.26949395131398
2010-12-22,115.7984366174542
2010-12-23,115.95685394550523
2010-12-24,115.57335612059649
2010-12-27,115.28912983808384
2010-12-28,115.57874817793885
2010-12-29,115.75414614562993
2010-12-30,114.35731725423896
2010-12-31,113.29727358812806
2011-01-03,114.7174743030047
2011-01-04,114.65430231072656
2011-01-05,116.7357054144946
2011-01-06,117.34312481726867
2011-01-07,117.6968257657839
2011-01-10,117.84404489746674
2011-01-11,118.48122007895
2011-01-12,118.3880334697875
2011-01-13,115.78746562121539
2011-01-14,116.21518231562986
2011-01-17,116.90693696986024
2011-01-18,116.32185407367197
2011-01-19,114.3547467372955
2011-01-20,114.7955168201575
2011-01-21,113.504534457724
2011-01-24,113.46051809791108
2011-01-25,113.34116204485858
2011-01-26,113.6935608406449
2011-01-27,113.38499680083515
2011-01-28,112.4548815936738
2011-01-31,112.64394271186138
2011-02-01,113.56130407120953
2011-02-02,113.12757719280656
2011-02-03,114.89665498573662
2011-02-04,115.88825809113324
2011-02-07,116.63566866991911
2011-02-08,116.03678038699384
2011-02-09,115.27669226244586
2011-02-10,116.25911463616713
2011-02-11,117.3683811243909
2011-02-14,118.399907208055
2011-02-15,117.53686281983714
2011-02-16,118.33942625965229
2011-02-17,118.12455443129761
2011-02-18,117.87197493674557
2011-02-21,117.57113395664462
2011-02-22,115.02721228791405
2011-02-23,113.4058367669562
2011-02-24,113.1659730306942
2011-02-25,114.92570471862558
2011-02-28,115.0519035716554
2011-03-01,113.1409284182339
2011-03-02,112.99268211041812
2011-03-03,114.35104965213601
2011-03-04,113.26063974199998
2011-03-07,112.01398245302408
2011-03-08,113.74133534563657
2011-03-09,113.53359445789805
2011-03-10,112.45959126038947
2011-03-11,112.83305294482587
2011-03-14,111.10099191455087
2011-03-15,109.96947730076481
