Date,WORLD ex EUROPE ESG LEADERS
2007-09-28,1000.0
2007-10-01,1008.4773848371885
2007-10-02,1017.0123205678095
2007-10-03,1015.0250412386708
2007-10-04,1016.1749076996061
2007-10-05,1026.1404833327213
2007-10-08,1028.616017482687
2007-10-09,1034.9330233173182
2007-10-10,1029.2203833157034
2007-10-11,1021.6067069581278
2007-10-12,1027.7621848318925
2007-10-15,1015.4539922273459
2007-10-16,1010.3786614915151
2007-10-17,1007.7964722870516
2007-10-18,1007.3805538399653
2007-10-19,988.8893221638587
2007-10-22,996.4487725148152
2007-10-23,998.157711269851
2007-10-24,998.8592794898472
2007-10-25,993.390031368463
2007-10-26,1001.3295479095733
2007-10-29,1008.3179827173017
2007-10-30,1000.9858317228368
2007-10-31,1009.5612845879416
2007-11-01,996.9523746596883
2007-11-02,993.3275690484735
2007-11-05,988.3681122633166
2007-11-06,992.9188754173313
2007-11-07,966.8652058318767
2007-11-08,956.2371954467329
2007-11-09,942.7884713574947
2007-11-12,938.4322515260634
2007-11-13,952.1791692607546
2007-11-14,947.2901178865728
2007-11-15,940.6883238291579
2007-11-16,941.4459295501758
2007-11-19,929.2505747352183
2007-11-20,925.7401763083507
2007-11-21,909.79649279025
2007-11-22,908.4358223818363
2007-11-23,922.3080315537625
2007-11-26,911.548809994586
2007-11-27,919.828352878971
2007-11-28,943.606634870237
2007-11-29,949.21584672428
2007-11-30,958.1827359972294
2007-12-03,956.8963459547201
2007-12-04,946.8067471979089
2007-12-05,962.334248667805
2007-12-06,977.0478293267552
2007-12-07,974.8256861051913
2007-12-10,976.7306295155187
2007-12-11,960.9833041392961
2007-12-12,963.6710634645834
2007-12-13,963.002660188598
2007-12-14,959.1728688657541
2007-12-17,947.1715232468667
2007-12-18,948.9069952427035
2007-12-19,948.0044657643251
2007-12-20,955.6060392151337
2007-12-21,968.1580662489564
2007-12-24,972.0362578134113
2007-12-25,975.3629676227171
2007-12-26,970.4973390933174
2007-12-27,956.1345133123846
2007-12-28,947.9156499576558
2007-12-31,950.2684721172218
2008-01-01,950.2684721172218
2008-01-02,936.2200578058527
2008-01-03,935.8148477459899
2008-01-04,907.9694181595816
2008-01-07,907.1446335690182
2008-01-08,897.1095809981746
2008-01-09,909.1772653856759
2008-01-10,907.5092152502511
2008-01-11,890.9538530219147
2008-01-14,895.1130709547699
2008-01-15,878.6258737668852
2008-01-16,875.0152056722308
2008-01-17,859.5219020354631
2008-01-18,860.5541857766541
2008-01-21,858.9264840783948
2008-01-22,835.3847321013835
2008-01-23,858.0785860653367
2008-01-24,861.6233893575579
2008-01-25,862.9248922654452
2008-01-28,861.1208009582954
2008-01-29,868.7948107844223
2008-01-30,861.843044422487
2008-01-31,874.5199114003735
2008-02-01,884.5384373034715
2008-02-04,881.092246563866
2008-02-05,868.5282459742458
2008-02-06,855.3137708409666
2008-02-07,869.3284149654677
2008-02-08,866.2942265128534
2008-02-11,872.2129607667076
2008-02-12,871.0440648689289
