Date,SINGAPORE GROWTH
1974-12-31,100.0
1975-01-31,143.80547
1975-02-28,168.84198
1975-03-31,179.44526
1975-04-30,179.84254
1975-05-30,167.04233
1975-06-30,150.34148
1975-07-31,139.98854
1975-08-29,132.88915
1975-09-30,133.15635
1975-10-31,145.03101
1975-11-28,140.55531
1975-12-31,149.28532
1976-01-30,177.86494
1976-02-27,173.98745
1976-03-31,159.70401
1976-04-30,176.19947
1976-05-31,169.17914
1976-06-30,172.27132
1976-07-30,165.76362
1976-08-31,172.9693
1976-09-30,170.17672
1976-10-29,162.40351
1976-11-30,155.00436
1976-12-31,164.22681
1977-01-31,161.77517
1977-02-28,159.51347
1977-03-31,154.15905
1977-04-29,150.33931
1977-05-31,151.15711
1977-06-30,154.5066
1977-07-29,160.97372
1977-08-31,165.2601
1977-09-30,160.8196
1977-10-31,163.12968
1977-11-30,163.87568
1977-12-30,167.73709
1978-01-31,163.53716
1978-02-28,165.71901
1978-03-31,177.1706
1978-04-28,182.61661
1978-05-31,197.40482
1978-06-30,220.20723
1978-07-31,227.28953
1978-08-31,259.74027
1978-09-29,231.89931
1978-10-31,265.58189
1978-11-30,226.64616
1978-12-29,232.99985
1979-01-31,251.0097
1979-02-28,242.11884
1979-03-30,260.27186
1979-04-30,266.46877
1979-05-31,276.19701
1979-06-29,266.68931
1979-07-31,275.24156
1979-08-31,283.37815
1979-09-28,303.48427
1979-10-31,283.77129
1979-11-30,288.28322
1979-12-31,303.21132
1980-01-31,338.87349
1980-02-29,351.34145
1980-03-31,311.63168
1980-04-30,334.59284
1980-05-30,381.39376
1980-06-30,431.75865
1980-07-31,453.94245
1980-08-29,482.50715
1980-09-30,453.61943
1980-10-31,529.95762
1980-11-28,558.21101
1980-12-31,541.87965
1981-01-30,607.7109
1981-02-27,696.12719
1981-03-31,661.44437
1981-04-30,675.1636
1981-05-29,654.95912
1981-06-30,700.72878
1981-07-31,592.41609
1981-08-31,452.62547
1981-09-30,445.87706
1981-10-30,465.6803
1981-11-30,580.96385
1981-12-31,589.42792
1982-01-29,579.35663
1982-02-26,521.68276
1982-03-31,498.77689
1982-04-30,532.87449
1982-05-31,533.8018
1982-06-30,475.16893
1982-07-30,426.43416
1982-08-31,412.53816
1982-09-30,424.54999
1982-10-29,446.89131
1982-11-30,449.71605
1982-12-31,476.32722
1983-01-31,506.65077
1983-02-28,533.23715
1983-03-31,552.81539
1983-04-29,613.82027
1983-05-31,589.87082
1983-06-30,603.40744
1983-07-29,577.46131
1983-08-31,597.64949
1983-09-30,603.40665
1983-10-31,588.95758
1983-11-30,588.19979
1983-12-30,628.64623
1984-01-31,644.62503
1984-02-29,631.18908
1984-03-30,617.55356
1984-04-30,610.8818
1984-05-31,573.17941
1984-06-29,537.18422
1984-07-31,543.43696
1984-08-31,548.89584
1984-09-28,531.0119
1984-10-31,501.94161
1984-11-30,491.81864
1984-12-31,488.19804
1985-01-31,497.61135
1985-02-28,485.17333
1985-03-29,489.74971
1985-04-30,485.21021
1985-05-31,497.46105
1985-06-28,474.69072
1985-07-31,474.80217
1985-08-30,445.26811
1985-09-30,484.44434
1985-10-31,490.51119
1985-11-29,461.00821
1985-12-31,412.10541
1986-01-31,405.5633
1986-02-28,403.30894
1986-03-31,367.82647
1986-04-30,351.53326
1986-05-30,374.80166
1986-06-30,419.87402
1986-07-31,428.20416
1986-08-29,464.67484
1986-09-30,452.92616
1986-10-31,536.45945
1986-11-28,503.21571
1986-12-31,516.1377
1987-01-30,563.27836
1987-02-27,627.2882
1987-03-31,607.19522
1987-04-30,646.74503
1987-05-29,695.20401
1987-06-30,705.16761
1987-07-31,785.10917
1987-08-31,806.651
1987-09-30,788.7828
1987-10-30,495.27849
1987-11-30,496.66222
1987-12-31,516.93373
1988-01-29,560.73869
1988-02-29,559.43301
1988-03-31,589.1091
1988-04-29,610.82555
1988-05-31,617.08291
1988-06-30,653.82579
1988-07-29,678.78853
1988-08-31,626.41804
1988-09-30,621.33196
1988-10-31,661.13344
1988-11-30,667.75869
1988-12-30,693.43357
1989-01-31,758.43908
1989-02-28,746.73568
1989-03-31,757.41497
1989-04-28,779.15907
1989-05-31,802.19922
1989-06-30,817.62944
1989-07-31,864.50636
1989-08-31,829.49211
1989-09-29,843.86216
1989-10-31,821.11979
1989-11-30,853.87386
1989-12-29,915.85653
1990-01-31,932.36812
1990-02-28,937.92719
1990-03-30,898.32966
1990-04-30,813.62583
1990-05-31,910.96678
1990-06-29,923.52422
1990-07-31,1001.74968
1990-08-31,871.01902
1990-09-28,718.18641
1990-10-31,785.72586
1990-11-30,747.79077
1990-12-31,805.50396
1991-01-31,833.76506
1991-02-28,911.14985
1991-03-29,915.8358
1991-04-30,947.0604
1991-05-31,961.71165
1991-06-28,934.3559
1991-07-31,930.28923
1991-08-30,880.10989
1991-09-30,864.33419
1991-10-31,891.65479
1991-11-29,921.95131
1991-12-31,983.81045
1992-01-31,1019.98615
1992-02-28,1047.36056
1992-03-31,996.79937
1992-04-30,1024.10017
1992-05-29,1040.26846
1992-06-30,1031.96817
1992-07-31,1016.57311
1992-08-31,981.31798
1992-09-30,1021.40421
1992-10-30,1072.29057
1992-11-30,1073.20725
1992-12-31,1066.59402
1993-01-29,1081.15509
1993-02-26,1089.16911
1993-03-31,1093.2649
1993-04-30,1162.09812
1993-05-31,1206.75029
1993-06-30,1173.13312
1993-07-30,1199.01701
1993-08-31,1392.63616
1993-09-30,1444.40091
1993-10-29,1556.58803
1993-11-30,1544.48404
1993-12-31,1937.73527
1994-01-31,1848.01335
1994-02-28,1838.60069
1994-03-31,1670.84583
1994-04-29,1852.97742
1994-05-31,1847.82926
1994-06-30,1809.16913
1994-07-29,1861.63843
1994-08-31,1971.86074
1994-09-30,2055.60986
1994-10-31,2168.50931
1994-11-30,2046.31474
1994-12-30,2080.97746
1995-01-31,1869.29378
1995-02-28,1956.29959
1995-03-31,2040.66794
1995-04-28,2093.90561
