Date,JAPAN GROWTH
1974-12-31,100.0
1975-01-31,105.01876
1975-02-28,119.89824
1975-03-31,121.31496
1975-04-30,120.69362
1975-05-30,118.31248
1975-06-30,119.16845
1975-07-31,113.53561
1975-08-29,107.41179
1975-09-30,99.97763
1975-10-31,109.14486
1975-11-28,111.42828
1975-12-31,111.49148
1976-01-30,117.0175
1976-02-27,117.03483
1976-03-31,117.07719
1976-04-30,116.94827
1976-05-31,117.45546
1976-06-30,122.44334
1976-07-30,119.39295
1976-08-31,124.60834
1976-09-30,124.54783
1976-10-29,118.26659
1976-11-30,116.75936
1976-12-31,136.79136
1977-01-31,132.23289
1977-02-28,137.55258
1977-03-31,134.1947
1977-04-29,134.30438
1977-05-31,134.7253
1977-06-30,139.35564
1977-07-29,133.65411
1977-08-31,141.68079
1977-09-30,148.0364
1977-10-31,149.52656
1977-11-30,148.65491
1977-12-30,145.37137
1978-01-31,153.06909
1978-02-28,159.54532
1978-03-31,179.4046
1978-04-28,179.33091
1978-05-31,178.78411
1978-06-30,196.47217
1978-07-31,212.47448
1978-08-31,211.00631
1978-09-29,218.79137
1978-10-31,233.90296
1978-11-30,208.94874
1978-12-29,215.57966
1979-01-31,211.4734
1979-02-28,203.34156
1979-03-30,197.3735
1979-04-30,190.90396
1979-05-31,194.8652
1979-06-29,193.86784
1979-07-31,193.3736
1979-08-31,194.57432
1979-09-28,198.66811
1979-10-31,185.16236
1979-11-30,178.22314
1979-12-31,187.33811
1980-01-31,189.92427
1980-02-29,181.57712
1980-03-31,176.72097
1980-04-30,193.17333
1980-05-30,201.60048
1980-06-30,205.93758
1980-07-31,195.4068
1980-08-29,207.5355
1980-09-30,221.33827
1980-10-31,225.40598
1980-11-28,219.89569
1980-12-31,234.05142
1981-01-30,237.75599
1981-02-27,234.35763
1981-03-31,243.27354
1981-04-30,249.88365
1981-05-29,242.16015
1981-06-30,245.54542
1981-07-31,231.34557
1981-08-31,240.18864
1981-09-30,215.00529
1981-10-30,214.15002
1981-11-30,230.20915
1981-12-31,237.10009
1982-01-29,232.23893
1982-02-26,209.83447
1982-03-31,191.28138
