Date,SWITZERLAND GROWTH
1974-12-31,100.0
1975-01-31,127.5671
1975-02-28,141.09069
1975-03-31,135.75095
1975-04-30,140.72922
1975-05-30,141.3851
1975-06-30,138.13319
1975-07-31,131.4966
1975-08-29,125.56725
1975-09-30,118.40093
1975-10-31,133.59966
1975-11-28,138.0942
1975-12-31,144.75427
1976-01-30,148.55519
1976-02-27,150.24739
1976-03-31,150.03036
1976-04-30,148.05504
1976-05-31,150.1399
1976-06-30,153.70473
1976-07-30,157.01426
1976-08-31,160.21364
1976-09-30,158.92518
1976-10-29,154.01506
1976-11-30,155.56696
1976-12-31,164.92583
1977-01-31,162.32308
1977-02-28,159.3332
1977-03-31,160.77647
1977-04-29,154.18286
1977-05-31,149.58008
1977-06-30,153.11482
1977-07-29,156.56597
1977-08-31,163.48473
1977-09-30,173.9025
1977-10-31,183.02101
1977-11-30,192.8499
1977-12-30,210.10367
1978-01-31,222.61171
1978-02-28,224.32136
1978-03-31,223.01258
1978-04-28,206.27541
1978-05-31,215.28267
1978-06-30,223.5676
1978-07-31,239.20251
1978-08-31,262.59079
1978-09-29,270.71668
1978-10-31,277.50305
1978-11-30,236.23407
1978-12-29,258.64571
1979-01-31,271.81095
1979-02-28,273.31149
1979-03-30,273.95524
1979-04-30,264.47844
1979-05-31,257.18893
1979-06-29,272.31114
1979-07-31,275.69032
1979-08-31,283.05627
1979-09-28,309.97548
1979-10-31,280.90078
1979-11-30,290.83357
1979-12-31,299.37636
1980-01-31,304.58164
1980-02-29,285.77497
1980-03-31,243.0864
1980-04-30,275.07731
1980-05-30,276.50062
1980-06-30,287.80548
1980-07-31,292.0626
1980-08-29,294.43822
1980-09-30,299.34496
1980-10-31,292.3234
1980-11-28,292.85968
1980-12-31,288.47695
1981-01-30,254.41476
1981-02-27,251.89519
1981-03-31,253.87684
1981-04-30,232.91533
1981-05-29,220.12493
1981-06-30,229.77402
1981-07-31,219.19489
1981-08-31,213.46932
1981-09-30,216.16797
1981-10-30,235.11794
1981-11-30,255.50869
1981-12-31,251.24945
1982-01-29,241.14977
1982-02-26,231.62466
1982-03-31,226.38833
1982-04-30,226.0785
1982-05-31,219.93305
1982-06-30,200.00906
1982-07-30,197.93504
1982-08-31,198.9168
1982-09-30,195.32902
1982-10-29,208.43705
