Date,GERMANY GROWTH
1974-12-31,100.0
1975-01-31,110.71256
1975-02-28,124.95617
1975-03-31,124.97863
1975-04-30,128.31673
1975-05-30,121.95329
1975-06-30,123.44236
1975-07-31,121.20287
1975-08-29,115.1242
1975-09-30,110.81296
1975-10-31,123.75631
1975-11-28,124.87396
1975-12-31,123.53135
1976-01-30,122.06437
1976-02-27,122.04151
1976-03-31,126.98245
1976-04-30,119.27269
1976-05-31,115.64671
1976-06-30,117.54711
1976-07-30,116.23971
1976-08-31,116.82572
1976-09-30,121.65387
1976-10-29,115.06201
1976-11-30,118.42039
1976-12-31,121.68529
1977-01-31,118.4471
1977-02-28,115.87178
1977-03-31,118.50659
1977-04-29,128.01275
1977-05-31,124.87231
1977-06-30,123.19873
1977-07-29,126.50162
1977-08-31,128.80633
1977-09-30,131.85608
1977-10-31,140.40708
1977-11-30,142.50062
1977-12-30,149.37182
1978-01-31,149.53774
1978-02-28,154.81694
1978-03-31,155.00686
1978-04-28,147.38294
1978-05-31,146.97787
1978-06-30,153.96432
1978-07-31,162.79033
1978-08-31,168.19136
1978-09-29,178.11383
1978-10-31,196.36453
1978-11-30,173.36088
1978-12-29,183.40636
1979-01-31,181.33627
1979-02-28,176.89202
1979-03-30,171.23848
1979-04-30,167.73817
1979-05-31,158.70403
1979-06-29,159.05421
1979-07-31,165.53594
1979-08-31,168.61058
1979-09-28,178.30553
1979-10-31,163.29698
1979-11-30,171.69318
1979-12-31,170.26754
1980-01-31,168.0383
1980-02-29,169.66332
1980-03-31,145.13313
1980-04-30,162.31126
1980-05-30,168.22762
1980-06-30,176.27448
1980-07-31,178.27689
1980-08-29,175.90157
1980-09-30,177.02084
1980-10-31,166.09269
1980-11-28,167.47699
1980-12-31,160.09853
1981-01-30,146.27532
1981-02-27,143.80969
1981-03-31,149.86575
1981-04-30,149.36951
1981-05-29,139.37429
1981-06-30,144.81765
1981-07-31,141.87993
1981-08-31,140.36075
1981-09-30,140.28555
1981-10-30,146.69421
1981-11-30,153.58216
1981-12-31,145.80373
1982-01-29,143.82041
1982-02-26,142.00174
1982-03-31,140.17032
1982-04-30,144.54673
1982-05-31,141.41555
1982-06-30,134.69577
1982-07-30,135.1701
1982-08-31,132.02831
1982-09-30,138.03745
1982-10-29,136.95545
1982-11-30,146.66083
1982-12-31,162.13847
1983-01-31,155.08724
1983-02-28,167.21204
1983-03-31,187.66651
1983-04-29,197.80175
1983-05-31,184.89452
1983-06-30,195.25937
1983-07-29,190.95726
1983-08-31,176.21287
1983-09-30,185.86475
1983-10-31,207.34791
1983-11-30,207.86575
1983-12-30,206.16615
1984-01-31,202.08952
1984-02-29,211.62828
1984-03-30,211.07185
1984-04-30,203.63182
1984-05-31,195.62351
1984-06-29,199.5098
1984-07-31,179.4511
1984-08-31,193.97081
1984-09-28,198.10959
1984-10-31,201.85363
1984-11-30,197.46881
1984-12-31,196.74045
1985-01-31,212.03682
1985-02-28,206.21726
1985-03-29,224.65809
1985-04-30,235.20637
1985-05-31,257.88943
1985-06-28,281.94945
1985-07-31,285.11978
1985-08-30,314.1695
1985-09-30,344.58053
1985-10-31,402.32823
1985-11-29,406.40609
1985-12-31,467.33971
1986-01-31,505.52049
1986-02-28,516.56687
1986-03-31,539.49687
1986-04-30,640.84629
1986-05-30,540.01013
1986-06-30,565.76101
1986-07-31,563.57498
1986-08-29,662.55075
1986-09-30,613.70335
1986-10-31,607.17601
1986-11-28,672.90628
1986-12-31,673.00281
1987-01-30,611.58906
1987-02-27,561.07077
1987-03-31,586.68343
1987-04-30,590.85035
1987-05-29,568.5691
1987-06-30,606.90334
1987-07-31,631.46234
1987-08-31,641.7834
1987-09-30,611.17841
1987-10-30,485.75628
1987-11-30,425.05281
1987-12-31,434.06637
1988-01-29,381.31046
1988-02-29,456.80546
1988-03-31,459.76661
1988-04-29,447.80349
1988-05-31,435.58011
1988-06-30,433.38915
1988-07-29,441.08538
1988-08-31,434.39125
1988-09-30,471.06109
1988-10-31,520.2398
1988-11-30,513.74719
1988-12-30,526.65438
1989-01-31,494.69037
1989-02-28,490.12054
1989-03-31,475.68024
1989-04-28,501.22745
1989-05-31,478.20799
1989-06-30,522.00103
1989-07-31,594.76103
1989-08-31,587.50055
1989-09-29,622.01056
1989-10-31,590.84055
1989-11-30,649.61542
1989-12-29,767.21543
1990-01-31,790.88367
1990-02-28,775.86668
1990-03-30,874.42581
1990-04-30,807.54489
1990-05-31,823.25024
1990-06-29,871.71889
1990-07-31,950.5648
1990-08-31,805.286
1990-09-28,660.36984
1990-10-31,761.34764
1990-11-30,778.7683
1990-12-31,737.53265
1991-01-31,746.06042
1991-02-28,800.86143
1991-03-29,691.94313
1991-04-30,718.28704
1991-05-31,769.49443
1991-06-28,697.48817
1991-07-31,708.69286
1991-08-30,708.14575
1991-09-30,715.70876
1991-10-31,698.59328
1991-11-29,719.10109
1991-12-31,768.3711
1992-01-31,771.01132
1992-02-28,793.12747
1992-03-31,774.5398
1992-04-30,767.48095
1992-05-29,817.08053
1992-06-30,834.0904
1992-07-31,772.60158
1992-08-31,762.04444
1992-09-30,738.93548
1992-10-30,699.78471
1992-11-30,703.52734
1992-12-31,692.66546
1993-01-29,715.90913
1993-02-26,757.98204
1993-03-31,768.39616
1993-04-30,764.52753
1993-05-31,772.98102
1993-06-30,727.16566
1993-07-30,745.56371
1993-08-31,825.7286
1993-09-30,839.87275
1993-10-29,903.29523
1993-11-30,877.31936
1993-12-31,904.41663
1994-01-31,877.32157
1994-02-28,847.18067
1994-03-31,870.65384
1994-04-29,930.43454
1994-05-31,879.28023
1994-06-30,879.19772
1994-07-29,925.15325
1994-08-31,959.12399
1994-09-30,910.79374
1994-10-31,950.55432
1994-11-30,901.94756
1994-12-30,940.78584
1995-01-31,930.12867
1995-02-28,1024.953
1995-03-31,1006.98754
1995-04-28,1061.69131
1995-05-31,1072.05301
1995-06-30,1118.86539
1995-07-31,1192.5417
1995-08-31,1124.14761
1995-09-29,1136.14916
1995-10-31,1127.15426
1995-11-30,1126.34069
1995-12-29,1161.68297
1996-01-31,1197.38137
1996-02-29,1204.11433
1996-03-29,1180.28617
1996-04-30,1120.14915
1996-05-31,1131.35122
1996-06-28,1161.10515
1996-07-31,1168.77039
1996-08-30,1186.61696
1996-09-30,1192.01246
1996-10-31,1210.59296
1996-11-29,1266.04313
1996-12-31,1266.17241
1997-01-31,1238.948046014999
1997-02-28,1290.1628815835975
1997-03-31,1362.9335301321678
1997-04-30,1300.034846552544
1997-05-30,1376.2677248225873
1997-06-30,1424.869000180047
1997-07-31,1582.6726385159427
1997-08-29,1429.7493224370155
1997-09-30,1543.7906425333435
1997-10-31,1415.9756250822097
1997-11-28,1463.8312543477525
1997-12-31,1524.9480015946656
1998-01-30,1644.6504273211951
