Date,NORWAY GROWTH
1974-12-31,100.0
1975-01-31,121.40305
1975-02-28,129.42037
1975-03-31,122.08952
1975-04-30,139.7628
1975-05-30,133.155
1975-06-30,123.38548
1975-07-31,123.63774
1975-08-29,121.48402
1975-09-30,92.8529
1975-10-31,96.84762
1975-11-28,86.33497
1975-12-31,83.86808
1976-01-30,106.59047
1976-02-27,95.84208
1976-03-31,86.61933
1976-04-30,84.25594
1976-05-31,81.56847
1976-06-30,88.426
1976-07-30,86.95771
1976-08-31,85.03997
1976-09-30,90.14426
1976-10-29,86.83863
1976-11-30,92.7509
1976-12-31,92.4668
1977-01-31,89.20538
1977-02-28,85.22135
1977-03-31,85.05535
1977-04-29,77.59941
1977-05-31,75.94102
1977-06-30,79.82804
1977-07-29,80.16729
1977-08-31,75.50043
1977-09-30,84.71269
1977-10-31,76.75366
1977-11-30,74.43747
1977-12-30,72.09248
1978-01-31,66.0789
1978-02-28,64.80518
1978-03-31,67.02017
1978-04-28,67.68981
1978-05-31,68.34098
1978-06-30,63.71513
1978-07-31,68.96625
1978-08-31,84.28722
1978-09-29,90.56505
1978-10-31,77.11509
1978-11-30,73.97366
1978-12-29,71.65607
1979-01-31,80.95197
1979-02-28,96.01429
1979-03-30,103.39619
1979-04-30,125.38628
1979-05-31,149.8361
1979-06-29,197.50251
1979-07-31,196.32978
1979-08-31,198.65453
1979-09-28,246.50624
1979-10-31,269.11858
1979-11-30,344.76443
1979-12-31,337.0959
1980-01-31,344.60398
1980-02-29,309.08983
1980-03-31,208.41441
1980-04-30,253.02461
1980-05-30,298.18349
1980-06-30,293.8733
1980-07-31,282.91052
1980-08-29,265.65234
1980-09-30,305.15526
1980-10-31,298.32351
1980-11-28,281.07715
1980-12-31,251.89727
1981-01-30,228.89391
1981-02-27,208.72438
1981-03-31,200.60929
1981-04-30,186.88645
1981-05-29,156.46317
1981-06-30,154.61247
1981-07-31,180.6699
1981-08-31,185.43411
1981-09-30,166.40935
1981-10-30,181.78698
1981-11-30,197.26487
1981-12-31,178.62451
1982-01-29,173.04678
1982-02-26,152.59134
1982-03-31,127.12226
