Date,UNITED KINGDOM GROWTH
1974-12-31,100.0
1975-01-31,156.46988
1975-02-28,193.83636
1975-03-31,183.48389
1975-04-30,208.0657
1975-05-30,213.43767
1975-06-30,176.37949
1975-07-31,169.65922
1975-08-29,190.22196
1975-09-30,186.74882
1975-10-31,195.58939
1975-11-28,191.93836
1975-12-31,200.91039
1976-01-30,220.26542
1976-02-27,213.89405
1976-03-31,201.79543
1976-04-30,198.67084
1976-05-31,174.9766
1976-06-30,176.9981
1976-07-30,172.08274
1976-08-31,162.47256
1976-09-30,142.09981
1976-10-29,122.65778
1976-11-30,135.79824
1976-12-31,168.03319
1977-01-31,182.65495
1977-02-28,187.1065
1977-03-31,186.25909
1977-04-29,198.41741
1977-05-31,201.64229
1977-06-30,210.75455
1977-07-29,207.74528
1977-08-31,234.10574
1977-09-30,252.48164
1977-10-31,256.55307
1977-11-30,240.83996
1977-12-30,256.86096
1978-01-31,248.20937
1978-02-28,232.39774
1978-03-31,238.39314
1978-04-28,234.71762
1978-05-31,244.50124
1978-06-30,244.16687
1978-07-31,272.38016
1978-08-31,280.91508
1978-09-29,284.67619
1978-10-31,287.51871
1978-11-30,272.24698
1978-12-29,281.2552
1979-01-31,275.66523
1979-02-28,296.49903
1979-03-30,351.47572
1979-04-30,366.31404
1979-05-31,335.73265
1979-06-29,340.78046
1979-07-31,349.29358
1979-08-31,353.98577
1979-09-28,362.56357
1979-10-31,331.66922
1979-11-30,344.67151
1979-12-31,336.14416
1980-01-31,372.33352
1980-02-29,400.25427
1980-03-31,339.31323
1980-04-30,360.3954
1980-05-30,371.72641
1980-06-30,422.65457
1980-07-31,436.29677
1980-08-29,449.69188
1980-09-30,471.81956
1980-10-31,531.49653
1980-11-28,530.1688
1980-12-31,495.87779
1981-01-30,489.78608
1981-02-27,469.89191
1981-03-31,476.39472
1981-04-30,476.71695
1981-05-29,444.22007
1981-06-30,418.80077
1981-07-31,407.39955
1981-08-31,431.16898
1981-09-30,348.42597
1981-10-30,357.71812
1981-11-30,426.05298
1981-12-31,413.34787
1982-01-29,440.09107
1982-02-26,408.06341
1982-03-31,414.40097
1982-04-30,424.73021
1982-05-31,440.56288
1982-06-30,418.38447
1982-07-30,445.60377
1982-08-31,452.80564
1982-09-30,495.56561
1982-10-29,488.35798
1982-11-30,486.01278
1982-12-31,490.13292
1983-01-31,470.5378
1983-02-28,479.06349
1983-03-31,475.05151
1983-04-29,536.48432
1983-05-31,550.1737
1983-06-30,538.03287
1983-07-29,526.99552
1983-08-31,510.95228
1983-09-30,506.26899
1983-10-31,503.47078
1983-11-30,522.77214
1983-12-30,517.03843
1984-01-31,518.02009
1984-02-29,539.11594
1984-03-30,563.36613
1984-04-30,555.61601
1984-05-31,491.82609
1984-06-29,500.79009
1984-07-31,473.39879
1984-08-31,522.9499
1984-09-28,509.68566
1984-10-31,508.72397
1984-11-30,519.32982
1984-12-31,554.86124
1985-01-31,560.90472
1985-02-28,528.75473
1985-03-29,620.80236
1985-04-30,639.32568
1985-05-31,671.07994
1985-06-28,635.82605
1985-07-31,726.01569
1985-08-30,764.57437
1985-09-30,737.5913
1985-10-31,811.11329
1985-11-29,877.04812
1985-12-31,826.64996
1986-01-31,817.11527
1986-02-28,921.1877
1986-03-31,987.05833
1986-04-30,1042.31562
1986-05-30,957.39611
1986-06-30,1021.69105
1986-07-31,922.09683
1986-08-29,978.45402
1986-09-30,867.63319
1986-10-31,878.00412
1986-11-28,908.86352
1986-12-31,954.36276
1987-01-30,1056.62747
1987-02-27,1213.44024
1987-03-31,1243.70491
1987-04-30,1314.89192
1987-05-29,1380.59972
1987-06-30,1417.7666
1987-07-31,1447.01489
1987-08-31,1419.52433
1987-09-30,1498.42802
1987-10-30,1173.75615
1987-11-30,1109.5863
1987-12-31,1236.95628
1988-01-29,1226.39148
1988-02-29,1214.26742
1988-03-31,1253.64643
1988-04-29,1285.77026
1988-05-31,1241.44755
1988-06-30,1220.63155
1988-07-29,1218.9055
1988-08-31,1133.46018
1988-09-30,1190.71245
1988-10-31,1276.92877
1988-11-30,1284.72644
1988-12-30,1263.72614
1989-01-31,1403.99882
1989-02-28,1380.72669
1989-03-31,1390.8268
1989-04-28,1419.07915
1989-05-31,1326.01005
1989-06-30,1338.83977
1989-07-31,1518.04646
1989-08-31,1500.29065
1989-09-29,1470.33323
1989-10-31,1338.75666
1989-11-30,1402.20148
1989-12-29,1511.35381
1990-01-31,1520.50594
1990-02-28,1472.42036
1990-03-30,1426.20872
1990-04-30,1337.26958
1990-05-31,1548.04425
1990-06-29,1654.16134
1990-07-31,1712.93081
1990-08-31,1617.74879
1990-09-28,1487.40146
1990-10-31,1608.37566
1990-11-30,1691.99888
1990-12-31,1683.3866
1991-01-31,1770.68952
1991-02-28,1901.38814
1991-03-29,1828.71696
1991-04-30,1795.77446
1991-05-31,1808.78798
1991-06-28,1679.33578
1991-07-31,1869.78101
1991-08-30,1915.30922
1991-09-30,2002.40087
1991-10-31,1995.81163
1991-11-29,1944.33107
1991-12-31,2149.43538
1992-01-31,2131.90422
1992-02-28,2110.22877
1992-03-31,2003.31014
1992-04-30,2192.05047
1992-05-29,2329.94071
1992-06-30,2268.6921
1992-07-31,2218.15737
1992-08-31,2217.89242
1992-09-30,2175.92227
1992-10-30,1995.19336
1992-11-30,2016.4615
1992-12-31,2076.02144
1993-01-29,1986.66609
1993-02-26,1895.72926
1993-03-31,1994.36903
1993-04-30,2038.26323
1993-05-31,2038.18171
1993-06-30,1995.84363
1993-07-30,1979.39998
1993-08-31,2141.16839
1993-09-30,2094.30339
1993-10-29,2172.87607
1993-11-30,2192.59424
1993-12-31,2324.11906
1994-01-31,2396.9371
1994-02-28,2281.27234
1994-03-31,2108.04196
1994-04-29,2202.61977
1994-05-31,2078.82689
1994-06-30,2061.67206
1994-07-29,2176.0639
1994-08-31,2302.84409
1994-09-30,2176.16166
1994-10-31,2284.82448
1994-11-30,2196.61382
1994-12-30,2204.23594
1995-01-31,2174.48116
1995-02-28,2191.2265
1995-03-31,2355.83674
1995-04-28,2384.91152
1995-05-31,2430.12824
1995-06-30,2469.87398
1995-07-31,2582.68714
1995-08-31,2525.27092
1995-09-29,2632.72552
1995-10-31,2666.78713
1995-11-30,2665.44433
1995-12-29,2726.75514
1996-01-31,2731.72171
1996-02-29,2737.68409
1996-03-29,2712.35824
1996-04-30,2775.9183
1996-05-31,2815.5916
1996-06-28,2815.29699
1996-07-31,2822.24153
1996-08-30,2961.69265
1996-09-30,3067.06444
1996-10-31,3199.12445
1996-11-29,3353.14856
1996-12-31,3440.94945
