Date,PORTUGAL GROWTH
1996-12-31,100.0
1997-01-31,116.69501371452775
1997-02-28,116.08887733841368
1997-03-31,120.2351729253067
1997-04-30,121.37208765626852
1997-05-30,127.99291294962474
1997-06-30,134.25616425314297
1997-07-31,133.42844841116298
1997-08-29,125.99263654089813
1997-09-30,145.62141132653704
1997-10-31,138.9628307127338
1997-11-28,149.94423060320682
1997-12-31,154.6064069731037
1998-01-30,173.10419786023894
1998-02-27,185.48461824032591
1998-03-31,190.97005374392694
1998-04-30,205.13535823063984
1998-05-29,200.12035632343816
1998-06-30,194.20177111741845
1998-07-31,210.9261534569238
1998-08-31,173.6448124128359
1998-09-30,149.95644815680183
1998-10-30,183.2343338281482
1998-11-30,184.8929433968671
1998-12-31,194.48170207721512
1999-01-29,201.4128803715839
1999-02-26,191.47418983535496
1999-03-31,177.14218691156466
1999-04-30,164.08852971646533
1999-05-31,172.72165015982023
1999-06-30,160.15650385238303
1999-07-30,165.4153934005488
1999-08-31,158.626554819395
1999-09-30,158.63358017609875
1999-10-29,165.0904398260609
1999-11-30,167.76771978683283
1999-12-31,179.20112561333553
2000-01-31,184.4631344357807
2000-02-29,197.81790449703766
2000-03-31,184.88499018119225
2000-04-28,162.9080190338536
2000-05-31,160.8291870422339
2000-06-30,166.26924280426275
2000-07-31,161.42210410557942
2000-08-31,152.3206079173122
2000-09-29,150.3209908268486
2000-10-31,136.7284837826671
2000-11-30,134.46803435430007
2000-12-29,145.3098666368052
2001-01-01,145.3098666368052
2001-01-02,146.11812709425666
2001-01-03,145.02528784968737
2001-01-04,148.4332444429327
2001-01-05,150.939246447
2001-01-08,150.75500722029548
2001-01-09,149.6290171816397
2001-01-10,150.12501166731656
2001-01-11,153.8392278738529
2001-01-12,157.9246457961818
2001-01-15,158.94336601496974
2001-01-16,155.43329612964047
2001-01-17,158.4622560785102
2001-01-18,161.30674472386752
2001-01-19,158.24946434961674
2001-01-22,157.29980304325235
2001-01-23,155.927670124623
2001-01-24,156.11076376064895
2001-01-25,155.33581120031528
2001-01-26,155.99205825464773
2001-01-29,155.83257447795964
2001-01-30,158.17935292665504
2001-01-31,159.1774882504104
2001-02-01,161.13599552459527
2001-02-02,159.83055558871177
2001-02-05,159.49480356010463
2001-02-06,159.5293894335649
2001-02-07,158.41992790746738
2001-02-08,154.6531637026282
2001-02-09,152.20640282702135
2001-02-12,154.76071142655346
2001-02-13,153.8602335155023
2001-02-14,151.57553380287715
2001-02-15,148.70123597753306
2001-02-16,148.79794949175954
2001-02-19,147.4960644969787
2001-02-20,147.38669232677248
2001-02-21,146.48959028430792
2001-02-22,144.38628996899845
2001-02-23,143.21767035646408
2001-02-26,144.27215573757695
2001-02-27,145.6995722182433
2001-02-28,148.14411291176512
2001-03-01,150.8033396961776
2001-03-02,149.8934184005479
2001-03-05,151.62994943236842
2001-03-06,152.2303771458358
2001-03-07,152.23705449191442
2001-03-08,153.00866409313497
2001-03-09,150.40467200259383
2001-03-12,148.50082856952335
2001-03-13,147.78520657809662
2001-03-14,144.23411615079675
2001-03-15,143.38615584231155
2001-03-16,139.64180504737985
2001-03-19,138.27776217529865
2001-03-20,140.0631377393516
2001-03-21,136.65003398469827
2001-03-22,130.51280628841516
2001-03-23,134.91207269793478
2001-03-26,137.068815526878
2001-03-27,137.8076481638339
2001-03-28,138.36282212114185
2001-03-29,137.23360203830828
2001-03-30,137.94029876924392
2001-04-02,137.47032071102126
2001-04-03,135.65238781604907
2001-04-04,140.6466366225025
2001-04-05,141.9888131927075
2001-04-06,142.12578395447326
2001-04-09,144.19800335043513
2001-04-10,143.10685097215904
2001-04-11,140.70960232646223
2001-04-12,140.74363115938746
2001-04-13,140.74363115938746
