Date,SPAIN GROWTH
1974-12-31,100.0
1975-01-31,103.55704
1975-02-28,118.64412
1975-03-31,112.6754
1975-04-30,114.03668
1975-05-30,109.63044
1975-06-30,101.11204
1975-07-31,95.93575
1975-08-29,99.12983
1975-09-30,92.96307
1975-10-31,94.59732
1975-11-28,107.90399
1975-12-31,105.84876
1976-01-30,104.67836
1976-02-27,89.68396
1976-03-31,79.41439
1976-04-30,92.62234
1976-05-31,91.41136
1976-06-30,84.80421
1976-07-30,85.07827
1976-08-31,81.65843
1976-09-30,79.12809
1976-10-29,70.7638
1976-11-30,76.53662
1976-12-31,68.72335
1977-01-31,64.22301
1977-02-28,69.19429
1977-03-31,65.54302
1977-04-29,66.01159
1977-05-31,61.73508
1977-06-30,60.57149
1977-07-29,41.70166
1977-08-31,40.21474
1977-09-30,33.95994
1977-10-31,34.83199
1977-11-30,36.60157
1977-12-30,39.7032
1978-01-31,37.56834
1978-02-28,35.43069
1978-03-31,36.80857
1978-04-28,41.15739
1978-05-31,42.28248
1978-06-30,42.68976
1978-07-31,47.96034
1978-08-31,49.08937
1978-09-29,48.14958
1978-10-31,50.56209
1978-11-30,45.88162
1978-12-29,45.94604
1979-01-31,44.34745
1979-02-28,47.2872
1979-03-30,54.20264
1979-04-30,53.35491
1979-05-31,52.77057
1979-06-29,52.52098
1979-07-31,49.00658
1979-08-31,50.34147
1979-09-28,48.31493
1979-10-31,43.22237
1979-11-30,40.62241
1979-12-31,42.99806
1980-01-31,41.77059
1980-02-29,45.10666
1980-03-31,40.76899
1980-04-30,38.91187
1980-05-30,40.9775
1980-06-30,42.56561
1980-07-31,43.24159
1980-08-29,43.29409
1980-09-30,45.0652
1980-10-31,45.39256
1980-11-28,43.73129
1980-12-31,42.53309
1981-01-30,46.07597
1981-02-27,46.42087
1981-03-31,49.80303
1981-04-30,50.09708
1981-05-29,49.2543
1981-06-30,52.78508
1981-07-31,52.79867
1981-08-31,56.14301
1981-09-30,54.33051
1981-10-30,49.3615
1981-11-30,52.97686
1981-12-31,50.10929
1982-01-29,51.85368
1982-02-26,50.21643
1982-03-31,47.09882
1982-04-30,48.02657
1982-05-31,46.60301
1982-06-30,43.16972
1982-07-30,42.27823
1982-08-31,39.93926
1982-09-30,34.37925
1982-10-29,34.23445
1982-11-30,35.80673
1982-12-31,32.04987
1983-01-31,31.15671
1983-02-28,30.24971
1983-03-31,33.01654
1983-04-29,31.80392
1983-05-31,32.5735
1983-06-30,30.49905
1983-07-29,30.79731
1983-08-31,27.93654
1983-09-30,29.27284
1983-10-31,30.35136
1983-11-30,30.81298
1983-12-30,30.41846
1984-01-31,34.42179
1984-02-29,37.76376
1984-03-30,39.11235
1984-04-30,37.48143
1984-05-31,37.92394
1984-06-29,38.79584
1984-07-31,40.30244
1984-08-31,39.04707
1984-09-28,38.25981
1984-10-31,36.96203
1984-11-30,35.80202
1984-12-31,33.77685
1985-01-31,36.11482
1985-02-28,33.84254
1985-03-29,35.81773
1985-04-30,36.15875
1985-05-31,36.44968
1985-06-28,36.95444
1985-07-31,41.04897
1985-08-30,40.66997
1985-09-30,40.70606
1985-10-31,45.01433
1985-11-29,49.59653
1985-12-31,51.15596
1986-01-31,61.33309
1986-02-28,77.47663
1986-03-31,99.11195
1986-04-30,110.90266
1986-05-30,99.88705
1986-06-30,100.07525
1986-07-31,108.91169
