Date,SWEDEN GROWTH
1974-12-31,100.0
1975-01-31,110.45701
1975-02-28,122.68586
1975-03-31,119.87167
1975-04-30,121.15208
1975-05-30,121.22015
1975-06-30,128.27472
1975-07-31,121.30226
1975-08-29,114.80775
1975-09-30,115.14731
1975-10-31,118.17585
1975-11-28,113.40874
1975-12-31,112.12063
1976-01-30,116.30581
1976-02-27,116.59276
1976-03-31,117.35184
1976-04-30,128.34087
1976-05-31,126.70863
1976-06-30,123.16592
1976-07-30,122.80841
1976-08-31,115.39001
1976-09-30,117.37159
1976-10-29,108.49304
1976-11-30,115.69029
1976-12-31,121.81137
1977-01-31,109.84099
1977-02-28,119.07574
1977-03-31,120.51621
1977-04-29,114.06717
1977-05-31,110.84306
1977-06-30,102.09416
1977-07-29,102.11086
1977-08-31,88.18371
1977-09-30,93.02693
1977-10-31,89.99434
1977-11-30,83.94103
1977-12-30,93.33841
1978-01-31,101.77835
1978-02-28,101.22237
1978-03-31,106.76734
1978-04-28,111.06412
1978-05-31,108.82706
1978-06-30,113.41251
1978-07-31,122.28629
1978-08-31,126.41104
1978-09-29,122.53181
1978-10-31,126.02844
1978-11-30,116.03493
1978-12-29,119.16487
1979-01-31,125.39791
1979-02-28,118.6067
1979-03-30,117.78663
1979-04-30,110.41346
1979-05-31,109.63774
1979-06-29,111.38939
1979-07-31,113.26414
1979-08-31,110.85992
1979-09-28,111.27121
1979-10-31,106.08108
1979-11-30,108.77983
1979-12-31,113.22988
1980-01-31,112.27629
1980-02-29,106.82399
1980-03-31,99.41517
1980-04-30,111.82268
1980-05-30,112.16192
1980-06-30,115.46555
1980-07-31,115.51086
1980-08-29,111.73133
1980-09-30,111.73937
1980-10-31,118.91549
1980-11-28,125.87501
1980-12-31,128.23682
1981-01-30,115.24169
1981-02-27,128.38557
1981-03-31,141.88914
1981-04-30,132.3054
1981-05-29,136.30144
1981-06-30,144.59498
1981-07-31,140.70496
1981-08-31,152.18875
1981-09-30,136.28544
1981-10-30,155.2095
1981-11-30,177.17153
1981-12-31,173.11855
1982-01-29,164.7847
1982-02-26,159.13146
1982-03-31,148.03356
1982-04-30,144.78982
1982-05-31,150.88018
1982-06-30,146.19
1982-07-30,154.33373
1982-08-31,155.96274
1982-09-30,158.34602
1982-10-29,155.94564
1982-11-30,195.59343
1982-12-31,208.17854
1983-01-31,222.60149
1983-02-28,243.33132
1983-03-31,250.55482
1983-04-29,293.56898
1983-05-31,293.88729
1983-06-30,275.86394
1983-07-29,297.11884
1983-08-31,299.65392
1983-09-30,294.73791
1983-10-31,291.62021
1983-11-30,294.02389
1983-12-30,279.24
1984-01-31,288.15116
1984-02-29,285.68203
1984-03-30,292.89433
1984-04-30,264.85123
1984-05-31,230.69826
1984-06-29,235.44799
1984-07-31,228.7451
1984-08-31,231.08097
1984-09-28,217.36096
1984-10-31,211.49964
1984-11-30,200.10079
1984-12-31,195.86898
1985-01-31,210.27484
