Date,IRELAND GROWTH
1990-12-31,100.0
1991-01-31,95.58557
1991-02-28,113.08496
1991-03-29,106.57546
1991-04-30,101.25649
1991-05-31,101.61537
1991-06-28,93.3657
1991-07-31,105.72455
1991-08-30,104.63143
1991-09-30,106.32268
1991-10-31,102.9843
1991-11-29,99.8336
1991-12-31,107.82104
1992-01-31,114.29033
1992-02-28,111.04606
1992-03-31,108.03937
1992-04-30,110.07077
1992-05-29,102.68601
1992-06-30,102.93629
1992-07-31,102.0246
1992-08-31,101.11736
1992-09-30,87.36353
1992-10-30,77.06389
1992-11-30,82.97834
1992-12-31,83.06538
1993-01-29,87.8119
1993-02-26,86.15205
1993-03-31,90.24269
1993-04-30,92.03344
1993-05-31,92.89313
1993-06-30,91.78816
1993-07-30,90.0059
1993-08-31,93.94943
1993-09-30,94.45977
1993-10-29,99.33045
1993-11-30,99.42996
1993-12-31,103.24882
1994-01-31,114.29369
1994-02-28,110.8719
1994-03-31,108.81384
1994-04-29,116.53255
1994-05-31,108.76135
1994-06-30,104.02776
1994-07-29,114.89116
1994-08-31,120.28197
1994-09-30,115.79566
1994-10-31,114.96673
1994-11-30,108.46017
1994-12-30,112.62648
1995-01-31,116.14717
1995-02-28,118.61344
1995-03-31,122.71325
1995-04-28,125.85357
1995-05-31,129.63911
1995-06-30,134.90536
1995-07-31,139.57306
1995-08-31,139.25176
1995-09-29,143.22685
1995-10-31,142.55146
1995-11-30,146.24152
1995-12-29,152.72536
1996-01-31,154.6721
1996-02-29,162.55313
1996-03-29,172.30268
1996-04-30,175.09626
1996-05-31,184.96539
1996-06-28,191.70517
1996-07-31,180.06856
1996-08-30,187.95917
1996-09-30,197.86689
1996-10-31,200.12695
1996-11-29,206.83043
1996-12-31,206.40701
1997-01-31,202.31763311086115
1997-02-28,210.05239342453623
1997-03-31,204.58769281112797
1997-04-30,195.45911251789818
1997-05-30,197.7613857496535
1997-06-30,202.2344706123875
1997-07-31,199.09320856739717
1997-08-29,208.02830871713516
1997-09-30,219.5778154245749
1997-10-31,218.40553495189164
1997-11-28,217.9611380624512
1997-12-31,231.1162226421017
1998-01-30,245.77202694877383
1998-02-27,283.4632589205377
1998-03-31,269.2281048058564
1998-04-30,295.2653635346327
1998-05-29,284.7511585272724
