Date,CANADA GROWTH
1974-12-31,100.0
1975-01-31,116.85151
1975-02-28,120.32995
1975-03-31,115.917
1975-04-30,119.38005
1975-05-30,121.72456
1975-06-30,126.72605
1975-07-31,123.72936
1975-08-29,120.1803
1975-09-30,115.61131
1975-10-31,111.23755
1975-11-28,119.39746
1975-12-31,114.45636
1976-01-30,123.09583
1976-02-27,127.83324
1976-03-31,126.95478
1976-04-30,127.82367
1976-05-31,130.14631
1976-06-30,127.69544
1976-07-30,125.43754
1976-08-31,123.11611
1976-09-30,120.36278
1976-10-29,116.48048
1976-11-30,104.62658
1976-12-31,118.94857
1977-01-31,115.08649
1977-02-28,111.79387
1977-03-31,111.75745
1977-04-29,107.67681
1977-05-31,105.91615
1977-06-30,109.94251
1977-07-29,109.22082
1977-08-31,104.23384
1977-09-30,105.33229
1977-10-31,97.38405
1977-11-30,104.02701
1977-12-30,111.02042
1978-01-31,102.07067
1978-02-28,101.93027
1978-03-31,105.45312
1978-04-28,105.34073
1978-05-31,110.70949
1978-06-30,112.39795
1978-07-31,117.9506
1978-08-31,118.72108
1978-09-29,122.30155
1978-10-31,114.83807
1978-11-30,124.24139
1978-12-29,127.92228
1979-01-31,130.99539
1979-02-28,135.0048
1979-03-30,150.14406
1979-04-30,154.22226
1979-05-31,163.06948
1979-06-29,181.47502
1979-07-31,169.94211
1979-08-31,189.83785
1979-09-28,211.02809
1979-10-31,191.00909
1979-11-30,214.62366
1979-12-31,225.51405
1980-01-31,254.79427
1980-02-29,313.3545
1980-03-31,228.74985
1980-04-30,239.10007
1980-05-30,256.18633
1980-06-30,289.4113
1980-07-31,297.52144
1980-08-29,292.77
1980-09-30,287.64469
1980-10-31,268.88256
1980-11-28,272.0792
1980-12-31,252.12848
1981-01-30,254.00475
1981-02-27,241.69063
1981-03-31,259.05442
1981-04-30,259.28717
1981-05-29,280.51758
1981-06-30,284.70407
1981-07-31,263.36038
1981-08-31,265.09051
1981-09-30,211.30995
1981-10-30,212.66937
1981-11-30,241.61413
1981-12-31,223.98574
1982-01-29,200.5699
1982-02-26,180.32053
1982-03-31,166.32424
1982-04-30,165.39069
1982-05-31,160.98215
1982-06-30,135.17836
1982-07-30,143.49096
1982-08-31,169.23568
