Date,BELGIUM GROWTH
1974-12-31,100.0
1975-01-31,119.85108
1975-02-28,128.43631
1975-03-31,125.61047
1975-04-30,135.10709
1975-05-30,136.80891
1975-06-30,130.31232
1975-07-31,124.91076
1975-08-29,125.26469
1975-09-30,108.67688
1975-10-31,115.37455
1975-11-28,117.49144
1975-12-31,118.63972
1976-01-30,132.75272
1976-02-27,127.35453
1976-03-31,122.91179
1976-04-30,123.68596
1976-05-31,115.56374
1976-06-30,118.52919
1976-07-30,118.74139
1976-08-31,112.11193
1976-09-30,112.12678
1976-10-29,109.62761
1976-11-30,118.02082
1976-12-31,124.28276
1977-01-31,120.21632
1977-02-28,126.07369
1977-03-31,121.9257
1977-04-29,123.3834
1977-05-31,123.28254
1977-06-30,126.49564
1977-07-29,127.77995
1977-08-31,124.62575
1977-09-30,127.20758
1977-10-31,127.11114
1977-11-30,126.65395
1977-12-30,132.19578
1978-01-31,140.65301
1978-02-28,144.67398
1978-03-31,147.15015
1978-04-28,155.10335
1978-05-31,145.58538
1978-06-30,143.04044
1978-07-31,146.87393
1978-08-31,151.66465
1978-09-29,153.49716
1978-10-31,167.75812
1978-11-30,153.39855
1978-12-29,163.23765
1979-01-31,171.19615
1979-02-28,177.00384
1979-03-30,177.11979
1979-04-30,169.49954
1979-05-31,163.27997
1979-06-29,161.93628
1979-07-31,167.39275
1979-08-31,165.74553
1979-09-28,180.91846
1979-10-31,174.32356
1979-11-30,180.96838
1979-12-31,183.551
1980-01-31,188.37806
1980-02-29,180.16275
1980-03-31,138.91014
1980-04-30,166.56949
1980-05-30,174.33115
1980-06-30,176.79433
1980-07-31,169.13521
1980-08-29,162.88247
1980-09-30,166.24051
1980-10-31,160.86751
1980-11-28,155.96786
1980-12-31,148.59442
1981-01-30,139.72465
1981-02-27,132.81158
1981-03-31,128.69527
1981-04-30,121.49774
1981-05-29,106.69659
1981-06-30,99.48628
1981-07-31,98.51535
1981-08-31,100.30889
1981-09-30,99.2345
1981-10-30,100.53288
1981-11-30,104.67934
1981-12-31,117.08085
1982-01-29,118.85295
1982-02-26,110.36656
1982-03-31,103.21948
1982-04-30,110.45087
1982-05-31,105.22768
1982-06-30,99.63361
1982-07-30,101.88025
1982-08-31,108.01214
1982-09-30,110.83294
1982-10-29,108.11046
1982-11-30,111.09111
1982-12-31,118.64133
1983-01-31,115.76004
1983-02-28,117.45325
1983-03-31,129.43272
1983-04-29,141.78121
1983-05-31,133.98181
1983-06-30,139.31895
1983-07-29,140.71178
1983-08-31,137.96851
1983-09-30,137.99416
1983-10-31,129.1177
1983-11-30,136.03845
1983-12-30,140.94687
1984-01-31,151.55437
1984-02-29,153.26927
1984-03-30,161.87093
1984-04-30,169.07289
1984-05-31,162.18725
1984-06-29,154.43952
1984-07-31,151.59965
1984-08-31,169.44701
1984-09-28,164.07011
1984-10-31,166.06028
1984-11-30,158.70723
1984-12-31,156.19916
1985-01-31,150.23712
1985-02-28,152.8896
1985-03-29,162.20661
1985-04-30,164.24078
1985-05-31,169.42307
1985-06-28,162.9241
1985-07-31,176.34929
1985-08-30,183.61717
1985-09-30,199.82015
1985-10-31,239.28588
1985-11-29,257.39041
1985-12-31,258.35686
1986-01-31,255.22846
1986-02-28,318.38014
1986-03-31,324.36786
1986-04-30,366.43703
1986-05-30,342.93371
1986-06-30,375.96773
1986-07-31,390.95498
1986-08-29,423.01706
1986-09-30,424.54774
1986-10-31,427.82683
1986-11-28,464.36918
1986-12-31,477.38959
1987-01-30,498.20281
1987-02-27,522.48786
1987-03-31,558.27661
1987-04-30,598.5918
1987-05-29,580.7322
1987-06-30,600.23354
1987-07-31,649.45713
1987-08-31,682.20236
1987-09-30,648.12193
1987-10-30,513.2643
1987-11-30,494.67374
1987-12-31,496.45695
1988-01-29,513.86052
1988-02-29,596.88892
1988-03-31,628.11451
1988-04-29,622.95933
1988-05-31,600.46637
1988-06-30,610.25015
1988-07-29,578.28793
1988-08-31,564.23294
1988-09-30,631.9746
1988-10-31,678.62011
1988-11-30,693.12213
1988-12-30,703.5909
1989-01-31,695.93004
1989-02-28,667.20093
1989-03-31,664.04081
1989-04-28,685.73062
1989-05-31,661.59999
1989-06-30,659.52678
1989-07-31,694.76115
1989-08-31,692.38947
1989-09-29,765.60477
1989-10-31,727.95125
1989-11-30,780.88087
1989-12-29,815.66722
1990-01-31,793.95313
1990-02-28,717.86959
1990-03-30,777.63846
1990-04-30,762.92934
1990-05-31,782.19745
1990-06-29,799.55276
1990-07-31,839.69734
1990-08-31,768.39613
1990-09-28,687.12755
1990-10-31,721.22849
1990-11-30,675.28938
1990-12-31,684.49205
1991-01-31,666.77151
1991-02-28,766.88174
1991-03-29,709.65861
1991-04-30,692.74194
1991-05-31,688.3919
1991-06-28,648.86491
1991-07-31,668.76922
1991-08-30,670.20656
1991-09-30,682.827
1991-10-31,689.93762
1991-11-29,702.12875
1991-12-31,779.69213
1992-01-31,776.33862
1992-02-28,769.21549
1992-03-31,759.66202
1992-04-30,770.89068
1992-05-29,777.97077
1992-06-30,793.50871
1992-07-31,819.32129
1992-08-31,780.88313
1992-09-30,806.25059
1992-10-30,737.29397
1992-11-30,736.34592
1992-12-31,711.21397
1993-01-29,737.21985
1993-02-26,725.47398
1993-03-31,789.84746
1993-04-30,771.97479
1993-05-31,761.27948
1993-06-30,774.9589
1993-07-30,757.3986
