Date,DENMARK GROWTH
1974-12-31,100.0
1975-01-31,104.50953
1975-02-28,110.38635
1975-03-31,103.85232
1975-04-30,114.81328
1975-05-30,122.12034
1975-06-30,117.75133
1975-07-31,113.44031
1975-08-29,113.96986
1975-09-30,108.55842
1975-10-31,121.7131
1975-11-28,119.34295
1975-12-31,121.9483
1976-01-30,132.08276
1976-02-27,128.45878
1976-03-31,132.6075
1976-04-30,135.02327
1976-05-31,138.07299
1976-06-30,139.47429
1976-07-30,142.66113
1976-08-31,144.04697
1976-09-30,141.48342
1976-10-29,134.79134
1976-11-30,127.1
1976-12-31,130.27866
1977-01-31,129.93613
1977-02-28,135.7395
1977-03-31,141.02378
1977-04-29,136.44327
1977-05-31,133.42071
1977-06-30,133.03481
1977-07-29,128.37349
1977-08-31,127.97914
1977-09-30,131.91065
1977-10-31,133.37592
1977-11-30,125.04829
1977-12-30,133.53818
1978-01-31,134.28178
1978-02-28,139.89199
1978-03-31,136.40423
1978-04-28,132.35558
1978-05-31,133.86475
1978-06-30,134.88696
1978-07-31,140.07076
1978-08-31,140.51474
1978-09-29,138.97033
1978-10-31,143.73647
1978-11-30,132.97243
1978-12-29,135.22821
1979-01-31,142.30494
1979-02-28,142.81431
1979-03-30,150.62282
1979-04-30,149.72204
1979-05-31,140.10054
1979-06-29,143.41669
1979-07-31,146.27863
1979-08-31,146.17213
1979-09-28,145.77579
1979-10-31,138.64119
1979-11-30,141.63742
1979-12-31,132.8655
1980-01-31,126.17593
1980-02-29,117.60303
1980-03-31,106.69552
1980-04-30,113.68504
1980-05-30,116.38928
1980-06-30,121.80496
1980-07-31,128.44232
1980-08-29,130.11543
1980-09-30,148.70666
1980-10-31,169.88243
1980-11-28,166.77743
1980-12-31,167.85506
1981-01-30,172.49108
1981-02-27,169.62371
1981-03-31,188.56161
1981-04-30,194.92323
1981-05-29,204.03443
1981-06-30,228.09399
1981-07-31,213.35427
1981-08-31,216.79613
1981-09-30,212.38143
1981-10-30,234.13535
1981-11-30,235.58228
1981-12-31,237.45646
1982-01-29,242.30487
1982-02-26,238.78167
1982-03-31,232.35142
1982-04-30,255.35392
1982-05-31,249.84888
1982-06-30,231.47415
1982-07-30,239.30831
1982-08-31,262.96765
1982-09-30,256.14981
1982-10-29,272.08375
1982-11-30,256.91967
1982-12-31,256.98023
1983-01-31,263.47684
1983-02-28,286.80111
1983-03-31,304.14653
1983-04-29,323.37044
1983-05-31,335.76697
1983-06-30,353.8961
1983-07-29,345.88489
1983-08-31,393.99184
1983-09-30,411.64994
1983-10-31,408.64397
1983-11-30,398.23377
1983-12-30,370.63679
1984-01-31,368.98787
1984-02-29,349.60937
1984-03-30,324.95514
1984-04-30,327.41591
1984-05-31,276.75694
1984-06-29,279.15992
1984-07-31,266.65988
