Date,HONG KONG GROWTH
1974-12-31,100.0
1975-01-31,140.33246
1975-02-28,159.8206
1975-03-31,168.35106
1975-04-30,189.56612
1975-05-30,189.58491
1975-06-30,192.30343
1975-07-31,177.27324
1975-08-29,175.96505
1975-09-30,184.31584
1975-10-31,187.58743
1975-11-28,211.16331
1975-12-31,230.5088
1976-01-30,269.02668
1976-02-27,284.20509
1976-03-31,295.75087
1976-04-30,280.19202
1976-05-31,261.78424
1976-06-30,267.88928
1976-07-30,259.6271
1976-08-31,264.45033
1976-09-30,256.70519
1976-10-29,244.97899
1976-11-30,256.67412
1976-12-31,297.58467
1977-01-31,288.53044
1977-02-28,281.54413
1977-03-31,271.89596
1977-04-29,287.91364
1977-05-31,280.53217
1977-06-30,283.96644
1977-07-29,275.9583
1977-08-31,281.01563
1977-09-30,275.66314
1977-10-31,275.66866
1977-11-30,278.54063
1977-12-30,272.36306
1978-01-31,269.08518
1978-02-28,276.66708
1978-03-31,290.54776
1978-04-28,292.10736
1978-05-31,299.17357
1978-06-30,346.77856
1978-07-31,361.88233
1978-08-31,397.90048
1978-09-29,370.98767
1978-10-31,399.68181
1978-11-30,295.83846
1978-12-29,292.52706
1979-01-31,329.95514
1979-02-28,318.21698
1979-03-30,310.0649
1979-04-30,311.10419
1979-05-31,314.49714
1979-06-29,297.3475
1979-07-31,315.40232
1979-08-31,313.4641
1979-09-28,383.349
1979-10-31,372.65621
1979-11-30,406.51598
1979-12-31,474.26484
1980-01-31,527.69183
1980-02-29,541.67908
1980-03-31,467.52124
1980-04-30,538.66516
1980-05-30,557.23731
1980-06-30,657.13946
1980-07-31,724.45381
1980-08-29,781.53127
1980-09-30,778.80593
1980-10-31,926.66671
1980-11-28,877.90058
1980-12-31,895.58119
1981-01-30,943.63586
1981-02-27,870.22723
1981-03-31,786.41503
1981-04-30,768.64632
1981-05-29,884.20043
1981-06-30,897.06024
1981-07-31,863.01197
1981-08-31,834.60565
1981-09-30,573.01778
1981-10-30,599.87409
1981-11-30,713.42752
1981-12-31,669.67417
1982-01-29,660.75157
1982-02-26,564.22834
1982-03-31,534.18774
1982-04-30,616.31272
1982-05-31,651.73773
1982-06-30,584.26662
1982-07-30,533.63752
1982-08-31,458.94133
1982-09-30,399.83823
1982-10-29,326.68523
1982-11-30,315.14673
1982-12-31,355.96178
1983-01-31,393.25863
1983-02-28,443.15074
1983-03-31,437.58565
1983-04-29,436.54007
1983-05-31,390.92926
1983-06-30,409.23088
1983-07-29,440.61499
1983-08-31,392.11067
1983-09-30,280.8363
1983-10-31,348.34168
1983-11-30,352.31598
1983-12-30,365.51049
1984-01-31,443.28929
1984-02-29,433.01803
1984-03-30,423.37738
1984-04-30,424.99408
1984-05-31,371.88514
1984-06-29,369.76308
1984-07-31,331.20538
1984-08-31,384.77475
1984-09-28,413.22244
1984-10-31,438.20327
1984-11-30,480.72068
1984-12-31,509.92173
1985-01-31,590.28177
1985-02-28,581.91159
1985-03-29,593.45573
1985-04-30,648.93629
1985-05-31,693.36794
1985-06-28,696.73135
1985-07-31,753.65817
1985-08-30,739.88246
1985-09-30,686.22571
1985-10-31,748.72634
1985-11-29,774.42564
1985-12-31,793.41086
1986-01-31,788.55693
